start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,8845,8557381
2019-06-02,2019-06-09,26351,27377208
2019-06-09,2019-06-16,57637,30760636
2019-06-16,2019-06-23,41999,28609248
2019-06-23,2019-06-30,30299,28929179
2019-06-30,2019-07-07,23757,24165196
2019-07-07,2019-07-14,23825,21557211
2019-07-14,2019-07-21,22362,21224608
2019-07-21,2019-07-28,23543,24333227
2019-07-28,2019-08-04,102433,43113882
2019-08-04,2019-08-11,70309,40169562
2019-08-11,2019-08-18,62297,40098576
2019-08-18,2019-08-25,49902,32219984
2019-08-25,2019-09-01,42812,26140664
2019-09-01,2019-09-08,27592,22467522
2019-09-08,2019-09-15,26761,23317374
2019-09-15,2019-09-22,-32107,19525305
2019-09-22,2019-09-29,0,20759452
2019-09-29,2019-10-06,100000,19510270
2019-10-06,2019-10-13,0,20740802
2019-10-13,2019-10-20,0,18644501
2019-10-20,2019-10-27,0,23322982
2019-10-27,2019-11-03,0,25879492
2019-11-03,2019-11-10,0,31785937
2019-11-10,2019-11-17,0,30020368
2019-11-17,2019-11-24,100000,25747908
2019-11-24,2019-12-01,0,26452006
2019-12-01,2019-12-08,-100000,19515987
2019-12-08,2019-12-15,0,22648207
2019-12-15,2019-12-22,0,23824496
2019-12-22,2019-12-29,100000,30665623
2019-12-29,2020-01-05,0,35922593
2020-01-05,2020-01-12,0,28475691
2020-01-12,2020-01-19,100000,26038318
2020-01-19,2020-01-26,0,26405619
2020-01-26,2020-02-02,0,27859130
2020-02-02,2020-02-09,100000,35004631
2020-02-09,2020-02-16,0,32065045
2020-02-16,2020-02-23,0,27537088
2020-02-23,2020-03-01,100000,25136230
2020-03-01,2020-03-08,0,24503564
2020-03-08,2020-03-15,0,17462686
2020-03-15,2020-03-22,100000,26772945
2020-03-22,2020-03-29,0,33775918
2020-03-29,2020-04-05,100000,34709765
2020-04-05,2020-04-12,0,38077574
2020-04-12,2020-04-19,0,36073649
2020-04-19,2020-04-26,100000,42910648
2020-04-26,2020-05-03,0,39158035
2020-05-03,2020-05-10,100000,39312031
2020-05-10,2020-05-17,0,41436347
2020-05-17,2020-05-24,100000,37118523
2020-05-24,2020-05-31,100000,36908133
2020-05-31,2020-06-07,0,23866244
2020-06-07,2020-06-14,100000,31168607
2020-06-14,2020-06-21,0,30257708
2020-06-21,2020-06-28,100000,21672351
2020-06-28,2020-07-05,0,22302991
2020-07-05,2020-07-12,0,19174027
2020-07-12,2020-07-19,100000,17626219
2020-07-19,2020-07-26,0,16192481
2020-07-26,2020-08-02,0,17879568
2020-08-02,2020-08-09,0,17576922
2020-08-09,2020-08-16,0,27143776
2020-08-16,2020-08-23,100000,23906901
2020-08-23,2020-08-30,0,21712525
2020-08-30,2020-09-06,100000,20557315
2020-09-06,2020-09-13,0,19301934
2020-09-13,2020-09-20,0,20101366
2020-09-20,2020-09-27,100000,23482492
2020-09-27,2020-10-04,100000,24741867
2020-10-04,2020-10-11,100000,26341529
2020-10-11,2020-10-18,100000,25309492
2020-10-18,2020-10-25,100000,25866418
2020-10-25,2020-11-01,100000,24168576
2020-11-01,2020-11-08,0,24654673
2020-11-08,2020-11-15,100000,37846663
2020-11-15,2020-11-22,0,30260134
2020-11-22,2020-11-29,0,25314057
2020-11-29,2020-12-06,100000,24765744
2020-12-06,2020-12-13,100000,27757439
2020-12-13,2020-12-20,0,21003657
2020-12-20,2020-12-27,0,23820533
2020-12-27,2021-01-03,100000,32920966
2021-01-03,2021-01-10,100000,27627541
2021-01-10,2021-01-17,0,23284109
2021-01-17,2021-01-24,100000,22848153
2021-01-24,2021-01-31,0,23355461
2021-01-31,2021-02-07,100000,21438409
2021-02-07,2021-02-14,0,18452809
2021-02-14,2021-02-21,100000,15862552
