start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,7153,5719850
2019-06-02,2019-06-09,18214,15128153
2019-06-09,2019-06-16,13064,11356710
2019-06-16,2019-06-23,12001,10544391
2019-06-23,2019-06-30,11063,11685417
2019-06-30,2019-07-07,13059,10109056
2019-07-07,2019-07-14,15147,11928170
2019-07-14,2019-07-21,15598,12353347
2019-07-21,2019-07-28,12997,10226423
2019-07-28,2019-08-04,17456,14966066
2019-08-04,2019-08-11,11536,9365674
2019-08-11,2019-08-18,11896,9547955
2019-08-18,2019-08-25,13925,10524268
2019-08-25,2019-09-01,16031,10812172
2019-09-01,2019-09-08,13170,9438438
2019-09-08,2019-09-15,27763,16466550
2019-09-15,2019-09-22,0,12579047
2019-09-22,2019-09-29,0,12075974
2019-09-29,2019-10-06,100000,10451218
2019-10-06,2019-10-13,0,27664252
2019-10-13,2019-10-20,100000,34988194
2019-10-20,2019-10-27,100000,17369938
2019-10-27,2019-11-03,0,19475564
2019-11-03,2019-11-10,100000,24982638
2019-11-10,2019-11-17,0,36334690
2019-11-17,2019-11-24,0,23178049
2019-11-24,2019-12-01,0,18788907
2019-12-01,2019-12-08,0,14698027
2019-12-08,2019-12-15,100000,17235323
2019-12-15,2019-12-22,0,14152511
2019-12-22,2019-12-29,0,13025506
2019-12-29,2020-01-05,0,13837669
2020-01-05,2020-01-12,200000,51102941
2020-01-12,2020-01-19,0,30605754
2020-01-19,2020-01-26,100000,10875529
2020-01-26,2020-02-02,0,18589058
2020-02-02,2020-02-09,0,15288675
2020-02-09,2020-02-16,0,15055775
2020-02-16,2020-02-23,0,15587008
2020-02-23,2020-03-01,0,13429601
2020-03-01,2020-03-08,0,13919037
2020-03-08,2020-03-15,0,28229413
2020-03-15,2020-03-22,100000,20806818
2020-03-22,2020-03-29,0,23536952
2020-03-29,2020-04-05,0,19089529
2020-04-05,2020-04-12,100000,25573630
2020-04-12,2020-04-19,0,27164834
2020-04-19,2020-04-26,0,24423477
2020-04-26,2020-05-03,100000,27084281
2020-05-03,2020-05-10,0,33135718
2020-05-10,2020-05-17,0,24373235
2020-05-17,2020-05-24,100000,19073294
2020-05-24,2020-05-31,0,19688327
2020-05-31,2020-06-07,0,16803628
2020-06-07,2020-06-14,0,17247688
2020-06-14,2020-06-21,0,17164745
2020-06-21,2020-06-28,100000,16270957
2020-06-28,2020-07-05,0,16095224
2020-07-05,2020-07-12,0,21088825
2020-07-12,2020-07-19,0,20434658
2020-07-19,2020-07-26,100000,22621798
2020-07-26,2020-08-02,0,17417332
2020-08-02,2020-08-09,0,18233702
2020-08-09,2020-08-16,0,18666662
2020-08-16,2020-08-23,100000,16434674
2020-08-23,2020-08-30,100000,35366245
2020-08-30,2020-09-06,0,22351114
2020-09-06,2020-09-13,0,19397659
2020-09-13,2020-09-20,100000,29707630
2020-09-20,2020-09-27,0,21555925
2020-09-27,2020-10-04,0,19988359
2020-10-04,2020-10-11,0,18682949
2020-10-11,2020-10-18,100000,20100640
2020-10-18,2020-10-25,0,18450834
2020-10-25,2020-11-01,100000,50796670
2020-11-01,2020-11-08,100000,44299180
