start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,129702,25830143
2019-06-02,2019-06-09,445028,77264494
2019-06-09,2019-06-16,444491,89528829
2019-06-16,2019-06-23,276608,50134863
2019-06-23,2019-06-30,157864,27182807
2019-06-30,2019-07-07,266069,39305625
2019-07-07,2019-07-14,169460,30479111
2019-07-14,2019-07-21,129694,26133296
2019-07-21,2019-07-28,137157,40506659
2019-07-28,2019-08-04,195743,44517339
2019-08-04,2019-08-11,225120,72092511
2019-08-11,2019-08-18,303756,91027857
2019-08-18,2019-08-25,349394,89157514
2019-08-25,2019-09-01,521020,31825288
2019-09-01,2019-09-08,223970,30903495
2019-09-08,2019-09-15,125381,33594778
2019-09-15,2019-09-22,29816,28863527
2019-09-22,2019-09-29,100000,32705388
2019-09-29,2019-10-06,100000,23523403
2019-10-06,2019-10-13,100000,37582276
2019-10-13,2019-10-20,100000,61488995
2019-10-20,2019-10-27,300000,61763805
2019-10-27,2019-11-03,300000,44182973
2019-11-03,2019-11-10,200000,72608961
2019-11-10,2019-11-17,300000,38517932
2019-11-17,2019-11-24,200000,65867073
2019-11-24,2019-12-01,200000,78494898
2019-12-01,2019-12-08,300000,51294887
2019-12-08,2019-12-15,200000,66797322
2019-12-15,2019-12-22,400000,67512907
2019-12-22,2019-12-29,500000,52978292
2019-12-29,2020-01-05,300000,27064072
2020-01-05,2020-01-12,100000,34042315
2020-01-12,2020-01-19,100000,53573234
2020-01-19,2020-01-26,300000,62838205
2020-01-26,2020-02-02,300000,59975666
2020-02-02,2020-02-09,400000,60017404
2020-02-09,2020-02-16,400000,30793179
2020-02-16,2020-02-23,300000,34553175
2020-02-23,2020-03-01,600000,40783115
2020-03-01,2020-03-08,400000,65675941
2020-03-08,2020-03-15,300000,74006298
2020-03-15,2020-03-22,600000,63309834
2020-03-22,2020-03-29,400000,38851026
2020-03-29,2020-04-05,200000,48184899
2020-04-05,2020-04-12,300000,47093704
2020-04-12,2020-04-19,200000,48348958
2020-04-19,2020-04-26,200000,55717408
2020-04-26,2020-05-03,200000,49746290
2020-05-03,2020-05-10,100000,35256894
2020-05-10,2020-05-17,100000,56511269
2020-05-17,2020-05-24,200000,91280619
2020-05-24,2020-05-31,400000,131286483
2020-05-31,2020-06-07,500000,105781200
2020-06-07,2020-06-14,500000,72838056
2020-06-14,2020-06-21,300000,67888564
2020-06-21,2020-06-28,300000,74326518
2020-06-28,2020-07-05,300000,85247402
2020-07-05,2020-07-12,400000,69213583
2020-07-12,2020-07-19,300000,71359188
2020-07-19,2020-07-26,300000,89285094
2020-07-26,2020-08-02,400000,95780312
2020-08-02,2020-08-09,500000,142929002
2020-08-09,2020-08-16,800000,106574008
2020-08-16,2020-08-23,600000,65530523
2020-08-23,2020-08-30,300000,52914909
2020-08-30,2020-09-06,200000,39989090
2020-09-06,2020-09-13,100000,85112470
2020-09-13,2020-09-20,400000,78355208
2020-09-20,2020-09-27,400000,66960672
2020-09-27,2020-10-04,200000,86570876
2020-10-04,2020-10-11,300000,75376577
