start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,3073,3707291
2019-06-02,2019-06-09,8267,10341115
2019-06-09,2019-06-16,7894,9987407
2019-06-16,2019-06-23,7803,9552092
2019-06-23,2019-06-30,7295,9426087
2019-06-30,2019-07-07,10410,12092318
2019-07-07,2019-07-14,7664,9966568
2019-07-14,2019-07-21,6157,8769140
2019-07-21,2019-07-28,7414,9324332
2019-07-28,2019-08-04,7459,5658295
2019-08-04,2019-08-11,7328,10130729
2019-08-11,2019-08-18,7928,10594966
2019-08-18,2019-08-25,7449,10084376
2019-08-25,2019-09-01,7301,9222284
2019-09-01,2019-09-08,7297,9564688
2019-09-08,2019-09-15,5987,9958078
2019-09-22,2019-09-29,10000,8059103
2019-09-29,2019-10-06,0,8485174
2019-10-06,2019-10-13,10000,7955822
2019-10-13,2019-10-20,10000,8031559
2019-10-20,2019-10-27,10000,9401814
2019-10-27,2019-11-03,0,9761646
2019-11-03,2019-11-10,10000,8713443
2019-11-10,2019-11-17,10000,7884223
2019-11-17,2019-11-24,0,8515763
2019-11-24,2019-12-01,10000,8598738
2019-12-01,2019-12-08,0,9532582
2019-12-08,2019-12-15,10000,137164
2019-12-15,2019-12-22,10000,6243528
2019-12-22,2019-12-29,10000,8197020
2019-12-29,2020-01-05,10000,10824385
2020-01-05,2020-01-12,10000,11361902
2020-01-12,2020-01-19,10000,8693827
2020-01-19,2020-01-26,10000,10195082
2020-01-26,2020-02-02,10000,9661118
2020-02-02,2020-02-09,10000,10102679
2020-02-09,2020-02-16,10000,10257830
2020-02-16,2020-02-23,0,9635615
2020-02-23,2020-03-01,10000,8519684
2020-03-01,2020-03-08,10000,8124877
2020-03-08,2020-03-15,0,7611750
2020-03-15,2020-03-22,10000,4671356
2020-03-22,2020-03-29,0,7864811
2020-03-29,2020-04-05,10000,7866931
2020-04-05,2020-04-12,10000,5457896
2020-04-12,2020-04-19,0,8584390
2020-04-19,2020-04-26,10000,4902105
2020-04-26,2020-05-03,10000,9275065
2020-05-03,2020-05-10,10000,10731326
2020-05-10,2020-05-17,10000,10923652
2020-05-17,2020-05-24,0,10407557
2020-05-24,2020-05-31,10000,10095796
2020-05-31,2020-06-07,10000,9689419
2020-06-07,2020-06-14,0,9563101
2020-06-14,2020-06-21,0,9535386
2020-06-21,2020-06-28,10000,8545624
2020-06-28,2020-07-05,0,8706107
2020-07-05,2020-07-12,10000,8196333
2020-07-12,2020-07-19,0,8264283
2020-07-19,2020-07-26,0,7225633
2020-07-26,2020-08-02,10000,9446294
2020-08-02,2020-08-09,10000,10061645
2020-08-09,2020-08-16,10000,10217131
2020-08-16,2020-08-23,10000,9554696
2020-08-23,2020-08-30,10000,8921405
2020-08-30,2020-09-06,10000,8835939
2020-09-06,2020-09-13,10000,8901792
2020-09-13,2020-09-20,10000,10349873
2020-09-20,2020-09-27,10000,11799895
2020-09-27,2020-10-04,10000,12075409
2020-10-04,2020-10-11,10000,12882898
2020-10-11,2020-10-18,10000,12814033
2020-10-18,2020-10-25,10000,11581859
2020-10-25,2020-11-01,0,11217901
2020-11-01,2020-11-08,0,11257110
2020-11-08,2020-11-15,10000,11291360
2020-11-15,2020-11-22,10000,5036500
2020-11-22,2020-11-29,10000,12592204
2020-11-29,2020-12-06,10000,12115811
2020-12-06,2020-12-13,10000,11712456
2020-12-13,2020-12-20,10000,11743271
2020-12-20,2020-12-27,20000,11605348
2020-12-27,2021-01-03,10000,13236698
2021-01-03,2021-01-10,20000,13526783
2021-01-10,2021-01-17,10000,13855085
2021-01-17,2021-01-24,20000,14584333
2021-01-24,2021-01-31,10000,15602939
2021-01-31,2021-02-07,10000,68773864
2021-02-07,2021-02-14,20000,15936001
2021-02-14,2021-02-21,20000,17406025
2021-02-21,2021-02-28,20000,17055067
2021-02-28,2021-03-07,20000,15172821
2021-03-07,2021-03-14,10000,14084000
2021-03-14,2021-03-21,20000,14138344
2021-03-21,2021-03-28,10000,13898412
2021-03-28,2021-04-04,20000,14890439
2021-04-04,2021-04-11,0,13243245
2021-04-11,2021-04-18,20000,12680303
2021-04-18,2021-04-25,10000,12128853
2021-04-25,2021-05-02,20000,11257112
2021-05-02,2021-05-09,0,10122898
2021-05-09,2021-05-16,10000,9037196
2021-05-16,2021-05-23,10000,8593968
2021-05-23,2021-05-30,0,7488693
