start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,56961,21584653
2019-06-02,2019-06-09,123659,55313629
2019-06-09,2019-06-16,109259,57405096
2019-06-16,2019-06-23,137827,60100869
2019-06-23,2019-06-30,141327,71448829
2019-06-30,2019-07-07,279785,101098634
2019-07-07,2019-07-14,282440,116546412
2019-07-14,2019-07-21,316676,119518380
2019-07-21,2019-07-28,305317,118427762
2019-07-28,2019-08-04,264027,112796055
2019-08-04,2019-08-11,249419,115093167
2019-08-11,2019-08-18,408544,98610043
2019-08-18,2019-08-25,773856,137207666
2019-08-25,2019-09-01,389130,115287635
2019-09-01,2019-09-08,197132,74171555
2019-09-08,2019-09-15,354176,117926376
2019-09-15,2019-09-22,-456396,76030115
2019-09-22,2019-09-29,0,64858123
2019-09-29,2019-10-06,0,52489994
2019-10-06,2019-10-13,0,46532400
2019-10-13,2019-10-20,0,44221547
2019-10-20,2019-10-27,1000000,63101117
2019-10-27,2019-11-03,0,50534571
2019-11-03,2019-11-10,0,57570628
2019-11-10,2019-11-17,0,50070744
2019-11-17,2019-11-24,0,49620330
2019-11-24,2019-12-01,0,52388936
2019-12-01,2019-12-08,0,55673242
2019-12-08,2019-12-15,0,63569496
2019-12-15,2019-12-22,0,57713195
2019-12-22,2019-12-29,0,53096103
2019-12-29,2020-01-05,0,61967410
2020-01-05,2020-01-12,0,55949000
2020-01-12,2020-01-19,0,44638604
2020-01-19,2020-01-26,1000000,25860802
2020-01-26,2020-02-02,0,22243437
2020-02-02,2020-02-09,0,20976836
2020-02-09,2020-02-16,0,20020829
2020-02-16,2020-02-23,0,44423222
2020-02-23,2020-03-01,0,53448405
2020-03-01,2020-03-08,0,52802264
2020-03-08,2020-03-15,0,50041182
2020-03-15,2020-03-22,0,53522877
2020-03-22,2020-03-29,0,71011457
2020-03-29,2020-04-05,1000000,58150394
2020-04-05,2020-04-12,0,54306332
2020-04-12,2020-04-19,0,62394962
2020-04-19,2020-04-26,0,61360613
2020-04-26,2020-05-03,0,52829891
2020-05-03,2020-05-10,0,62207812
2020-05-10,2020-05-17,0,55249295
2020-05-17,2020-05-24,0,51524212
2020-05-24,2020-05-31,1000000,53958954
2020-05-31,2020-06-07,0,64068521
2020-06-07,2020-06-14,0,63864039
2020-06-14,2020-06-21,0,64067677
2020-06-21,2020-06-28,0,72521805
2020-06-28,2020-07-05,0,66203190
2020-07-05,2020-07-12,0,36864010
2020-07-12,2020-07-19,0,61932154
2020-07-19,2020-07-26,1000000,56841091
2020-07-26,2020-08-02,0,42185048
2020-08-02,2020-08-09,0,-334651286
2020-08-09,2020-08-16,0,-208689517
2020-08-16,2020-08-23,0,46555228
2020-08-23,2020-08-30,0,48825110
2020-08-30,2020-09-06,0,39061649
2020-09-06,2020-09-13,0,42436743
2020-09-13,2020-09-20,0,45182201
2020-09-20,2020-09-27,0,45091817
2020-09-27,2020-10-04,0,42614516
2020-10-04,2020-10-11,0,46209605
2020-10-11,2020-10-18,0,50600413
2020-10-18,2020-10-25,0,40547806
2020-10-25,2020-11-01,0,41552742
2020-11-01,2020-11-08,0,40517425
2020-11-08,2020-11-15,0,40938579
2020-11-15,2020-11-22,1000000,42165664
2020-11-22,2020-11-29,0,42718553
2020-11-29,2020-12-06,0,37356309
2020-12-06,2020-12-13,0,42702609
2020-12-13,2020-12-20,0,37649265
2020-12-20,2020-12-27,0,35416262
2020-12-27,2021-01-03,0,48827226
2021-01-03,2021-01-10,0,29023327
2021-01-10,2021-01-17,0,19196335
2021-01-17,2021-01-24,0,21836240
2021-01-24,2021-01-31,0,9169396
2021-01-31,2021-02-07,0,35745188
2021-02-07,2021-02-14,0,38723719
2021-02-14,2021-02-21,0,25762189
2021-02-21,2021-02-28,0,36650288
2021-02-28,2021-03-07,0,35995499
2021-03-07,2021-03-14,0,39202932
2021-03-14,2021-03-21,0,33210543
2021-03-21,2021-03-28,0,-98899849
2021-03-28,2021-04-04,0,32604782
2021-04-04,2021-04-11,0,29711796
2021-04-11,2021-04-18,0,31866781
2021-04-18,2021-04-25,0,31620360
2021-04-25,2021-05-02,1000000,29361237
2021-05-02,2021-05-09,0,33377819
2021-05-09,2021-05-16,0,34151832
2021-05-16,2021-05-23,0,24318577
2021-05-23,2021-05-30,0,28842923
2021-05-30,2021-06-06,0,21148441
2021-06-06,2021-06-13,0,24134205
2021-06-13,2021-06-20,0,29832478
2021-06-20,2021-06-27,0,27134537
2021-06-27,2021-07-04,0,25265979
2021-07-04,2021-07-11,0,25938544
2021-07-11,2021-07-18,0,30804521
2021-07-18,2021-07-25,0,26411153
2021-07-25,2021-08-01,0,27008646
2021-08-01,2021-08-08,0,28192103
2021-08-08,2021-08-15,0,27519635
2021-08-15,2021-08-22,0,24475283
2021-08-22,2021-08-29,0,19866258
2021-08-29,2021-09-05,0,22904228
2021-09-05,2021-09-12,0,21772207
2021-09-12,2021-09-19,0,16771437
2021-09-19,2021-09-26,0,16444152
2021-09-26,2021-10-03,0,16406361
2021-10-03,2021-10-10,0,20821642
2021-10-10,2021-10-17,0,25453493
2021-10-17,2021-10-24,0,24309242
2021-10-24,2021-10-31,0,24525956
2021-10-31,2021-11-07,0,25678356
2021-11-07,2021-11-14,0,28885049
2021-11-14,2021-11-21,0,23783859
2021-11-21,2021-11-28,0,22323650
2021-11-28,2021-12-05,0,21923169
2021-12-05,2021-12-12,0,-104813886
2021-12-12,2021-12-19,1000000,23236401
