start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,849,1075968
2019-06-02,2019-06-09,2822,3721477
2019-06-09,2019-06-16,2437,3425449
2019-06-16,2019-06-23,4299,3718298
2019-06-23,2019-06-30,2866,3420733
2019-06-30,2019-07-07,1198,2946945
2019-07-07,2019-07-14,196,2607254
2019-07-14,2019-07-21,10274,3437510
2019-07-21,2019-07-28,5862,3443856
2019-07-28,2019-08-04,3339,3455956
2019-08-04,2019-08-11,2216,3263734
2019-08-11,2019-08-18,2628,3307183
2019-08-18,2019-08-25,1675,2846870
2019-08-25,2019-09-01,2141,2531552
2019-09-01,2019-09-08,664,2083884
2019-09-08,2019-09-15,1294,2015230
2019-09-22,2019-09-29,0,2130191
2019-09-29,2019-10-06,0,1908125
2019-10-06,2019-10-13,0,1995200
2019-10-13,2019-10-20,0,1855479
2019-10-20,2019-10-27,0,1871353
2019-10-27,2019-11-03,0,1659795
2019-11-03,2019-11-10,0,2132930
2019-11-10,2019-11-17,0,1800592
2019-11-17,2019-11-24,0,1679207
2019-11-24,2019-12-01,0,1542268
2019-12-08,2019-12-15,0,17227453
2019-12-15,2019-12-22,0,1647835
2019-12-22,2019-12-29,0,1963888
2019-12-29,2020-01-05,0,1881670
2020-01-05,2020-01-12,0,2015205
2020-01-12,2020-01-19,10000,2478306
2020-01-19,2020-01-26,0,2565260
2020-01-26,2020-02-02,0,2419338
2020-02-02,2020-02-09,0,2420263
2020-02-09,2020-02-16,0,2355987
2020-02-16,2020-02-23,10000,2545541
2020-02-23,2020-03-01,0,2077829
2020-03-01,2020-03-08,0,2305031
2020-03-08,2020-03-15,0,2018844
2020-03-15,2020-03-22,0,1832529
2020-03-22,2020-03-29,0,1935095
2020-03-29,2020-04-05,0,2574475
2020-04-05,2020-04-12,0,2563048
2020-04-12,2020-04-19,0,2424433
2020-04-19,2020-04-26,0,2253796
2020-04-26,2020-05-03,0,2441525
2020-05-03,2020-05-10,0,2371985
2020-05-10,2020-05-17,0,2309643
2020-05-17,2020-05-24,0,2018559
2020-05-24,2020-05-31,0,1828604
2020-06-07,2020-06-14,0,2041025
2020-06-14,2020-06-21,0,1859056
2020-06-21,2020-06-28,0,1807829
2020-07-05,2020-07-12,0,1562913
2020-07-12,2020-07-19,0,1507055
2020-07-19,2020-07-26,0,1393070
2020-07-26,2020-08-02,0,1515464
2020-08-09,2020-08-16,0,1833742
2020-08-16,2020-08-23,0,1584490
2020-08-23,2020-08-30,0,2042548
2020-08-30,2020-09-06,0,1620174
2020-09-06,2020-09-13,0,1163643
2020-09-13,2020-09-20,0,1640046
2020-09-20,2020-09-27,0,1890411
2020-09-27,2020-10-04,0,1908519
2020-10-11,2020-10-18,0,1960923
2020-10-18,2020-10-25,0,1718184
2020-10-25,2020-11-01,10000,1753730
2020-11-01,2020-11-08,10000,1194123
2020-11-08,2020-11-15,0,1701072
2020-11-22,2020-11-29,0,1660176
2020-11-29,2020-12-06,0,1588246
2020-12-06,2020-12-13,0,2680482
2020-12-13,2020-12-20,0,2209209
2020-12-27,2021-01-03,0,1588298
2021-01-03,2021-01-10,0,1655612
