start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,428,130056
2019-06-02,2019-06-09,465,355752
2019-06-09,2019-06-16,-153,593380
2019-06-16,2019-06-23,1480,817338
2019-06-23,2019-06-30,1153,950682
2019-06-30,2019-07-07,1423,850200
2019-07-07,2019-07-14,887,932094
2019-07-14,2019-07-21,1383,784458
2019-07-21,2019-07-28,1621,599943
2019-07-28,2019-08-04,527,572126
2019-08-04,2019-08-11,125,929852
2019-08-11,2019-08-18,1005,726619
2019-08-18,2019-08-25,735,624667
2019-08-25,2019-09-01,1364,905348
2019-09-01,2019-09-08,463,524802
2019-09-08,2019-09-15,708,358585
2019-09-15,2019-09-22,-8413,289995
2019-09-22,2019-09-29,0,296247
2019-09-29,2019-10-06,10000,342479
2019-10-06,2019-10-13,0,280701
2019-10-13,2019-10-20,0,257992
2019-10-20,2019-10-27,0,694026
2019-10-27,2019-11-03,0,575914
2019-11-03,2019-11-10,0,374368
2019-11-10,2019-11-17,0,339247
2019-11-17,2019-11-24,10000,312291
2019-11-24,2019-12-01,0,341588
2019-12-01,2019-12-08,-30000,635469
2019-12-08,2019-12-15,0,662912
2019-12-15,2019-12-22,0,405620
2019-12-22,2019-12-29,0,438103
2019-12-29,2020-01-05,10000,497875
2020-01-05,2020-01-12,0,366807
2020-01-12,2020-01-19,0,347720
2020-01-19,2020-01-26,0,333186
2020-01-26,2020-02-02,0,315405
2020-02-02,2020-02-09,0,579533
2020-02-09,2020-02-16,0,420814
2020-02-16,2020-02-23,0,407263
2020-02-23,2020-03-01,0,331622
2020-03-01,2020-03-08,0,294356
2020-03-08,2020-03-15,10000,285752
2020-03-15,2020-03-22,0,362515
2020-03-22,2020-03-29,0,380297
2020-03-29,2020-04-05,0,393084
2020-04-05,2020-04-12,0,432537
2020-04-12,2020-04-19,0,631284
2020-04-19,2020-04-26,10000,829590
2020-04-26,2020-05-03,0,665213
2020-05-03,2020-05-10,0,547226
2020-05-10,2020-05-17,0,501336
2020-05-17,2020-05-24,10000,1394774
2020-05-24,2020-05-31,0,680073
2020-05-31,2020-06-07,10000,515359
2020-06-07,2020-06-14,0,461944
2020-06-14,2020-06-21,0,419665
2020-06-21,2020-06-28,0,375662
2020-06-28,2020-07-05,0,342724
2020-07-05,2020-07-12,0,365972
2020-07-12,2020-07-19,10000,367475
2020-07-19,2020-07-26,0,380141
2020-07-26,2020-08-02,0,364041
2020-08-02,2020-08-09,0,335279
2020-08-09,2020-08-16,0,332878
2020-08-16,2020-08-23,0,313309
2020-08-23,2020-08-30,0,322703
2020-08-30,2020-09-06,10000,317461
2020-09-06,2020-09-13,0,270102
2020-09-13,2020-09-20,0,236529
2020-09-20,2020-09-27,0,245727
2020-09-27,2020-10-04,0,236663
2020-10-04,2020-10-11,0,240402
2020-10-11,2020-10-18,0,236006
2020-10-18,2020-10-25,0,241827
2020-10-25,2020-11-01,0,267017
2020-11-01,2020-11-08,0,347604
2020-11-08,2020-11-15,10000,464763
2020-11-15,2020-11-22,0,905455
2020-11-22,2020-11-29,0,458570
2020-11-29,2020-12-06,0,357474
2020-12-06,2020-12-13,10000,299940
2020-12-13,2020-12-20,0,258295
2020-12-20,2020-12-27,0,254150
2020-12-27,2021-01-03,0,294742
2021-01-03,2021-01-10,0,291577
2021-01-10,2021-01-17,10000,286587
2021-01-17,2021-01-24,0,263624
2021-01-24,2021-01-31,0,260910
2021-01-31,2021-02-07,0,443409
2021-02-07,2021-02-14,0,285880
2021-02-14,2021-02-21,0,250462
2021-02-21,2021-02-28,0,214093
2021-02-28,2021-03-07,0,196329
2021-03-07,2021-03-14,0,182373
2021-03-14,2021-03-21,0,183339
2021-03-21,2021-03-28,0,189526
2021-03-28,2021-04-04,0,201689
2021-04-04,2021-04-11,0,208449
2021-04-11,2021-04-18,0,183116
2021-04-18,2021-04-25,0,149978
2021-04-25,2021-05-02,0,149516
2021-05-02,2021-05-09,0,158849
2021-05-09,2021-05-16,0,277634
2021-05-16,2021-05-23,0,374793
2021-05-23,2021-05-30,0,270729
2021-05-30,2021-06-06,0,261647
2021-06-06,2021-06-13,0,215193
2021-06-13,2021-06-20,0,195195
2021-06-20,2021-06-27,0,471545
2021-06-27,2021-07-04,0,289956
2021-07-04,2021-07-11,0,236701
2021-07-11,2021-07-18,0,206460
2021-07-18,2021-07-25,0,186026
2021-07-25,2021-08-01,0,183024
2021-08-01,2021-08-08,0,191956
2021-08-08,2021-08-15,0,202311
2021-08-15,2021-08-22,0,185330
2021-08-22,2021-08-29,0,150536
2021-08-29,2021-09-05,0,155732
2021-09-05,2021-09-12,0,153687
2021-09-12,2021-09-19,0,146487
2021-09-19,2021-09-26,-10000,142026
2021-09-26,2021-10-03,0,152786
2021-10-03,2021-10-10,0,180054
2021-10-10,2021-10-17,0,161835
2021-10-17,2021-10-24,0,191653
2021-10-24,2021-10-31,0,647180
2021-10-31,2021-11-07,0,563590
2021-11-07,2021-11-14,0,303414
2021-11-14,2021-11-21,0,214252
2021-11-21,2021-11-28,0,166066
