start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,4425,2314997
2019-06-02,2019-06-09,8910,7843944
2019-06-09,2019-06-16,15700,9810819
2019-06-16,2019-06-23,13963,8376186
2019-06-23,2019-06-30,13014,8192315
2019-06-30,2019-07-07,11694,6938985
2019-07-07,2019-07-14,11947,7794440
2019-07-14,2019-07-21,23587,14514999
2019-07-21,2019-07-28,12971,8891577
2019-07-28,2019-08-04,12767,10514126
2019-08-04,2019-08-11,9346,9305738
2019-08-11,2019-08-18,10952,9951255
2019-08-18,2019-08-25,8890,9210716
2019-08-25,2019-09-01,12803,8856712
2019-09-01,2019-09-08,8543,5771647
2019-09-08,2019-09-15,8262,7718926
2019-09-15,2019-09-22,13504,9608157
2019-09-22,2019-09-29,20000,14878057
2019-09-29,2019-10-06,10000,5591175
2019-10-06,2019-10-13,0,7051263
2019-10-13,2019-10-20,20000,9053475
2019-10-20,2019-10-27,0,4504178
2019-10-27,2019-11-03,10000,8437923
2019-11-03,2019-11-10,40000,-6593823
2019-11-10,2019-11-17,10000,7320260
2019-11-17,2019-11-24,20000,10813335
2019-11-24,2019-12-01,20000,12685804
2019-12-01,2019-12-08,0,6487208
2019-12-08,2019-12-15,10000,5239855
2019-12-15,2019-12-22,10000,7871871
2019-12-22,2019-12-29,10000,-2974103
2019-12-29,2020-01-05,20000,10339122
2020-01-05,2020-01-12,0,8279720
2020-01-12,2020-01-19,0,7134955
2020-01-19,2020-01-26,0,5442081
2020-01-26,2020-02-02,10000,8913605
2020-02-02,2020-02-09,0,6382714
2020-02-09,2020-02-16,10000,6714260
2020-02-16,2020-02-23,10000,9812940
2020-02-23,2020-03-01,0,8705797
2020-03-01,2020-03-08,0,7091629
2020-03-08,2020-03-15,10000,10653828
2020-03-15,2020-03-22,10000,7496983
2020-03-22,2020-03-29,10000,9891042
2020-03-29,2020-04-05,10000,9091297
2020-04-05,2020-04-12,10000,10084002
2020-04-12,2020-04-19,10000,8116138
2020-04-19,2020-04-26,10000,10033429
2020-04-26,2020-05-03,10000,10767611
2020-05-03,2020-05-10,10000,10523933
2020-05-10,2020-05-17,10000,11552200
2020-05-17,2020-05-24,10000,9027520
2020-05-24,2020-05-31,10000,9168693
2020-05-31,2020-06-07,10000,9774869
2020-06-07,2020-06-14,10000,8952552
2020-06-14,2020-06-21,10000,5646045
2020-06-21,2020-06-28,10000,6376190
2020-06-28,2020-07-05,10000,7273713
2020-07-05,2020-07-12,10000,8121361
2020-07-12,2020-07-19,10000,8592333
2020-07-19,2020-07-26,10000,5885584
2020-07-26,2020-08-02,10000,1071678
2020-08-02,2020-08-09,0,6137600
2020-08-09,2020-08-16,0,5569844
2020-08-16,2020-08-23,10000,7342985
2020-08-23,2020-08-30,10000,7939347
2020-08-30,2020-09-06,10000,4784236
2020-09-06,2020-09-13,0,4847147
2020-09-13,2020-09-20,0,4658305
2020-09-20,2020-09-27,10000,7414894
2020-09-27,2020-10-04,0,5889829
2020-10-04,2020-10-11,10000,5046539
2020-10-11,2020-10-18,0,5765776
2020-10-18,2020-10-25,10000,4513505
2020-10-25,2020-11-01,0,3127355
2020-11-01,2020-11-08,0,4649866
2020-11-08,2020-11-15,10000,8244602
2020-11-15,2020-11-22,10000,8385942
2020-11-22,2020-11-29,10000,9027448
2020-11-29,2020-12-06,40000,16070143
2020-12-06,2020-12-13,20000,20919268
2020-12-13,2020-12-20,10000,8813903
2020-12-20,2020-12-27,30000,15880989
2020-12-27,2021-01-03,20000,9868633
2021-01-03,2021-01-10,10000,10060357
2021-01-10,2021-01-17,10000,7718535
2021-01-17,2021-01-24,10000,8679989
2021-01-24,2021-01-31,10000,13921478
2021-01-31,2021-02-07,10000,7164426
2021-02-07,2021-02-14,10000,8482806
2021-02-14,2021-02-21,10000,12489589
2021-02-21,2021-02-28,0,8187243
2021-02-28,2021-03-07,10000,6808037
2021-03-07,2021-03-14,10000,8785377
2021-03-14,2021-03-21,0,7941130
2021-03-21,2021-03-28,0,5785736
2021-03-28,2021-04-04,0,7688228
2021-04-04,2021-04-11,10000,6833837
2021-04-11,2021-04-18,10000,7314201
2021-04-18,2021-04-25,10000,6352032
2021-04-25,2021-05-02,10000,5711403
2021-05-02,2021-05-09,10000,6098104
2021-05-09,2021-05-16,0,6559933
2021-05-16,2021-05-23,10000,8346138
2021-05-23,2021-05-30,0,5689667
2021-05-30,2021-06-06,10000,8225879
2021-06-06,2021-06-13,10000,6224370
2021-06-13,2021-06-20,0,6055791
2021-06-20,2021-06-27,10000,4219421
2021-06-27,2021-07-04,0,5572294
2021-07-04,2021-07-11,10000,7610293
2021-07-11,2021-07-18,0,4090655
2021-07-18,2021-07-25,10000,6447436
2021-07-25,2021-08-01,0,6443401
2021-08-01,2021-08-08,10000,4625192
2021-08-08,2021-08-15,0,3372351
2021-08-15,2021-08-22,10000,5323139
2021-08-22,2021-08-29,10000,6416648
2021-08-29,2021-09-05,0,4788057
2021-09-05,2021-09-12,10000,4583858
2021-09-12,2021-09-19,0,3111976
2021-09-19,2021-09-26,0,5532330
2021-09-26,2021-10-03,0,4846871
2021-10-03,2021-10-10,10000,6402955
2021-10-10,2021-10-17,10000,6023754
2021-10-17,2021-10-24,0,3896049
2021-10-24,2021-10-31,10000,6242480
2021-10-31,2021-11-07,0,3788520
2021-11-07,2021-11-14,0,3489601
2021-11-14,2021-11-21,10000,7046916
2021-11-21,2021-11-28,10000,6990313
2021-11-28,2021-12-05,10000,13841084
2021-12-05,2021-12-12,10000,12613057
2021-12-12,2021-12-19,0,4649981
2021-12-19,2021-12-26,10000,6283466
2021-12-26,2022-01-02,0,2920244
2022-01-02,2022-01-09,10000,6048194
2022-01-09,2022-01-16,10000,3543585
2022-01-16,2022-01-23,0,6661869
2022-01-23,2022-01-30,10000,3464097
2022-01-30,2022-02-06,0,3644121
2022-02-06,2022-02-13,10000,6667758
2022-02-13,2022-02-20,0,3237341
2022-02-20,2022-02-27,10000,7515153
2022-02-27,2022-03-06,10000,6077560
2022-03-06,2022-03-13,10000,6596506
2022-03-13,2022-03-20,10000,7111782
2022-03-20,2022-03-27,10000,8943833
2022-03-27,2022-04-03,10000,10756051
2022-04-03,2022-04-10,0,6215340
2022-04-10,2022-04-17,0,6717580
2022-04-17,2022-04-24,10000,6801429
2022-04-24,2022-05-01,0,3928272
2022-05-01,2022-05-08,0,5255379
2022-05-08,2022-05-15,10000,6184710
2022-05-15,2022-05-22,0,6303351
