start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,25533,7485665
2019-06-02,2019-06-09,40374,13312155
2019-06-09,2019-06-16,37681,12678129
2019-06-16,2019-06-23,40526,12502230
2019-06-23,2019-06-30,39076,12247106
2019-06-30,2019-07-07,43399,13651723
2019-07-07,2019-07-14,50524,15520255
2019-07-14,2019-07-21,59395,17075487
2019-07-21,2019-07-28,49015,14756303
2019-07-28,2019-08-04,41951,14890557
2019-08-04,2019-08-11,42702,14467375
2019-08-11,2019-08-18,33434,12739618
2019-08-18,2019-08-25,27977,11353058
2019-08-25,2019-09-01,33374,11484559
2019-09-01,2019-09-08,21809,8481624
2019-09-08,2019-09-15,20745,8454217
2019-09-15,2019-09-22,22757,8882255
2019-09-22,2019-09-29,30000,10875968
2019-09-29,2019-10-06,40000,13178208
2019-10-06,2019-10-13,20000,9755471
2019-10-13,2019-10-20,10000,7281888
2019-10-20,2019-10-27,20000,7559807
2019-10-27,2019-11-03,20000,9070126
2019-11-03,2019-11-10,20000,7596507
2019-11-10,2019-11-17,20000,8594069
2019-11-17,2019-11-24,20000,8572083
2019-11-24,2019-12-01,30000,11986454
2019-12-01,2019-12-08,40000,12151581
2019-12-08,2019-12-15,20000,9421195
2019-12-15,2019-12-22,20000,8988758
2019-12-22,2019-12-29,30000,10578438
2019-12-29,2020-01-05,30000,12240965
2020-01-05,2020-01-12,20000,10487423
2020-01-12,2020-01-19,10000,7582542
2020-01-19,2020-01-26,20000,7170230
2020-01-26,2020-02-02,10000,6992240
2020-02-02,2020-02-09,0,5901608
2020-02-09,2020-02-16,10000,6763714
2020-02-16,2020-02-23,20000,7997519
2020-02-23,2020-03-01,30000,10074032
2020-03-01,2020-03-08,20000,8995112
2020-03-08,2020-03-15,20000,8923705
2020-03-15,2020-03-22,20000,9778231
2020-03-22,2020-03-29,30000,11034506
2020-03-29,2020-04-05,30000,12951002
2020-04-05,2020-04-12,40000,14944620
2020-04-12,2020-04-19,30000,14022543
2020-04-19,2020-04-26,20000,11122692
2020-04-26,2020-05-03,10000,8903628
2020-05-03,2020-05-10,20000,8974436
2020-05-10,2020-05-17,20000,9514087
2020-05-17,2020-05-24,20000,8386331
2020-05-24,2020-05-31,20000,7446004
2020-05-31,2020-06-07,20000,8389573
2020-06-07,2020-06-14,20000,8391813
2020-06-14,2020-06-21,10000,7078187
2020-06-21,2020-06-28,20000,7853702
2020-06-28,2020-07-05,20000,8668282
2020-07-05,2020-07-12,20000,10322783
2020-07-12,2020-07-19,10000,9319892
2020-07-19,2020-07-26,20000,7519991
2020-07-26,2020-08-02,10000,6719637
2020-08-02,2020-08-09,10000,6390262
2020-08-09,2020-08-16,10000,5963014
2020-08-16,2020-08-23,10000,5967674
2020-08-23,2020-08-30,10000,6469811
2020-08-30,2020-09-06,10000,6222964
2020-09-06,2020-09-13,10000,6035311
2020-09-13,2020-09-20,10000,6641502
2020-09-20,2020-09-27,10000,6818863
2020-09-27,2020-10-04,20000,7368209
2020-10-04,2020-10-11,20000,11174005
2020-10-11,2020-10-18,20000,11448601
2020-10-18,2020-10-25,10000,9696287
2020-10-25,2020-11-01,20000,8527508
2020-11-01,2020-11-08,10000,7430218
2020-11-08,2020-11-15,10000,7387515
2020-11-15,2020-11-22,10000,6857663
2020-11-22,2020-11-29,20000,6755923
2020-11-29,2020-12-06,10000,7139170
2020-12-06,2020-12-13,20000,7374404
2020-12-13,2020-12-20,10000,6973001
2020-12-20,2020-12-27,20000,6506962
2020-12-27,2021-01-03,10000,6856326
2021-01-03,2021-01-10,20000,7192522
2021-01-10,2021-01-17,10000,6641846
2021-01-17,2021-01-24,20000,6971977
2021-01-24,2021-01-31,10000,6969283
2021-01-31,2021-02-07,10000,8051376
2021-02-07,2021-02-14,10000,8144306
2021-02-14,2021-02-21,10000,8327982
2021-02-21,2021-02-28,10000,7513159
2021-02-28,2021-03-07,10000,6960901
2021-03-07,2021-03-14,10000,-1738243014
2021-03-14,2021-03-21,0,1728966
2021-03-21,2021-03-28,0,2002344
2021-03-28,2021-04-04,10000,3272310
2021-04-04,2021-04-11,0,-1699464
2021-04-11,2021-04-18,20000,5144053
2021-04-18,2021-04-25,10000,5261775
2021-04-25,2021-05-02,10000,5676391
2021-05-02,2021-05-09,10000,4881042
2021-05-09,2021-05-16,10000,5303561
2021-05-16,2021-05-23,10000,5136408
2021-05-23,2021-05-30,10000,3713900
2021-05-30,2021-06-06,0,3792183
2021-06-06,2021-06-13,0,2893738
2021-06-13,2021-06-20,0,2539677
2021-06-20,2021-06-27,10000,2735644
2021-06-27,2021-07-04,0,2417840
2021-07-04,2021-07-11,0,2296124
2021-07-11,2021-07-18,0,2518515
2021-07-18,2021-07-25,10000,3973495
2021-07-25,2021-08-01,10000,4251133
2021-08-01,2021-08-08,10000,4296703
2021-08-08,2021-08-15,0,3686948
2021-08-15,2021-08-22,0,3752949
2021-08-22,2021-08-29,0,3070018
2021-08-29,2021-09-05,10000,3409462
2021-09-05,2021-09-12,0,2917062
2021-09-12,2021-09-19,0,2538405
2021-09-19,2021-09-26,10000,2237450
2021-09-26,2021-10-03,0,2202048
2021-10-03,2021-10-10,0,2075751
2021-10-10,2021-10-17,0,2210756
2021-10-17,2021-10-24,0,2318964
2021-10-24,2021-10-31,0,2443965
2021-10-31,2021-11-07,0,2498194
2021-11-07,2021-11-14,10000,2366376
2021-11-14,2021-11-21,0,2027280
2021-11-21,2021-11-28,0,2028858
2021-11-28,2021-12-05,0,1643556
2021-12-05,2021-12-12,0,1991942
2021-12-12,2021-12-19,0,1868696
2021-12-19,2021-12-26,10000,52361227
2021-12-26,2022-01-02,0,2216924
2022-01-02,2022-01-09,0,1752906
2022-01-09,2022-01-16,0,1889116
2022-01-16,2022-01-23,0,1945109
2022-01-23,2022-01-30,0,2063337
2022-01-30,2022-02-06,10000,3236376
2022-02-06,2022-02-13,0,2102056
2022-02-13,2022-02-20,0,2240555
2022-02-20,2022-02-27,0,2502344
2022-02-27,2022-03-06,10000,2900788
2022-03-06,2022-03-13,0,3317477
2022-03-13,2022-03-20,10000,2698088
2022-03-20,2022-03-27,0,3167999
2022-03-27,2022-04-03,10000,3118775
2022-04-03,2022-04-10,0,4161735
2022-04-10,2022-04-17,10000,3577921
2022-04-17,2022-04-24,0,1380984711
2022-04-24,2022-05-01,0,4487682
2022-05-01,2022-05-08,0,4354084
2022-05-08,2022-05-15,10000,5463267
2022-05-15,2022-05-22,10000,4778584
