start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,125035,83312516
2019-06-02,2019-06-09,278777,185392027
2019-06-09,2019-06-16,249882,169912139
2019-06-16,2019-06-23,217803,172752767
2019-06-23,2019-06-30,253918,194845468
2019-06-30,2019-07-07,316265,244097359
2019-07-07,2019-07-14,132781,129367413
2019-07-14,2019-07-21,67246,79315939
2019-07-21,2019-07-28,59593,68291791
2019-07-28,2019-08-04,75638,72100856
2019-08-04,2019-08-11,95027,74868890
2019-08-11,2019-08-18,136136,102359738
2019-08-18,2019-08-25,129728,100339437
2019-08-25,2019-09-01,175396,119562592
2019-09-01,2019-09-08,84581,5869099
2019-09-08,2019-09-15,91995,105790118
2019-09-15,2019-09-22,38684,117982119
2019-09-22,2019-09-29,100000,121576310
2019-09-29,2019-10-06,100000,123930036
2019-10-06,2019-10-13,100000,118791099
2019-10-13,2019-10-20,100000,123625114
2019-10-20,2019-10-27,100000,126902104
2019-10-27,2019-11-03,100000,143636988
2019-11-03,2019-11-10,100000,158593091
2019-11-10,2019-11-17,100000,145685861
2019-11-17,2019-11-24,100000,144009130
2019-11-24,2019-12-01,100000,164248971
2019-12-01,2019-12-08,100000,146512072
2019-12-08,2019-12-15,200000,145885874
2019-12-15,2019-12-22,100000,133631549
2019-12-22,2019-12-29,200000,153944661
2019-12-29,2020-01-05,100000,155821535
2020-01-05,2020-01-12,200000,149373984
2020-01-12,2020-01-19,100000,120196275
2020-01-19,2020-01-26,100000,119740280
2020-01-26,2020-02-02,100000,111826933
2020-02-02,2020-02-09,100000,109661895
2020-02-09,2020-02-16,100000,121950151
2020-02-16,2020-02-23,200000,131097113
2020-02-23,2020-03-01,100000,117084929
2020-03-01,2020-03-08,100000,130554551
2020-03-08,2020-03-15,200000,142293028
2020-03-15,2020-03-22,300000,176925395
2020-03-22,2020-03-29,400000,205868415
2020-03-29,2020-04-05,200000,183321211
2020-04-05,2020-04-12,200000,197182512
2020-04-12,2020-04-19,300000,160170938
2020-04-19,2020-04-26,300000,198812532
2020-04-26,2020-05-03,200000,199285164
2020-05-03,2020-05-10,200000,287688579
2020-05-10,2020-05-17,300000,134991912
2020-05-17,2020-05-24,200000,198151089
2020-05-24,2020-05-31,300000,185446635
2020-05-31,2020-06-07,200000,187414336
2020-06-07,2020-06-14,200000,219000314
2020-06-14,2020-06-21,200000,182854532
2020-06-21,2020-06-28,100000,191489936
2020-06-28,2020-07-05,200000,179764690
2020-07-05,2020-07-12,200000,229392117
2020-07-12,2020-07-19,200000,189808245
2020-07-19,2020-07-26,200000,227517110
2020-07-26,2020-08-02,100000,194866016
2020-08-02,2020-08-09,100000,137498616
2020-08-09,2020-08-16,100000,150795107
2020-08-16,2020-08-23,100000,153763718
2020-08-23,2020-08-30,100000,133552142
2020-08-30,2020-09-06,100000,153672233
2020-09-06,2020-09-13,100000,172373431
2020-09-13,2020-09-20,100000,148885847
2020-09-20,2020-09-27,100000,147218249
2020-09-27,2020-10-04,200000,155227248
2020-10-04,2020-10-11,200000,229655354
2020-10-11,2020-10-18,300000,399312898
2020-10-18,2020-10-25,200000,308663934
2020-10-25,2020-11-01,200000,308672503
2020-11-01,2020-11-08,200000,294069273
2020-11-08,2020-11-15,100000,249439655
2020-11-15,2020-11-22,100000,262643738
2020-11-22,2020-11-29,200000,277669084
2020-11-29,2020-12-06,200000,295691214
2020-12-06,2020-12-13,200000,294737778
2020-12-13,2020-12-20,200000,280979725
2020-12-20,2020-12-27,100000,238948062
2020-12-27,2021-01-03,200000,267391947
2021-01-03,2021-01-10,100000,244724962
2021-01-10,2021-01-17,100000,215530840
2021-01-17,2021-01-24,100000,216685990
2021-01-24,2021-01-31,100000,224384663
2021-01-31,2021-02-07,100000,251802345
2021-02-07,2021-02-14,200000,276898751
2021-02-14,2021-02-21,200000,295305035
2021-02-21,2021-02-28,100000,253577633
2021-02-28,2021-03-07,100000,199819207
2021-03-07,2021-03-14,200000,233255240
2021-03-14,2021-03-21,200000,220857696
2021-03-21,2021-03-28,100000,211698986
2021-03-28,2021-04-04,100000,189301875
2021-04-04,2021-04-11,100000,201943895
2021-04-11,2021-04-18,100000,214249531
2021-04-18,2021-04-25,200000,240134736
2021-04-25,2021-05-02,200000,197295545
2021-05-02,2021-05-09,100000,151440024
2021-05-09,2021-05-16,100000,149030897
2021-05-16,2021-05-23,200000,181282808
2021-05-23,2021-05-30,100000,180556788
2021-05-30,2021-06-06,100000,167842174
2021-06-06,2021-06-13,100000,159507845
2021-06-13,2021-06-20,100000,144889140
2021-06-20,2021-06-27,0,152730204
2021-06-27,2021-07-04,100000,135017049
2021-07-04,2021-07-11,0,119675894
2021-07-11,2021-07-18,100000,88212679
2021-07-18,2021-07-25,0,91817354
2021-07-25,2021-08-01,0,108908891
2021-08-01,2021-08-08,100000,105250922
2021-08-08,2021-08-15,0,117983391
2021-08-15,2021-08-22,0,129384678
2021-08-22,2021-08-29,0,99922975
2021-08-29,2021-09-05,100000,127673883
2021-09-05,2021-09-12,100000,172182484
2021-09-12,2021-09-19,100000,195656128
2021-09-19,2021-09-26,0,125778878
2021-09-26,2021-10-03,100000,117646188
2021-10-03,2021-10-10,0,123072778
2021-10-10,2021-10-17,0,118287135
2021-10-17,2021-10-24,100000,125204617
2021-10-24,2021-10-31,0,136056411
2021-10-31,2021-11-07,100000,188532542
2021-11-07,2021-11-14,100000,144164776
2021-11-14,2021-11-21,100000,159254585
2021-11-21,2021-11-28,100000,176332025
2021-11-28,2021-12-05,100000,191325955
2021-12-05,2021-12-12,100000,198089609
2021-12-12,2021-12-19,100000,201209104
2021-12-19,2021-12-26,100000,283327023
2021-12-26,2022-01-02,0,180272408
2022-01-02,2022-01-09,0,222833214
2022-01-09,2022-01-16,100000,209752344
2022-01-16,2022-01-23,100000,301867749
2022-01-23,2022-01-30,0,158765735
2022-01-30,2022-02-06,100000,261537094
2022-02-06,2022-02-13,200000,297572034
2022-02-13,2022-02-20,200000,293819702
2022-02-20,2022-02-27,100000,177747972
2022-02-27,2022-03-06,100000,178288662
2022-03-06,2022-03-13,100000,215506481
2022-03-13,2022-03-20,100000,124688786
2022-03-20,2022-03-27,100000,125971855
2022-03-27,2022-04-03,100000,130715363
