start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,21423,23812203
2019-06-02,2019-06-09,48755,47647136
2019-06-09,2019-06-16,94591,58463865
2019-06-16,2019-06-23,92117,67872953
2019-06-23,2019-06-30,89817,71641549
2019-06-30,2019-07-07,115681,75748791
2019-07-07,2019-07-14,172210,100044665
2019-07-14,2019-07-21,172622,90142402
2019-07-21,2019-07-28,155175,88492153
2019-07-28,2019-08-04,185692,88116181
2019-08-04,2019-08-11,192265,88595843
2019-08-11,2019-08-18,178565,68477994
2019-08-18,2019-08-25,200460,89832195
2019-08-25,2019-09-01,171931,77793203
2019-09-01,2019-09-08,156574,71212366
2019-09-08,2019-09-15,121388,69045178
2019-09-15,2019-09-22,162786,80424994
2019-09-22,2019-09-29,250000,103918780
2019-09-29,2019-10-06,280000,120016243
2019-10-06,2019-10-13,320000,147077314
2019-10-13,2019-10-20,380000,164792230
2019-10-20,2019-10-27,300000,135321767
2019-10-27,2019-11-03,270000,126988454
2019-11-03,2019-11-10,280000,125997372
2019-11-10,2019-11-17,270000,128911686
2019-11-17,2019-11-24,200000,127135361
2019-11-24,2019-12-01,200000,123389411
2019-12-01,2019-12-08,300000,125879596
2019-12-08,2019-12-15,200000,110595301
2019-12-15,2019-12-22,200000,107344143
2019-12-22,2019-12-29,200000,112730784
2019-12-29,2020-01-05,200000,116865527
2020-01-05,2020-01-12,100000,109543861
2020-01-12,2020-01-19,200000,145390473
2020-01-19,2020-01-26,300000,168714462
2020-01-26,2020-02-02,200000,168028330
2020-02-02,2020-02-09,200000,138334790
2020-02-09,2020-02-16,200000,150760916
2020-02-16,2020-02-23,200000,142130337
2020-02-23,2020-03-01,200000,145799742
2020-03-01,2020-03-08,200000,152670573
2020-03-08,2020-03-15,300000,162629906
2020-03-15,2020-03-22,200000,183263516
2020-03-22,2020-03-29,200000,176236120
2020-03-29,2020-04-05,200000,170941307
2020-04-05,2020-04-12,200000,179753295
2020-04-12,2020-04-19,200000,182728603
2020-04-19,2020-04-26,100000,179125895
2020-04-26,2020-05-03,100000,174936091
2020-05-03,2020-05-10,200000,185233842
2020-05-10,2020-05-17,200000,180936547
2020-05-17,2020-05-24,200000,190036264
2020-05-24,2020-05-31,200000,196324664
2020-05-31,2020-06-07,100000,183965125
2020-06-07,2020-06-14,100000,162888062
2020-06-14,2020-06-21,200000,183313101
2020-06-21,2020-06-28,200000,182989394
2020-06-28,2020-07-05,100000,163980146
2020-07-05,2020-07-12,200000,52837985
2020-07-12,2020-07-19,100000,126478740
2020-07-19,2020-07-26,100000,129257773
2020-07-26,2020-08-02,100000,147870621
2020-08-02,2020-08-09,200000,187000720
2020-08-09,2020-08-16,200000,186597010
2020-08-16,2020-08-23,200000,138976122
2020-08-23,2020-08-30,100000,179271845
2020-08-30,2020-09-06,100000,164377177
2020-09-06,2020-09-13,100000,135452145
2020-09-13,2020-09-20,100000,126329423
2020-09-20,2020-09-27,200000,147533260
2020-09-27,2020-10-04,100000,139330212
2020-10-04,2020-10-11,200000,170911321
2020-10-11,2020-10-18,200000,170887959
2020-10-18,2020-10-25,200000,136311279
2020-10-25,2020-11-01,100000,121716660
2020-11-01,2020-11-08,100000,124084772
