start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,294584,260221815
2019-06-02,2019-06-09,601626,538819859
2019-06-09,2019-06-16,527962,516443789
2019-06-16,2019-06-23,471576,467391994
2019-06-23,2019-06-30,540395,527512261
2019-06-30,2019-07-07,511841,517152979
2019-07-07,2019-07-14,282232,359399552
2019-07-14,2019-07-21,194481,263811246
2019-07-21,2019-07-28,209305,242514239
2019-07-28,2019-08-04,221555,243096627
2019-08-04,2019-08-11,2179007,1176795071
2019-08-11,2019-08-18,1079941,797724111
2019-08-18,2019-08-25,603375,483250005
2019-08-25,2019-09-01,546746,461240932
2019-09-01,2019-09-08,442586,405602232
2019-09-08,2019-09-15,547183,490712298
2019-09-15,2019-09-22,530610,464935231
2019-09-22,2019-09-29,700000,546822528
2019-09-29,2019-10-06,600000,550743691
2019-10-06,2019-10-13,600000,505026864
2019-10-13,2019-10-20,500000,468524602
2019-10-20,2019-10-27,500000,495985766
2019-10-27,2019-11-03,500000,463816490
2019-11-03,2019-11-10,500000,486360934
2019-11-10,2019-11-17,500000,484947822
2019-11-17,2019-11-24,500000,467856442
2019-11-24,2019-12-01,500000,485624695
2019-12-01,2019-12-08,500000,478080581
2019-12-08,2019-12-15,400000,470329723
2019-12-15,2019-12-22,400000,458843949
2019-12-22,2019-12-29,500000,472032100
2019-12-29,2020-01-05,500000,478291455
2020-01-05,2020-01-12,500000,470452947
2020-01-12,2020-01-19,600000,598066966
2020-01-19,2020-01-26,600000,612007713
2020-01-26,2020-02-02,600000,562721991
2020-02-02,2020-02-09,600000,590561269
2020-02-09,2020-02-16,600000,612612200
2020-02-16,2020-02-23,500000,548595695
2020-02-23,2020-03-01,400000,516182305
2020-03-01,2020-03-08,500000,582317466
2020-03-08,2020-03-15,600000,625665450
2020-03-15,2020-03-22,600000,673661570
2020-03-22,2020-03-29,500000,689461344
2020-03-29,2020-04-05,600000,755222876
2020-04-05,2020-04-12,500000,714177844
2020-04-12,2020-04-19,600000,721292924
2020-04-19,2020-04-26,600000,772084724
2020-04-26,2020-05-03,600000,776925835
2020-05-03,2020-05-10,700000,856572579
2020-05-10,2020-05-17,700000,892924059
2020-05-17,2020-05-24,800000,973933648
2020-05-24,2020-05-31,700000,915453537
2020-05-31,2020-06-07,600000,762207311
2020-06-07,2020-06-14,600000,713135469
2020-06-14,2020-06-21,700000,861264964
2020-06-21,2020-06-28,600000,764720734
2020-06-28,2020-07-05,600000,714788122
2020-07-05,2020-07-12,400000,662734420
2020-07-12,2020-07-19,500000,682922337
2020-07-19,2020-07-26,500000,645069113
2020-07-26,2020-08-02,500000,633798731
2020-08-02,2020-08-09,500000,683239349
2020-08-09,2020-08-16,600000,726688696
2020-08-16,2020-08-23,600000,711289628
2020-08-23,2020-08-30,600000,736856986
2020-08-30,2020-09-06,500000,735266875
2020-09-06,2020-09-13,500000,718933227
2020-09-13,2020-09-20,500000,722918690
2020-09-20,2020-09-27,400000,705881537
2020-09-27,2020-10-04,500000,722688044
2020-10-04,2020-10-11,600000,751590661
2020-10-11,2020-10-18,500000,793457963
2020-10-18,2020-10-25,500000,654604539
2020-10-25,2020-11-01,400000,620359108
2020-11-01,2020-11-08,400000,570803303
2020-11-08,2020-11-15,400000,599833995
2020-11-15,2020-11-22,400000,609884125
2020-11-22,2020-11-29,400000,616771425
2020-11-29,2020-12-06,500000,613264019
2020-12-06,2020-12-13,400000,604852499
2020-12-13,2020-12-20,0,633346111
2020-12-20,2020-12-27,1000000,652096557
2020-12-27,2021-01-03,0,675598017
2021-01-03,2021-01-10,0,604664963
2021-01-10,2021-01-17,1000000,626367754
2021-01-17,2021-01-24,0,623165899
2021-01-24,2021-01-31,1000000,645725692
2021-01-31,2021-02-07,0,657703833
2021-02-07,2021-02-14,1000000,650108702
2021-02-14,2021-02-21,0,611287376
2021-02-21,2021-02-28,1000000,606858022
2021-02-28,2021-03-07,0,602253207
2021-03-07,2021-03-14,1000000,582995944
2021-03-14,2021-03-21,0,569299678
2021-03-21,2021-03-28,1000000,583924222
2021-03-28,2021-04-04,0,64709828
2021-04-04,2021-04-11,1000000,462225904
2021-04-11,2021-04-18,0,545606441
2021-04-18,2021-04-25,1000000,530241067
2021-04-25,2021-05-02,0,540410759
2021-05-02,2021-05-09,1000000,479987572
2021-05-09,2021-05-16,0,479171198
2021-05-16,2021-05-23,1000000,458945203
2021-05-23,2021-05-30,0,444986606
2021-05-30,2021-06-06,0,489680733
2021-06-06,2021-06-13,1000000,154109536
2021-06-13,2021-06-20,0,436425553
2021-06-20,2021-06-27,1000000,448158395
2021-06-27,2021-07-04,0,488215078
2021-07-04,2021-07-11,1000000,456158969
2021-07-11,2021-07-18,0,451017616
2021-07-18,2021-07-25,1000000,477192451
2021-07-25,2021-08-01,0,365737576
2021-08-01,2021-08-08,0,317284825
2021-08-08,2021-08-15,1000000,340936391
2021-08-15,2021-08-22,0,56013319
2021-08-22,2021-08-29,0,292021280
2021-08-29,2021-09-05,0,323031757
2021-09-05,2021-09-12,1000000,342767747
