start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,47801,27141655
2019-06-02,2019-06-09,99442,56416906
2019-06-09,2019-06-16,89721,51369051
2019-06-16,2019-06-23,87938,52925798
2019-06-23,2019-06-30,89860,51830862
2019-06-30,2019-07-07,104838,55444715
2019-07-07,2019-07-14,96182,53148615
2019-07-14,2019-07-21,73030,42568076
2019-07-21,2019-07-28,98582,50141194
2019-07-28,2019-08-04,79239,44845130
2019-08-04,2019-08-11,69115,39824788
2019-08-11,2019-08-18,85884,43474852
2019-08-18,2019-08-25,47320,30361471
2019-08-25,2019-09-01,44307,29308334
2019-09-01,2019-09-08,49271,30832687
2019-09-08,2019-09-15,47236,29842981
2019-09-22,2019-09-29,100000,29307012
2019-09-29,2019-10-06,0,31278179
2019-10-06,2019-10-13,100000,32368414
2019-10-13,2019-10-20,0,34961034
2019-10-20,2019-10-27,0,32599993
2019-10-27,2019-11-03,0,28361816
2019-11-03,2019-11-10,0,29700817
2019-11-10,2019-11-17,100000,36725449
2019-11-17,2019-11-24,0,33907122
2019-11-24,2019-12-01,100000,33237680
2019-12-01,2019-12-08,0,29427539
2019-12-08,2019-12-15,100000,31715101
2019-12-15,2019-12-22,0,31648894
2019-12-22,2019-12-29,100000,30050141
2019-12-29,2020-01-05,0,30623733
2020-01-05,2020-01-12,100000,30471307
2020-01-12,2020-01-19,100000,30751580
2020-01-19,2020-01-26,0,33100193
2020-01-26,2020-02-02,100000,30978656
2020-02-02,2020-02-09,100000,31153551
2020-02-09,2020-02-16,0,32119264
2020-02-16,2020-02-23,100000,31562885
2020-02-23,2020-03-01,0,29216770
2020-03-01,2020-03-08,0,34239701
2020-03-08,2020-03-15,100000,33903374
2020-03-15,2020-03-22,100000,34284937
2020-03-22,2020-03-29,0,39490605
2020-03-29,2020-04-05,100000,41950411
2020-04-05,2020-04-12,100000,38395318
2020-04-12,2020-04-19,0,40845286
2020-04-19,2020-04-26,100000,37602936
2020-04-26,2020-05-03,100000,42000255
2020-05-03,2020-05-10,0,40909108
2020-05-10,2020-05-17,0,45026576
2020-05-17,2020-05-24,100000,46733872
2020-05-24,2020-05-31,0,40495118
2020-05-31,2020-06-07,0,41694854
2020-06-07,2020-06-14,100000,41735550
2020-06-14,2020-06-21,100000,46973225
2020-06-21,2020-06-28,0,48141908
2020-06-28,2020-07-05,100000,42927894
2020-07-05,2020-07-12,100000,47783632
2020-07-12,2020-07-19,0,45714093
2020-07-19,2020-07-26,0,43347548
2020-07-26,2020-08-02,100000,44388456
2020-08-02,2020-08-09,100000,43584199
2020-08-09,2020-08-16,0,43466764
2020-08-16,2020-08-23,100000,40588817
2020-08-23,2020-08-30,0,37365652
2020-08-30,2020-09-06,100000,40421185
2020-09-06,2020-09-13,100000,41393310
2020-09-13,2020-09-20,0,43488255
2020-09-20,2020-09-27,100000,40243922
2020-09-27,2020-10-04,0,43473992
2020-10-04,2020-10-11,0,44058263
2020-10-11,2020-10-18,100000,49282211
2020-10-18,2020-10-25,100000,45175278
2020-10-25,2020-11-01,0,37876010
2020-11-01,2020-11-08,100000,34111280
2020-11-08,2020-11-15,0,32864913
2020-11-15,2020-11-22,100000,30100835
2020-11-22,2020-11-29,0,31723863
2020-11-29,2020-12-06,100000,34425171
2020-12-06,2020-12-13,0,33839090
2020-12-13,2020-12-20,100000,34070645
2020-12-20,2020-12-27,0,31716780
2020-12-27,2021-01-03,100000,30302651
2021-01-03,2021-01-10,0,30572378
2021-01-10,2021-01-17,100000,30574805
2021-01-17,2021-01-24,100000,30108495
2021-01-24,2021-01-31,0,32001162
2021-01-31,2021-02-07,100000,31720999
2021-02-07,2021-02-14,0,32088535
2021-02-14,2021-02-21,100000,34647271
2021-02-21,2021-02-28,100000,36487903
2021-02-28,2021-03-07,0,35626499
2021-03-07,2021-03-14,100000,32989651
2021-03-14,2021-03-21,100000,31501223
2021-03-21,2021-03-28,0,34388654
2021-03-28,2021-04-04,100000,35562008
2021-04-04,2021-04-11,100000,34879743
2021-04-11,2021-04-18,0,31605968
2021-04-18,2021-04-25,100000,33913849
2021-04-25,2021-05-02,100000,34172738
2021-05-02,2021-05-09,0,34265063
2021-05-09,2021-05-16,100000,30158031
2021-05-16,2021-05-23,0,29075837
2021-05-23,2021-05-30,100000,29516094
2021-05-30,2021-06-06,100000,32238267
2021-06-06,2021-06-13,0,31062755
2021-06-13,2021-06-20,100000,31002069
2021-06-20,2021-06-27,0,28993383
2021-06-27,2021-07-04,100000,29807030
2021-07-04,2021-07-11,0,29886649
2021-07-11,2021-07-18,100000,25855210
2021-07-18,2021-07-25,0,30059279
2021-07-25,2021-08-01,100000,31730851
2021-08-01,2021-08-08,0,27615618
2021-08-08,2021-08-15,100000,27356059
