start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,19839,17272579
2019-06-02,2019-06-09,31423,24597938
2019-06-09,2019-06-16,30619,29581414
2019-06-16,2019-06-23,31084,31193450
2019-06-23,2019-06-30,28610,29405986
2019-06-30,2019-07-07,32402,32622419
2019-07-07,2019-07-14,61328,46909230
2019-07-14,2019-07-21,45822,35146025
2019-07-21,2019-07-28,35991,35798068
2019-07-28,2019-08-04,43264,38710089
2019-08-04,2019-08-11,40182,37992982
2019-08-11,2019-08-18,23771,27758601
2019-08-18,2019-08-25,61112,43479462
2019-08-25,2019-09-01,67444,44246841
2019-09-01,2019-09-08,50685,42247522
2019-09-08,2019-09-15,47427,45404083
2019-09-15,2019-09-22,41750,43085709
2019-09-22,2019-09-29,50000,42256420
2019-09-29,2019-10-06,60000,43933316
2019-10-06,2019-10-13,50000,43787930
2019-10-13,2019-10-20,40000,37107215
2019-10-20,2019-10-27,40000,38049394
2019-10-27,2019-11-03,30000,31192567
2019-11-03,2019-11-10,40000,36224638
2019-11-10,2019-11-17,40000,34432638
2019-11-17,2019-11-24,30000,33060068
2019-11-24,2019-12-01,40000,37473687
2019-12-01,2019-12-08,40000,36174040
2019-12-08,2019-12-15,40000,37506576
2019-12-15,2019-12-22,40000,39466278
2019-12-22,2019-12-29,40000,40604621
2019-12-29,2020-01-05,40000,41946022
2020-01-05,2020-01-12,40000,43672831
2020-01-12,2020-01-19,40000,45954824
2020-01-19,2020-01-26,50000,45529885
2020-01-26,2020-02-02,50000,53846652
2020-02-02,2020-02-09,70000,53288457
2020-02-09,2020-02-16,60000,54131822
2020-02-16,2020-02-23,60000,48944149
2020-02-23,2020-03-01,60000,49917888
2020-03-01,2020-03-08,70000,51152398
2020-03-08,2020-03-15,60000,44355831
2020-03-15,2020-03-22,60000,44058539
2020-03-22,2020-03-29,60000,51044837
2020-03-29,2020-04-05,60000,52306735
2020-04-05,2020-04-12,70000,58473940
2020-04-12,2020-04-19,50000,57589314
2020-04-19,2020-04-26,50000,57092237
2020-04-26,2020-05-03,50000,55548813
2020-05-03,2020-05-10,60000,52554526
2020-05-10,2020-05-17,60000,52492669
2020-05-17,2020-05-24,50000,46358498
2020-05-24,2020-05-31,60000,53267440
2020-05-31,2020-06-07,60000,54870269
2020-06-07,2020-06-14,50000,53999250
2020-06-14,2020-06-21,60000,47624099
2020-06-21,2020-06-28,60000,63320947
2020-06-28,2020-07-05,60000,50769398
2020-07-05,2020-07-12,50000,45958933
2020-07-12,2020-07-19,40000,45924440
2020-07-19,2020-07-26,40000,48774327
2020-07-26,2020-08-02,50000,56333630
2020-08-02,2020-08-09,50000,51628243
2020-08-09,2020-08-16,40000,47876807
2020-08-16,2020-08-23,30000,45821923
2020-08-23,2020-08-30,40000,49325608
2020-08-30,2020-09-06,40000,51983336
2020-09-06,2020-09-13,40000,51514619
2020-09-13,2020-09-20,40000,54166239
2020-09-20,2020-09-27,40000,54050315
2020-09-27,2020-10-04,40000,51125094
2020-10-04,2020-10-11,50000,51942939
2020-10-11,2020-10-18,50000,54521905
2020-10-18,2020-10-25,50000,54935299
2020-10-25,2020-11-01,40000,50581590
2020-11-01,2020-11-08,40000,48357446
2020-11-08,2020-11-15,30000,45639052
2020-11-15,2020-11-22,30000,46170674
2020-11-22,2020-11-29,50000,49496307
2020-11-29,2020-12-06,40000,36863742
2020-12-06,2020-12-13,40000,47180183
2020-12-13,2020-12-20,40000,49493301
2020-12-20,2020-12-27,40000,48706074
2020-12-27,2021-01-03,40000,42462558
2021-01-03,2021-01-10,40000,46620980
2021-01-10,2021-01-17,40000,48332165
2021-01-17,2021-01-24,80000,62831278
2021-01-24,2021-01-31,50000,56638960
2021-01-31,2021-02-07,50000,53724317
2021-02-07,2021-02-14,50000,52118004
2021-02-14,2021-02-21,40000,23269373
2021-02-21,2021-02-28,40000,42500504
2021-02-28,2021-03-07,50000,44806427
2021-03-07,2021-03-14,60000,49046008
2021-03-14,2021-03-21,60000,52320684
2021-03-21,2021-03-28,60000,56645542
2021-03-28,2021-04-04,70000,57478780
2021-04-04,2021-04-11,60000,43133619
2021-04-11,2021-04-18,60000,57143100
2021-04-18,2021-04-25,50000,52056968
