start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,258454,126455008
2019-06-02,2019-06-09,570345,228056367
2019-06-09,2019-06-16,627127,276895989
2019-06-16,2019-06-23,673839,290017149
2019-06-23,2019-06-30,470233,230076916
2019-06-30,2019-07-07,391664,220972377
2019-07-07,2019-07-14,233981,135467152
2019-07-14,2019-07-21,448348,205461595
2019-07-21,2019-07-28,438770,132771194
2019-07-28,2019-08-04,223214,108041183
2019-08-04,2019-08-11,284467,131309147
2019-08-11,2019-08-18,286038,126393716
2019-08-18,2019-08-25,227916,84371210
2019-08-25,2019-09-01,226315,129220191
2019-09-01,2019-09-08,245201,111334588
2019-09-08,2019-09-15,279371,134151510
2019-09-15,2019-09-22,213152,130916226
2019-09-22,2019-09-29,300000,155975833
2019-09-29,2019-10-06,400000,195026591
2019-10-06,2019-10-13,400000,205008757
2019-10-13,2019-10-20,400000,196718198
2019-10-20,2019-10-27,300000,190237844
2019-10-27,2019-11-03,400000,226742762
2019-11-03,2019-11-10,600000,280667006
2019-11-10,2019-11-17,600000,249641168
2019-11-17,2019-11-24,500000,312394671
2019-11-24,2019-12-01,500000,322835041
2019-12-01,2019-12-08,500000,323389792
2019-12-08,2019-12-15,400000,313811437
2019-12-15,2019-12-22,600000,360307151
2019-12-22,2019-12-29,500000,317457567
2019-12-29,2020-01-05,400000,325534370
2020-01-05,2020-01-12,500000,348089349
2020-01-12,2020-01-19,700000,460019732
2020-01-19,2020-01-26,900000,543086531
2020-01-26,2020-02-02,600000,463830916
2020-02-02,2020-02-09,600000,503262116
2020-02-09,2020-02-16,600000,473976507
2020-02-16,2020-02-23,400000,423119915
2020-02-23,2020-03-01,400000,377585034
2020-03-01,2020-03-08,400000,386170262
2020-03-08,2020-03-15,500000,437253765
2020-03-15,2020-03-22,500000,497692531
2020-03-22,2020-03-29,400000,479144574
2020-03-29,2020-04-05,600000,545129656
2020-04-05,2020-04-12,400000,467004608
2020-04-12,2020-04-19,400000,449520580
2020-04-19,2020-04-26,400000,504281426
2020-04-26,2020-05-03,400000,488351388
2020-05-03,2020-05-10,500000,543707675
2020-05-10,2020-05-17,500000,563162985
2020-05-17,2020-05-24,500000,519230677
2020-05-24,2020-05-31,500000,504832870
2020-05-31,2020-06-07,600000,524677731
2020-06-07,2020-06-14,500000,560893668
2020-06-14,2020-06-21,400000,496287837
2020-06-21,2020-06-28,300000,489147033
2020-06-28,2020-07-05,300000,397146690
2020-07-05,2020-07-12,400000,410559604
2020-07-12,2020-07-19,500000,566021732
2020-07-19,2020-07-26,400000,532910470
2020-07-26,2020-08-02,700000,628119166
2020-08-02,2020-08-09,700000,771322942
2020-08-09,2020-08-16,700000,723888475
2020-08-16,2020-08-23,500000,590707217
2020-08-23,2020-08-30,400000,554717591
2020-08-30,2020-09-06,400000,604709461
2020-09-06,2020-09-13,400000,608759420
2020-09-13,2020-09-20,400000,547667201
2020-09-20,2020-09-27,500000,575805347
2020-09-27,2020-10-04,500000,584400681
2020-10-04,2020-10-11,500000,603387396
2020-10-11,2020-10-18,600000,527070828
2020-10-18,2020-10-25,700000,615042061
2020-10-25,2020-11-01,600000,667887400
2020-11-01,2020-11-08,600000,619969469
2020-11-08,2020-11-15,600000,620751562
2020-11-15,2020-11-22,500000,581459779
2020-11-22,2020-11-29,400000,523065992
2020-11-29,2020-12-06,400000,478713833
2020-12-06,2020-12-13,300000,438065341
2020-12-13,2020-12-20,300000,431610416
2020-12-20,2020-12-27,400000,458016244
2020-12-27,2021-01-03,500000,470602891
2021-01-03,2021-01-10,400000,429930403
2021-01-10,2021-01-17,400000,418749940
2021-01-17,2021-01-24,300000,416477252
2021-01-24,2021-01-31,300000,378449271
2021-01-31,2021-02-07,300000,326347411
2021-02-07,2021-02-14,300000,392266789
2021-02-14,2021-02-21,300000,362927795
2021-02-21,2021-02-28,300000,357045785
2021-02-28,2021-03-07,200000,299650038
2021-03-07,2021-03-14,200000,315364532
2021-03-14,2021-03-21,300000,398026355
2021-03-21,2021-03-28,300000,330044084
2021-03-28,2021-04-04,300000,292130912
2021-04-04,2021-04-11,200000,273532552
2021-04-11,2021-04-18,200000,327474394
2021-04-18,2021-04-25,300000,326684027
2021-04-25,2021-05-02,400000,334984050
2021-05-02,2021-05-09,200000,255376833
