start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,21438,17102819
2019-06-02,2019-06-09,48574,41083266
2019-06-09,2019-06-16,35152,41652885
2019-06-16,2019-06-23,36049,10659803
2019-06-23,2019-06-30,52385,50418928
2019-06-30,2019-07-07,66622,55725842
2019-07-07,2019-07-14,121778,81297960
2019-07-14,2019-07-21,141361,89383898
2019-07-21,2019-07-28,123087,79034241
2019-07-28,2019-08-04,120521,76571437
2019-08-04,2019-08-11,85000,62585937
2019-08-11,2019-08-18,73039,39845926
2019-08-18,2019-08-25,104787,73563096
2019-08-25,2019-09-01,108237,89703445
2019-09-01,2019-09-08,94087,61545690
2019-09-08,2019-09-15,92163,70556191
2019-09-15,2019-09-22,39509,70565915
2019-09-22,2019-09-29,100000,81973529
2019-09-29,2019-10-06,100000,-1030318773
2019-10-06,2019-10-13,100000,118278966
2019-10-13,2019-10-20,100000,71914822
2019-10-20,2019-10-27,100000,75513774
2019-10-27,2019-11-03,0,46725746
2019-11-03,2019-11-10,100000,71060693
2019-11-10,2019-11-17,100000,89072764
2019-11-17,2019-11-24,200000,1229290182
2019-11-24,2019-12-01,100000,91431818
2019-12-01,2019-12-08,100000,59549587
2019-12-08,2019-12-15,100000,-13628382
2019-12-15,2019-12-22,100000,107486587
2019-12-22,2019-12-29,200000,133308320
2019-12-29,2020-01-05,200000,119554635
2020-01-05,2020-01-12,200000,116349030
2020-01-12,2020-01-19,200000,104456558
2020-01-19,2020-01-26,200000,190210762
2020-01-26,2020-02-02,200000,150862542
2020-02-02,2020-02-09,200000,137147637
2020-02-09,2020-02-16,200000,147764143
2020-02-16,2020-02-23,200000,100068877
2020-02-23,2020-03-01,200000,136221036
2020-03-01,2020-03-08,200000,114835324
2020-03-08,2020-03-15,200000,310139385
2020-03-15,2020-03-22,200000,137398862
2020-03-22,2020-03-29,100000,121382138
2020-03-29,2020-04-05,100000,140243758
2020-04-05,2020-04-12,200000,117361691
2020-04-12,2020-04-19,200000,141111534
2020-04-19,2020-04-26,200000,140788035
2020-04-26,2020-05-03,200000,132487466
2020-05-03,2020-05-10,200000,131385728
2020-05-10,2020-05-17,200000,149981149
2020-05-17,2020-05-24,200000,126145610
2020-05-24,2020-05-31,200000,135753889
2020-05-31,2020-06-07,100000,90183858
2020-06-07,2020-06-14,100000,139821669
2020-06-14,2020-06-21,100000,106857988
2020-06-21,2020-06-28,100000,84413510
2020-06-28,2020-07-05,100000,-1045337201
2020-07-05,2020-07-12,100000,101958668
2020-07-12,2020-07-19,100000,92674686
2020-07-19,2020-07-26,100000,127385576
2020-07-26,2020-08-02,100000,147958760
2020-08-02,2020-08-09,200000,132248658
2020-08-09,2020-08-16,100000,137414485
2020-08-16,2020-08-23,100000,125472720
2020-08-23,2020-08-30,100000,110964772
2020-08-30,2020-09-06,200000,118050600
2020-09-06,2020-09-13,100000,59586200
2020-09-13,2020-09-20,100000,114702397
2020-09-20,2020-09-27,100000,104907119
2020-09-27,2020-10-04,200000,113302604
2020-10-04,2020-10-11,100000,138012870
2020-10-11,2020-10-18,200000,112740656
2020-10-18,2020-10-25,100000,95766712
2020-10-25,2020-11-01,100000,95618742
2020-11-01,2020-11-08,100000,112520118
2020-11-08,2020-11-15,100000,106530473
2020-11-15,2020-11-22,100000,57225048
2020-11-22,2020-11-29,100000,118731691
2020-11-29,2020-12-06,200000,125360961
2020-12-06,2020-12-13,200000,140799247
2020-12-13,2020-12-20,100000,141934330
2020-12-20,2020-12-27,100000,129196468
2020-12-27,2021-01-03,100000,145830836
2021-01-03,2021-01-10,200000,120794492
2021-01-10,2021-01-17,100000,117233682
2021-01-17,2021-01-24,100000,110898497
2021-01-24,2021-01-31,100000,109222243
2021-01-31,2021-02-07,100000,108177417
2021-02-07,2021-02-14,100000,98175547
2021-02-14,2021-02-21,100000,90494054
2021-02-21,2021-02-28,100000,91173812
2021-02-28,2021-03-07,100000,92717933
2021-03-07,2021-03-14,100000,91989593
2021-03-14,2021-03-21,100000,96063760
2021-03-21,2021-03-28,100000,88911071
2021-03-28,2021-04-04,200000,98787509
2021-04-04,2021-04-11,100000,100994700
2021-04-11,2021-04-18,100000,96215001
2021-04-18,2021-04-25,100000,96609420
2021-04-25,2021-05-02,100000,80973354
2021-05-02,2021-05-09,0,64602534
2021-05-09,2021-05-16,100000,-71529176
2021-05-16,2021-05-23,100000,73840321
2021-05-23,2021-05-30,100000,89886032
2021-05-30,2021-06-06,100000,91574337
2021-06-06,2021-06-13,100000,91583128
2021-06-13,2021-06-20,100000,-133620158
2021-06-20,2021-06-27,100000,62186701
2021-06-27,2021-07-04,0,58853129
2021-07-04,2021-07-11,100000,22097199
2021-07-11,2021-07-18,0,52680508
2021-07-18,2021-07-25,0,72846379
2021-07-25,2021-08-01,100000,75102190
2021-08-01,2021-08-08,100000,70315261
2021-08-08,2021-08-15,100000,77934823
2021-08-15,2021-08-22,100000,72924811
2021-08-22,2021-08-29,100000,60997784
2021-08-29,2021-09-05,100000,42518969
2021-09-05,2021-09-12,100000,45399750
2021-09-12,2021-09-19,100000,62283187
2021-09-19,2021-09-26,100000,75141035
2021-09-26,2021-10-03,100000,84623807
2021-10-03,2021-10-10,100000,72303768
2021-10-10,2021-10-17,100000,64817403
2021-10-17,2021-10-24,0,60639809
2021-10-24,2021-10-31,100000,-922977157
2021-10-31,2021-11-07,100000,2435416738
2021-11-07,2021-11-14,0,58672211
2021-11-14,2021-11-21,0,65862386
2021-11-21,2021-11-28,100000,75951560
2021-11-28,2021-12-05,100000,95153062
2021-12-05,2021-12-12,100000,63123119
2021-12-12,2021-12-19,100000,70877267
2021-12-19,2021-12-26,100000,78179359
2021-12-26,2022-01-02,100000,75178626
2022-01-02,2022-01-09,0,65612640
2022-01-09,2022-01-16,100000,63228402
2022-01-16,2022-01-23,0,9866961
2022-01-23,2022-01-30,100000,51586729
2022-01-30,2022-02-06,0,52281345
2022-02-06,2022-02-13,100000,61826497
2022-02-13,2022-02-20,0,42534982
2022-02-20,2022-02-27,100000,63969153
2022-02-27,2022-03-06,0,53577041
2022-03-06,2022-03-13,100000,44914218
2022-03-13,2022-03-20,0,33259537
2022-03-20,2022-03-27,100000,40512639
2022-03-27,2022-04-03,100000,41981989
2022-04-03,2022-04-10,0,46817354
2022-04-10,2022-04-17,100000,57081199
2022-04-17,2022-04-24,0,49989508
2022-04-24,2022-05-01,100000,40277131
2022-05-01,2022-05-08,0,29729524
2022-05-08,2022-05-15,0,28505871
2022-05-15,2022-05-22,0,28499218
