start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,27876,56523741
2019-06-02,2019-06-09,48577,108688899
2019-06-09,2019-06-16,56007,112298533
2019-06-16,2019-06-23,70015,119539347
2019-06-23,2019-06-30,83818,140972710
2019-06-30,2019-07-07,104293,171687019
2019-07-07,2019-07-14,182552,155157923
2019-07-14,2019-07-21,284460,154494244
2019-07-21,2019-07-28,270973,161728983
2019-07-28,2019-08-04,104269,125034888
2019-08-04,2019-08-11,69657,108088271
2019-08-11,2019-08-18,88294,137977038
2019-08-18,2019-08-25,75765,133143986
2019-08-25,2019-09-01,64249,116272169
2019-09-01,2019-09-08,63376,128038948
2019-09-08,2019-09-15,107303,157439877
2019-09-15,2019-09-22,14449,134112469
2019-09-22,2019-09-29,100000,142592980
2019-09-29,2019-10-06,100000,157116786
2019-10-06,2019-10-13,200000,227127805
2019-10-13,2019-10-20,100000,167434376
2019-10-20,2019-10-27,100000,169425469
2019-10-27,2019-11-03,0,183864088
2019-11-03,2019-11-10,0,177922086
2019-11-10,2019-11-17,100000,195257791
2019-11-17,2019-11-24,0,174485597
2019-11-24,2019-12-01,0,171514637
2019-12-01,2019-12-08,0,163875229
2019-12-08,2019-12-15,100000,153161144
2019-12-15,2019-12-22,100000,163184871
2019-12-22,2019-12-29,100000,145657957
2019-12-29,2020-01-05,100000,185866846
2020-01-05,2020-01-12,0,177744438
2020-01-12,2020-01-19,100000,219818268
2020-01-19,2020-01-26,100000,215946135
2020-01-26,2020-02-02,100000,175806026
2020-02-02,2020-02-09,200000,202879270
2020-02-09,2020-02-16,100000,196234806
2020-02-16,2020-02-23,100000,159381832
2020-02-23,2020-03-01,100000,143789621
2020-03-01,2020-03-08,0,132660080
2020-03-08,2020-03-15,100000,139415378
2020-03-15,2020-03-22,100000,157459103
2020-03-22,2020-03-29,100000,159029507
2020-03-29,2020-04-05,100000,159235612
2020-04-05,2020-04-12,0,153887562
2020-04-12,2020-04-19,100000,162918011
2020-04-19,2020-04-26,100000,165191429
2020-04-26,2020-05-03,100000,167562837
2020-05-03,2020-05-10,100000,161661200
2020-05-10,2020-05-17,0,158441768
2020-05-17,2020-05-24,0,126647562
2020-05-24,2020-05-31,100000,131041926
2020-05-31,2020-06-07,100000,148069538
2020-06-07,2020-06-14,100000,140543098
2020-06-14,2020-06-21,100000,141130208
2020-06-21,2020-06-28,0,129927743
