start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,47721,25513060
2019-06-02,2019-06-09,128901,54674010
2019-06-09,2019-06-16,102533,49455616
2019-06-16,2019-06-23,91373,47679317
2019-06-23,2019-06-30,87423,46068161
2019-06-30,2019-07-07,92008,48835951
2019-07-07,2019-07-14,270606,92397959
2019-07-14,2019-07-21,285191,90818230
2019-07-21,2019-07-28,219108,83317058
2019-07-28,2019-08-04,191294,75842093
2019-08-04,2019-08-11,169682,70999611
2019-08-11,2019-08-18,126793,54321572
2019-08-18,2019-08-25,179123,71767814
2019-08-25,2019-09-01,144899,60307713
2019-09-01,2019-09-08,165912,60280568
2019-09-08,2019-09-15,164349,71270231
2019-09-15,2019-09-22,132260,69177264
2019-09-22,2019-09-29,200000,78293611
2019-09-29,2019-10-06,200000,83116530
2019-10-06,2019-10-13,200000,84929550
2019-10-13,2019-10-20,200000,78408287
2019-10-20,2019-10-27,300000,79528719
2019-10-27,2019-11-03,200000,74877370
2019-11-03,2019-11-10,200000,72487774
2019-11-10,2019-11-17,200000,84498589
2019-11-17,2019-11-24,300000,105277051
2019-11-24,2019-12-01,200000,75488369
2019-12-01,2019-12-08,200000,75224214
2019-12-08,2019-12-15,200000,81634255
2019-12-15,2019-12-22,200000,53414321
2019-12-22,2019-12-29,300000,79871824
2019-12-29,2020-01-05,300000,86007432
2020-01-05,2020-01-12,200000,73508504
2020-01-12,2020-01-19,200000,84366859
2020-01-19,2020-01-26,100000,82196842
2020-01-26,2020-02-02,100000,87004792
2020-02-02,2020-02-09,100000,80004937
2020-02-09,2020-02-16,200000,98465690
2020-02-16,2020-02-23,100000,91488858
2020-02-23,2020-03-01,200000,103126076
2020-03-01,2020-03-08,200000,90023735
2020-03-08,2020-03-15,200000,99949000
2020-03-15,2020-03-22,200000,108472048
2020-03-22,2020-03-29,200000,133214466
2020-03-29,2020-04-05,200000,142890076
2020-04-05,2020-04-12,300000,152025749
2020-04-12,2020-04-19,300000,147612566
2020-04-19,2020-04-26,300000,91864007
2020-04-26,2020-05-03,200000,136663592
2020-05-03,2020-05-10,200000,150882758
2020-05-10,2020-05-17,300000,170133197
2020-05-17,2020-05-24,300000,160844862
2020-05-24,2020-05-31,300000,155906168
2020-05-31,2020-06-07,300000,100614591
2020-06-07,2020-06-14,300000,157837976
2020-06-14,2020-06-21,300000,152699700
2020-06-21,2020-06-28,200000,149956235
2020-06-28,2020-07-05,200000,151619913
2020-07-05,2020-07-12,300000,162536742
2020-07-12,2020-07-19,200000,141080382
2020-07-19,2020-07-26,200000,118999932
2020-07-26,2020-08-02,200000,93316823
2020-08-02,2020-08-09,200000,141918716
2020-08-09,2020-08-16,200000,169347108
2020-08-16,2020-08-23,200000,157415630
2020-08-23,2020-08-30,200000,156311922
2020-08-30,2020-09-06,200000,158218652
2020-09-06,2020-09-13,200000,177446371
2020-09-13,2020-09-20,300000,175468168
2020-09-20,2020-09-27,200000,169733604
2020-09-27,2020-10-04,200000,165688306
2020-10-04,2020-10-11,200000,179010033
2020-10-11,2020-10-18,200000,169241155
2020-10-18,2020-10-25,200000,158453562
2020-10-25,2020-11-01,200000,166311070
2020-11-01,2020-11-08,300000,171430136
2020-11-08,2020-11-15,200000,151651261
2020-11-15,2020-11-22,100000,137359608
2020-11-22,2020-11-29,200000,138021619
2020-11-29,2020-12-06,200000,130953319
2020-12-06,2020-12-13,300000,154538110
2020-12-13,2020-12-20,200000,55847018
2020-12-20,2020-12-27,300000,150010989
2020-12-27,2021-01-03,200000,145954299
2021-01-03,2021-01-10,14000000,142686368
2021-01-10,2021-01-17,-13500000,147344284
2021-01-17,2021-01-24,200000,137321398
2021-01-24,2021-01-31,200000,153276410
2021-01-31,2021-02-07,200000,154077748
2021-02-07,2021-02-14,200000,149020301
2021-02-14,2021-02-21,200000,119134447
2021-02-21,2021-02-28,200000,147042088
2021-02-28,2021-03-07,200000,130917909
2021-03-07,2021-03-14,200000,133774777
2021-03-14,2021-03-21,200000,139462949
2021-03-21,2021-03-28,200000,160759218
2021-03-28,2021-04-04,300000,151192817
2021-04-04,2021-04-11,200000,134338466
2021-04-11,2021-04-18,200000,150414314
2021-04-18,2021-04-25,300000,162676527
2021-04-25,2021-05-02,200000,154875247
2021-05-02,2021-05-09,100000,138846949
2021-05-09,2021-05-16,100000,123945432
2021-05-16,2021-05-23,200000,122491022
2021-05-23,2021-05-30,200000,105331045
2021-05-30,2021-06-06,100000,121673436
2021-06-06,2021-06-13,100000,130717140
2021-06-13,2021-06-20,100000,121174940
2021-06-20,2021-06-27,200000,118122344
2021-06-27,2021-07-04,100000,109923246
2021-07-04,2021-07-11,200000,109203042
2021-07-11,2021-07-18,200000,116969804
2021-07-18,2021-07-25,200000,142870675
2021-07-25,2021-08-01,200000,110949468
2021-08-01,2021-08-08,100000,105028766
2021-08-08,2021-08-15,200000,129629565
2021-08-15,2021-08-22,100000,106120060
2021-08-22,2021-08-29,200000,99391400
2021-08-29,2021-09-05,100000,94375761
2021-09-05,2021-09-12,200000,118681464
2021-09-12,2021-09-19,200000,119034975
2021-09-19,2021-09-26,200000,111525365
2021-09-26,2021-10-03,100000,112918206
2021-10-03,2021-10-10,100000,78301237
2021-10-10,2021-10-17,200000,83777579
2021-10-17,2021-10-24,100000,82990342
2021-10-24,2021-10-31,100000,90031440
2021-10-31,2021-11-07,100000,90615916
2021-11-07,2021-11-14,200000,98374218
2021-11-14,2021-11-21,100000,96299624
2021-11-21,2021-11-28,100000,76583108
2021-11-28,2021-12-05,100000,79094008
2021-12-05,2021-12-12,100000,103692999
2021-12-12,2021-12-19,100000,89960453
2021-12-19,2021-12-26,200000,104105255
2021-12-26,2022-01-02,100000,109927485
2022-01-02,2022-01-09,200000,99910006
2022-01-09,2022-01-16,100000,127298280
2022-01-16,2022-01-23,100000,133788462
2022-01-23,2022-01-30,100000,98469058
2022-01-30,2022-02-06,100000,117734683
2022-02-06,2022-02-13,100000,118140334
2022-02-13,2022-02-20,100000,101912243
2022-02-20,2022-02-27,200000,95027993
2022-02-27,2022-03-06,100000,40405626
2022-03-06,2022-03-13,200000,134402961
2022-03-13,2022-03-20,200000,117277995
2022-03-20,2022-03-27,100000,94619350
