start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,42973,20502866
2019-06-02,2019-06-09,82290,43027802
2019-06-09,2019-06-16,85422,44023326
2019-06-16,2019-06-23,83594,42262436
2019-06-23,2019-06-30,78722,40750046
2019-06-30,2019-07-07,81033,42074309
2019-07-07,2019-07-14,110591,48497261
2019-07-14,2019-07-21,117177,53800299
2019-07-21,2019-07-28,108934,50652741
2019-07-28,2019-08-04,114006,52399621
2019-08-04,2019-08-11,112449,53799856
2019-08-11,2019-08-18,92732,47508562
2019-08-18,2019-08-25,83597,42917391
2019-08-25,2019-09-01,80596,39195674
2019-09-01,2019-09-08,81121,36911166
2019-09-08,2019-09-15,81474,38932232
2019-09-15,2019-09-22,28815,38958427
2019-09-22,2019-09-29,100000,40939354
2019-09-29,2019-10-06,100000,44587186
2019-10-06,2019-10-13,100000,42974315
2019-10-13,2019-10-20,100000,42189841
2019-10-20,2019-10-27,100000,44206120
2019-10-27,2019-11-03,100000,40581462
2019-11-03,2019-11-10,100000,40984614
2019-11-10,2019-11-17,100000,40797987
2019-11-17,2019-11-24,100000,39732256
2019-11-24,2019-12-01,100000,40129320
2019-12-01,2019-12-08,100000,38651014
2019-12-08,2019-12-15,100000,39633216
2019-12-15,2019-12-22,0,37871466
2019-12-22,2019-12-29,0,36035953
2019-12-29,2020-01-05,0,35835750
2020-01-05,2020-01-12,100000,38833445
2020-01-12,2020-01-19,100000,37139535
2020-01-19,2020-01-26,100000,37308197
2020-01-26,2020-02-02,100000,38223341
2020-02-02,2020-02-09,100000,41298640
2020-02-09,2020-02-16,100000,38638959
2020-02-16,2020-02-23,100000,37346270
2020-02-23,2020-03-01,100000,39338946
2020-03-01,2020-03-08,100000,40194865
2020-03-08,2020-03-15,100000,41610495
2020-03-15,2020-03-22,100000,43546280
2020-03-22,2020-03-29,100000,47327139
2020-03-29,2020-04-05,100000,51354307
2020-04-05,2020-04-12,100000,52211842
2020-04-12,2020-04-19,100000,53302142
2020-04-19,2020-04-26,100000,54306670
2020-04-26,2020-05-03,100000,56735498
2020-05-03,2020-05-10,100000,54967951
2020-05-10,2020-05-17,100000,57096749
2020-05-17,2020-05-24,100000,57976435
2020-05-24,2020-05-31,100000,58386678
2020-05-31,2020-06-07,100000,56997287
2020-06-07,2020-06-14,100000,54640576
2020-06-14,2020-06-21,100000,57087562
2020-06-21,2020-06-28,100000,56290749
2020-06-28,2020-07-05,100000,53195568
2020-07-05,2020-07-12,100000,54566116
2020-07-12,2020-07-19,100000,52404636
2020-07-19,2020-07-26,100000,51212160
2020-07-26,2020-08-02,100000,53225319
2020-08-02,2020-08-09,100000,52395592
2020-08-09,2020-08-16,100000,51889757
2020-08-16,2020-08-23,100000,49874936
2020-08-23,2020-08-30,100000,55389351
2020-08-30,2020-09-06,100000,55740354
2020-09-06,2020-09-13,100000,51597786
2020-09-13,2020-09-20,100000,50468323
2020-09-20,2020-09-27,100000,50688874
2020-09-27,2020-10-04,100000,50920407
2020-10-04,2020-10-11,100000,51579931
2020-10-11,2020-10-18,100000,48997059
2020-10-18,2020-10-25,100000,46887739
2020-10-25,2020-11-01,100000,46609625
2020-11-01,2020-11-08,100000,46506074
2020-11-08,2020-11-15,0,44685300
2020-11-15,2020-11-22,0,45830305
2020-11-22,2020-11-29,100000,46901655
2020-11-29,2020-12-06,100000,45710017
2020-12-06,2020-12-13,100000,42220086
2020-12-13,2020-12-20,100000,39234557
2020-12-20,2020-12-27,0,37935887
2020-12-27,2021-01-03,100000,38314844
2021-01-03,2021-01-10,100000,40982896
2021-01-10,2021-01-17,100000,44740968
2021-01-17,2021-01-24,0,44475281
2021-01-24,2021-01-31,0,46588122
2021-01-31,2021-02-07,100000,46164580
2021-02-07,2021-02-14,100000,46834003
2021-02-14,2021-02-21,100000,45709563
2021-02-21,2021-02-28,100000,45103148
2021-02-28,2021-03-07,0,43376568
2021-03-07,2021-03-14,100000,47232943
2021-03-14,2021-03-21,100000,45488797
2021-03-21,2021-03-28,100000,46076701
2021-03-28,2021-04-04,100000,43553210
2021-04-04,2021-04-11,0,43298971
2021-04-11,2021-04-18,0,41504654
2021-04-18,2021-04-25,100000,42579327
2021-04-25,2021-05-02,100000,43722881
2021-05-02,2021-05-09,100000,40883917
2021-05-09,2021-05-16,100000,38004897
2021-05-16,2021-05-23,0,39321381
2021-05-23,2021-05-30,100000,40917131
2021-05-30,2021-06-06,100000,43780933
2021-06-06,2021-06-13,100000,42086213
2021-06-13,2021-06-20,0,41056965
2021-06-20,2021-06-27,100000,40071334
2021-06-27,2021-07-04,100000,40462001
2021-07-04,2021-07-11,100000,36923794
2021-07-11,2021-07-18,0,38697589
2021-07-18,2021-07-25,100000,38496030
2021-07-25,2021-08-01,100000,12252619
2021-08-01,2021-08-08,0,37868409
2021-08-08,2021-08-15,0,43015166
2021-08-15,2021-08-22,100000,37207996
2021-08-22,2021-08-29,0,34153965
2021-08-29,2021-09-05,100000,37221360
2021-09-05,2021-09-12,100000,39049382
2021-09-12,2021-09-19,0,37401185
2021-09-19,2021-09-26,0,37922636
2021-09-26,2021-10-03,100000,39823253
2021-10-03,2021-10-10,100000,37549671
2021-10-10,2021-10-17,0,37048641
2021-10-17,2021-10-24,100000,40160423
2021-10-24,2021-10-31,100000,38174731
2021-10-31,2021-11-07,0,37739846
2021-11-07,2021-11-14,0,36198095
2021-11-14,2021-11-21,100000,35202841
2021-11-21,2021-11-28,0,34717621
2021-11-28,2021-12-05,100000,34818327
2021-12-05,2021-12-12,0,28332935
2021-12-12,2021-12-19,0,27888445
2021-12-19,2021-12-26,100000,34572386
2021-12-26,2022-01-02,0,40685835
2022-01-02,2022-01-09,100000,40912940
2022-01-09,2022-01-16,0,28351144
2022-01-16,2022-01-23,100000,40307059
2022-01-23,2022-01-30,100000,31758205
2022-01-30,2022-02-06,0,30798992
2022-02-06,2022-02-13,100000,26361501
2022-02-13,2022-02-20,0,31762401
2022-02-20,2022-02-27,100000,28622042
2022-02-27,2022-03-06,0,32775088
2022-03-06,2022-03-13,100000,32884003
2022-03-13,2022-03-20,0,35641196
2022-03-20,2022-03-27,100000,30943519
2022-03-27,2022-04-03,0,35463506
2022-04-03,2022-04-10,100000,39426520
2022-04-10,2022-04-17,0,25264737
2022-04-17,2022-04-24,100000,34026244
2022-04-24,2022-05-01,0,42541422
2022-05-01,2022-05-08,100000,40844249
2022-05-08,2022-05-15,0,32440099
2022-05-15,2022-05-22,0,26396289
