start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,261328,154196484
2019-06-02,2019-06-09,507985,283388076
2019-06-09,2019-06-16,401494,242583299
2019-06-16,2019-06-23,410158,231531803
2019-06-23,2019-06-30,349963,200740365
2019-06-30,2019-07-07,396909,235014854
2019-07-07,2019-07-14,206835,130889722
2019-07-14,2019-07-21,215555,103061413
2019-07-21,2019-07-28,168076,73073533
2019-07-28,2019-08-04,191256,85741369
2019-08-04,2019-08-11,161246,23083685
2019-08-11,2019-08-18,226293,19254381
2019-08-18,2019-08-25,258191,151920740
2019-08-25,2019-09-01,212823,131860096
2019-09-01,2019-09-08,162543,101894615
2019-09-08,2019-09-15,131011,93070701
2019-09-15,2019-09-22,273171,161695109
2019-09-22,2019-09-29,300000,178679870
2019-09-29,2019-10-06,300000,175470549
2019-10-06,2019-10-13,400000,194254658
2019-10-13,2019-10-20,300000,179670383
2019-10-20,2019-10-27,200000,181537720
2019-10-27,2019-11-03,300000,214619609
2019-11-03,2019-11-10,300000,208002782
2019-11-10,2019-11-17,300000,192953063
2019-11-17,2019-11-24,300000,162511678
2019-11-24,2019-12-01,300000,44440480
2019-12-01,2019-12-08,300000,185723078
2019-12-08,2019-12-15,400000,217157344
2019-12-15,2019-12-22,300000,171291727
2019-12-22,2019-12-29,300000,173696639
2019-12-29,2020-01-05,300000,208651878
2020-01-05,2020-01-12,300000,197992887
2020-01-12,2020-01-19,200000,174081996
2020-01-19,2020-01-26,300000,248700710
2020-01-26,2020-02-02,600000,343826214
2020-02-02,2020-02-09,400000,275389373
2020-02-09,2020-02-16,300000,286375193
2020-02-16,2020-02-23,300000,227391816
2020-02-23,2020-03-01,200000,205595877
2020-03-01,2020-03-08,300000,253933061
2020-03-08,2020-03-15,300000,225038985
2020-03-15,2020-03-22,500000,297172202
2020-03-22,2020-03-29,500000,304217188
2020-03-29,2020-04-05,400000,292721160
2020-04-05,2020-04-12,400000,258088343
2020-04-12,2020-04-19,400000,248935658
2020-04-19,2020-04-26,400000,283974535
2020-04-26,2020-05-03,500000,351887200
2020-05-03,2020-05-10,500000,377476333
2020-05-10,2020-05-17,400000,398949380
2020-05-17,2020-05-24,400000,417446309
2020-05-24,2020-05-31,400000,405620514
2020-05-31,2020-06-07,600000,471842701
2020-06-07,2020-06-14,500000,428383927
2020-06-14,2020-06-21,500000,441421056
2020-06-21,2020-06-28,400000,390796741
2020-06-28,2020-07-05,500000,537394978
2020-07-05,2020-07-12,600000,541664686
2020-07-12,2020-07-19,1300000,859243104
2020-07-19,2020-07-26,1000000,697131357
2020-07-26,2020-08-02,800000,647528634
2020-08-02,2020-08-09,700000,684000032
2020-08-09,2020-08-16,500000,566627495
2020-08-16,2020-08-23,400000,516323202
2020-08-23,2020-08-30,500000,571601746
2020-08-30,2020-09-06,500000,567092065
2020-09-06,2020-09-13,500000,617230906
2020-09-13,2020-09-20,500000,604392648
2020-09-20,2020-09-27,500000,603538466
2020-09-27,2020-10-04,600000,611330324
2020-10-04,2020-10-11,500000,653598819
2020-10-11,2020-10-18,600000,781243496
2020-10-18,2020-10-25,500000,658951712
2020-10-25,2020-11-01,600000,660710169
2020-11-01,2020-11-08,500000,557621504
2020-11-08,2020-11-15,500000,513647662
2020-11-15,2020-11-22,500000,556405742
2020-11-22,2020-11-29,400000,519876974
2020-11-29,2020-12-06,400000,500217158
2020-12-06,2020-12-13,300000,394572751
2020-12-13,2020-12-20,300000,334597884
2020-12-20,2020-12-27,300000,374074320
2020-12-27,2021-01-03,400000,386714385
2021-01-03,2021-01-10,300000,392603047
2021-01-10,2021-01-17,300000,388206050
2021-01-17,2021-01-24,300000,347213511
2021-01-24,2021-01-31,300000,360144923
2021-01-31,2021-02-07,300000,321452948
2021-02-07,2021-02-14,300000,383613699
2021-02-14,2021-02-21,300000,330581037
2021-02-21,2021-02-28,200000,293002408
2021-02-28,2021-03-07,300000,283933015
2021-03-07,2021-03-14,300000,296856338
2021-03-14,2021-03-21,300000,324952057
2021-03-21,2021-03-28,200000,285103949
2021-03-28,2021-04-04,200000,240721363
2021-04-04,2021-04-11,300000,326676125
2021-04-11,2021-04-18,400000,336306231
2021-04-18,2021-04-25,200000,309735292
2021-04-25,2021-05-02,700000,512583078
2021-05-02,2021-05-09,500000,395538002
2021-05-09,2021-05-16,400000,336990572
2021-05-16,2021-05-23,400000,360369188
2021-05-23,2021-05-30,300000,277139445
2021-05-30,2021-06-06,200000,236222963
2021-06-06,2021-06-13,200000,217879219
2021-06-13,2021-06-20,200000,239849360
2021-06-20,2021-06-27,200000,257133943
2021-06-27,2021-07-04,300000,271408951
2021-07-04,2021-07-11,300000,250417526
2021-07-11,2021-07-18,200000,249534674
2021-07-18,2021-07-25,200000,238102238
2021-07-25,2021-08-01,200000,232122173
2021-08-01,2021-08-08,200000,208639188
2021-08-08,2021-08-15,100000,200094954
2021-08-15,2021-08-22,200000,183484357
2021-08-22,2021-08-29,200000,162597151
2021-08-29,2021-09-05,300000,204485360
2021-09-05,2021-09-12,200000,193187875
2021-09-12,2021-09-19,200000,194470737
2021-09-19,2021-09-26,200000,164792774
2021-09-26,2021-10-03,200000,202067203
2021-10-03,2021-10-10,200000,173329466
2021-10-10,2021-10-17,200000,177796474
2021-10-17,2021-10-24,200000,179448739
2021-10-24,2021-10-31,300000,206501156
2021-10-31,2021-11-07,300000,228597634
2021-11-07,2021-11-14,300000,244564571
2021-11-14,2021-11-21,300000,257835116
2021-11-21,2021-11-28,200000,258606970
2021-11-28,2021-12-05,300000,323538761
2021-12-05,2021-12-12,300000,317609207
2021-12-12,2021-12-19,200000,261064770
2021-12-19,2021-12-26,200000,276948518
2021-12-26,2022-01-02,200000,240285520
2022-01-02,2022-01-09,100000,237836816
2022-01-09,2022-01-16,200000,300692955
2022-01-16,2022-01-23,300000,306493118
2022-01-23,2022-01-30,300000,299834099
2022-01-30,2022-02-06,300000,267970695
2022-02-06,2022-02-13,300000,261625555
2022-02-13,2022-02-20,300000,288736230
2022-02-20,2022-02-27,400000,368534147
2022-02-27,2022-03-06,300000,312155820
2022-03-06,2022-03-13,200000,337797288
2022-03-13,2022-03-20,300000,249636760
2022-03-20,2022-03-27,100000,228688581
2022-03-27,2022-04-03,100000,243389195
2022-04-03,2022-04-10,200000,187219479
2022-04-10,2022-04-17,100000,163283919
2022-04-17,2022-04-24,200000,178925618
2022-04-24,2022-05-01,200000,188072102
2022-05-01,2022-05-08,100000,192307400
2022-05-08,2022-05-15,100000,176387529
2022-05-15,2022-05-22,200000,205643540
