start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,19114,11081511
2019-06-02,2019-06-09,199163,51285960
2019-06-09,2019-06-16,55596,24422843
2019-06-16,2019-06-23,33337,20299485
2019-06-23,2019-06-30,141205,45929112
2019-06-30,2019-07-07,140267,54023270
2019-07-07,2019-07-14,632744,189767863
2019-07-14,2019-07-21,815368,199362819
2019-07-21,2019-07-28,447433,187729059
2019-07-28,2019-08-04,227488,99551979
2019-08-04,2019-08-11,243290,66568451
2019-08-11,2019-08-18,170848,45521021
2019-08-18,2019-08-25,148996,94435565
2019-08-25,2019-09-01,254979,91206034
2019-09-01,2019-09-08,210770,84542636
2019-09-08,2019-09-15,89555,93709335
2019-09-15,2019-09-22,188685,77987472
2019-09-22,2019-09-29,190000,69796343
2019-09-29,2019-10-06,220000,98961762
2019-10-06,2019-10-13,180000,79249441
2019-10-13,2019-10-20,160000,69946556
2019-10-20,2019-10-27,240000,104587869
2019-10-27,2019-11-03,230000,31195102
2019-11-03,2019-11-10,170000,29328093
2019-11-10,2019-11-17,140000,163141207
2019-11-17,2019-11-24,250000,100996288
2019-11-24,2019-12-01,120000,68388820
2019-12-01,2019-12-08,40000,72229313
2019-12-08,2019-12-15,40000,67501997
2019-12-15,2019-12-22,40000,64553155
2019-12-22,2019-12-29,160000,69166211
2019-12-29,2020-01-05,240000,65539254
2020-01-05,2020-01-12,140000,12524069
2020-01-12,2020-01-19,140000,79878897
2020-01-19,2020-01-26,130000,70011724
2020-01-26,2020-02-02,100000,125162348
2020-02-02,2020-02-09,100000,57060059
2020-02-09,2020-02-16,200000,58737194
2020-02-16,2020-02-23,100000,66221745
2020-02-23,2020-03-01,200000,63127312
2020-03-01,2020-03-08,200000,134024010
2020-03-08,2020-03-15,200000,10246452
2020-03-15,2020-03-22,200000,139605786
2020-03-22,2020-03-29,200000,77814713
2020-03-29,2020-04-05,200000,110418441
2020-04-05,2020-04-12,100000,102830573
2020-04-12,2020-04-19,100000,170342771
2020-04-19,2020-04-26,200000,106411109
2020-04-26,2020-05-03,100000,205768109
2020-05-03,2020-05-10,200000,91921324
2020-05-10,2020-05-17,300000,191985117
2020-05-17,2020-05-24,300000,212492765
2020-05-24,2020-05-31,300000,199208312
2020-05-31,2020-06-07,200000,126523568
2020-06-07,2020-06-14,200000,202082445
2020-06-14,2020-06-21,200000,207261415
2020-06-21,2020-06-28,300000,249762779
2020-06-28,2020-07-05,300000,134187951
2020-07-05,2020-07-12,300000,130548981
2020-07-12,2020-07-19,300000,166647267
2020-07-19,2020-07-26,300000,171822797
2020-07-26,2020-08-02,300000,181239294
2020-08-02,2020-08-09,400000,166454082
2020-08-09,2020-08-16,300000,183221341
2020-08-16,2020-08-23,400000,201170305
2020-08-23,2020-08-30,300000,178059174
2020-08-30,2020-09-06,300000,147870223
2020-09-06,2020-09-13,300000,127746338
2020-09-13,2020-09-20,300000,114915973
2020-09-20,2020-09-27,200000,101669531
2020-09-27,2020-10-04,0,125357190
2020-10-04,2020-10-11,100000,111920842
2020-10-11,2020-10-18,300000,130453163
2020-10-18,2020-10-25,300000,79427640
2020-10-25,2020-11-01,300000,146078533
2020-11-01,2020-11-08,200000,154915954
2020-11-08,2020-11-15,200000,144313511
2020-11-15,2020-11-22,300000,141379227
2020-11-22,2020-11-29,200000,140189148
2020-11-29,2020-12-06,200000,171348750
2020-12-06,2020-12-13,200000,177508222
2020-12-13,2020-12-20,200000,167866027
2020-12-20,2020-12-27,200000,160315509
2020-12-27,2021-01-03,200000,186866553
2021-01-03,2021-01-10,200000,199242260
2021-01-10,2021-01-17,200000,173126118
2021-01-17,2021-01-24,200000,164562713
2021-01-24,2021-01-31,300000,214001138
2021-01-31,2021-02-07,200000,172575337
2021-02-07,2021-02-14,200000,200067552
2021-02-14,2021-02-21,200000,181815879
2021-02-21,2021-02-28,200000,153637753
2021-02-28,2021-03-07,200000,185881785
2021-03-07,2021-03-14,300000,151705106
2021-03-14,2021-03-21,300000,154892076
2021-03-21,2021-03-28,300000,117642871
2021-03-28,2021-04-04,400000,101944547
2021-04-04,2021-04-11,300000,5964604
2021-04-11,2021-04-18,300000,87803028
2021-04-18,2021-04-25,300000,142806814
2021-04-25,2021-05-02,400000,128222681
2021-05-02,2021-05-09,300000,123600395
2021-05-09,2021-05-16,300000,109061813
2021-05-16,2021-05-23,200000,82631711
2021-05-23,2021-05-30,200000,71723522
2021-05-30,2021-06-06,200000,54821344
2021-06-06,2021-06-13,200000,55448285
2021-06-13,2021-06-20,200000,50961607
2021-06-20,2021-06-27,100000,44267413
2021-06-27,2021-07-04,100000,45701590
2021-07-04,2021-07-11,100000,42952076
2021-07-11,2021-07-18,200000,41101855
2021-07-18,2021-07-25,200000,37485136
2021-07-25,2021-08-01,200000,36112398
2021-08-01,2021-08-08,100000,38931438
2021-08-08,2021-08-15,100000,43854867
2021-08-15,2021-08-22,200000,71399415
2021-08-22,2021-08-29,100000,124819373
2021-08-29,2021-09-05,100000,69353058
2021-09-05,2021-09-12,100000,70581117
2021-09-12,2021-09-19,100000,94281926
2021-09-19,2021-09-26,100000,80930365
2021-09-26,2021-10-03,100000,77808757
2021-10-03,2021-10-10,100000,71544894
2021-10-10,2021-10-17,0,115927491
2021-10-17,2021-10-24,0,81705763
2021-10-24,2021-10-31,100000,52674701
2021-10-31,2021-11-07,100000,42024673
2021-11-07,2021-11-14,100000,40986693
2021-11-14,2021-11-21,100000,31328623
2021-11-21,2021-11-28,200000,47123129
2021-11-28,2021-12-05,100000,85932280
2021-12-05,2021-12-12,200000,112108137
2021-12-12,2021-12-19,100000,99245298
2021-12-19,2021-12-26,200000,103944017
2021-12-26,2022-01-02,200000,116825680
2022-01-02,2022-01-09,100000,80652160
2022-01-09,2022-01-16,200000,89981153
2022-01-16,2022-01-23,200000,69778469
2022-01-23,2022-01-30,100000,97033947
2022-01-30,2022-02-06,0,82528627
2022-02-06,2022-02-13,0,116073269
2022-02-13,2022-02-20,100000,93323404
