start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,13598,12275315
2019-06-02,2019-06-09,20014,22021462
2019-06-09,2019-06-16,26270,28292729
2019-06-16,2019-06-23,35972,36131558
2019-06-23,2019-06-30,30914,35021030
2019-06-30,2019-07-07,38606,37154138
2019-07-07,2019-07-14,22839,25955715
2019-07-14,2019-07-21,25989,27509322
2019-07-21,2019-07-28,26656,30529815
2019-07-28,2019-08-04,37405,36411370
2019-08-04,2019-08-11,25023,28488128
2019-08-11,2019-08-18,27383,29710939
2019-08-18,2019-08-25,22736,24897932
2019-08-25,2019-09-01,36819,29680834
2019-09-01,2019-09-08,38263,36018252
2019-09-08,2019-09-15,37704,37934456
2019-09-15,2019-09-22,30000,31717782
2019-09-22,2019-09-29,30000,33251200
2019-09-29,2019-10-06,20000,26630032
2019-10-06,2019-10-13,20000,23931487
2019-10-13,2019-10-20,20000,27264896
2019-10-20,2019-10-27,20000,28344513
2019-10-27,2019-11-03,30000,29629114
2019-11-03,2019-11-10,30000,36602427
2019-11-10,2019-11-17,30000,38509821
2019-11-17,2019-11-24,30000,37751424
2019-11-24,2019-12-01,30000,35762537
2019-12-01,2019-12-08,20000,33332452
2019-12-08,2019-12-15,30000,29826512
2019-12-15,2019-12-22,40000,36137949
2019-12-22,2019-12-29,40000,41712605
2019-12-29,2020-01-05,80000,50662000
2020-01-05,2020-01-12,120000,63262051
2020-01-12,2020-01-19,40000,45310484
2020-01-19,2020-01-26,50000,43272427
2020-01-26,2020-02-02,110000,71599790
2020-02-02,2020-02-09,60000,54434245
2020-02-09,2020-02-16,40000,30801360
2020-02-16,2020-02-23,40000,40171435
2020-02-23,2020-03-01,80000,42665216
2020-03-01,2020-03-08,50000,40166859
2020-03-08,2020-03-15,80000,50445552
2020-03-15,2020-03-22,120000,61035986
2020-03-22,2020-03-29,110000,51687242
2020-03-29,2020-04-05,100000,56409634
2020-04-05,2020-04-12,100000,47143042
2020-04-12,2020-04-19,90000,48715170
2020-04-19,2020-04-26,80000,47737986
2020-04-26,2020-05-03,70000,40135357
2020-05-03,2020-05-10,50000,34667021
2020-05-10,2020-05-17,60000,30872699
2020-05-17,2020-05-24,60000,23841492
2020-05-24,2020-05-31,70000,39000199
2020-05-31,2020-06-07,110000,47275146
2020-06-07,2020-06-14,60000,30578750
2020-06-14,2020-06-21,40000,25579274
2020-06-21,2020-06-28,40000,28350834
2020-06-28,2020-07-05,30000,23856945
2020-07-05,2020-07-12,40000,21828165
2020-07-12,2020-07-19,20000,21785248
2020-07-19,2020-07-26,40000,28098611
2020-07-26,2020-08-02,40000,31856610
2020-08-02,2020-08-09,50000,36663202
2020-08-09,2020-08-16,30000,32509386
2020-08-16,2020-08-23,30000,27195376
2020-08-23,2020-08-30,40000,34582737
2020-08-30,2020-09-06,20000,23799476
2020-09-06,2020-09-13,30000,27725515
2020-09-13,2020-09-20,40000,36407443
2020-09-20,2020-09-27,30000,26033269
2020-09-27,2020-10-04,70000,42747878
2020-10-04,2020-10-11,60000,41657256
2020-10-11,2020-10-18,40000,36949256
2020-10-18,2020-10-25,0,34341236
2020-10-25,2020-11-01,100000,29602057
2020-11-01,2020-11-08,300000,176175122
2020-11-08,2020-11-15,0,54953363
2020-11-15,2020-11-22,100000,38362005
2020-11-22,2020-11-29,0,31913437
2020-11-29,2020-12-06,0,28094407
2020-12-06,2020-12-13,100000,25713602
2020-12-13,2020-12-20,0,25527696
2020-12-20,2020-12-27,0,28444279
2020-12-27,2021-01-03,0,30296776
2021-01-03,2021-01-10,0,63331798
2021-01-10,2021-01-17,100000,43963514
2021-01-17,2021-01-24,100000,61997879
2021-01-24,2021-01-31,0,34134877
2021-01-31,2021-02-07,0,31558402
2021-02-07,2021-02-14,0,35624832
2021-02-14,2021-02-21,0,36549810
2021-02-21,2021-02-28,100000,35304227
2021-02-28,2021-03-07,0,24198148
2021-03-07,2021-03-14,0,22117130
2021-03-14,2021-03-21,0,22324949
2021-03-21,2021-03-28,100000,29427914
2021-03-28,2021-04-04,0,30906293
2021-04-04,2021-04-11,0,31494453
2021-04-11,2021-04-18,100000,32469570
2021-04-18,2021-04-25,0,32228591
2021-04-25,2021-05-02,0,25933126
2021-05-02,2021-05-09,100000,20673359
2021-05-09,2021-05-16,0,21710525
2021-05-16,2021-05-23,0,18448882
2021-05-23,2021-05-30,0,19337534
2021-05-30,2021-06-06,0,15499268
2021-06-06,2021-06-13,100000,18142643
2021-06-13,2021-06-20,0,20534270
2021-06-20,2021-06-27,0,24371274
2021-06-27,2021-07-04,0,22733763
2021-07-04,2021-07-11,100000,20822217
