start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,1104,1431125
2019-06-02,2019-06-09,2117,3073578
2019-06-09,2019-06-16,2053,2743135
2019-06-16,2019-06-23,2183,2920060
2019-06-23,2019-06-30,1860,2725790
2019-06-30,2019-07-07,2314,3071324
2019-07-07,2019-07-14,1980,2963452
2019-07-14,2019-07-21,1678,2778205
2019-07-21,2019-07-28,1423,2299229
2019-07-28,2019-08-04,1354,2319734
2019-08-04,2019-08-11,1239,2353706
2019-08-11,2019-08-18,1974,3042942
2019-08-18,2019-08-25,1805,2881148
2019-08-25,2019-09-01,1856,2884855
2019-09-01,2019-09-08,2031,2968418
2019-09-08,2019-09-15,1652,2536504
2019-09-15,2019-09-22,1036,2145510
2019-09-22,2019-09-29,2000,2411530
2019-09-29,2019-10-06,2000,2237108
2019-10-06,2019-10-13,2000,2319834
2019-10-13,2019-10-20,2000,2446836
2019-10-20,2019-10-27,2000,2188264
2019-10-27,2019-11-03,2000,2654182
2019-11-03,2019-11-10,2000,2524297
2019-11-10,2019-11-17,1000,2038179
2019-11-17,2019-11-24,2000,1904888
2019-11-24,2019-12-01,2000,1803413
2019-12-01,2019-12-08,0,1846850
2019-12-08,2019-12-15,2000,1856115
2019-12-15,2019-12-22,1000,1784022
2019-12-22,2019-12-29,3000,3719272
2019-12-29,2020-01-05,3000,3991768
2020-01-05,2020-01-12,2000,2604703
2020-01-12,2020-01-19,2000,2158660
2020-01-19,2020-01-26,1000,2032136
2020-01-26,2020-02-02,1000,1572311
2020-02-02,2020-02-09,1000,2193641
2020-02-09,2020-02-16,2000,2728820
2020-02-16,2020-02-23,2000,2748786
2020-02-23,2020-03-01,0,2296383
2020-03-01,2020-03-08,0,1767855
2020-03-08,2020-03-15,0,1617988
2020-03-15,2020-03-22,0,1896464
2020-03-22,2020-03-29,10000,2798208
2020-03-29,2020-04-05,0,2964374
2020-04-05,2020-04-12,0,3343790
2020-04-12,2020-04-19,0,2817880
2020-04-19,2020-04-26,10000,3958509
2020-04-26,2020-05-03,0,2151905
2020-05-03,2020-05-10,0,1839772
2020-05-10,2020-05-17,0,2010491
2020-05-17,2020-05-24,0,2028969
2020-05-24,2020-05-31,0,2100037
2020-05-31,2020-06-07,0,2127944
2020-06-07,2020-06-14,10000,2008431
2020-06-14,2020-06-21,0,1903446
2020-06-21,2020-06-28,0,1825242
2020-06-28,2020-07-05,0,2235285
2020-07-05,2020-07-12,0,2340169
2020-07-12,2020-07-19,10000,2363439
2020-07-19,2020-07-26,0,658325
2020-07-26,2020-08-02,0,1982042
2020-08-02,2020-08-09,0,2152087
2020-08-09,2020-08-16,0,2436267
2020-08-16,2020-08-23,10000,2256309
2020-08-23,2020-08-30,0,2370053
2020-08-30,2020-09-06,0,2659254
2020-09-06,2020-09-13,0,2715365
2020-09-13,2020-09-20,0,2741740
2020-09-20,2020-09-27,0,2835624
2020-09-27,2020-10-04,0,2711666
2020-10-04,2020-10-11,0,2539204
2020-10-11,2020-10-18,10000,2081989
2020-10-18,2020-10-25,0,2607368
2020-10-25,2020-11-01,0,3453789
2020-11-01,2020-11-08,0,4199354
2020-11-08,2020-11-15,10000,4038975
2020-11-15,2020-11-22,0,4240262
2020-11-22,2020-11-29,0,3980304
2020-11-29,2020-12-06,10000,3270200
2020-12-06,2020-12-13,0,3206447
2020-12-13,2020-12-20,0,3214620
2020-12-20,2020-12-27,0,3238595
2020-12-27,2021-01-03,10000,3544646
2021-01-03,2021-01-10,0,3563552
2021-01-10,2021-01-17,0,2872086
2021-01-17,2021-01-24,0,3040072
2021-01-24,2021-01-31,10000,2666456
2021-01-31,2021-02-07,0,2290277
2021-02-07,2021-02-14,0,2568783
2021-02-14,2021-02-21,0,2378637
2021-02-21,2021-02-28,0,2233072
2021-02-28,2021-03-07,10000,1201879
2021-03-07,2021-03-14,0,2681844
2021-03-14,2021-03-21,0,1915185
2021-03-21,2021-03-28,0,2019497
2021-03-28,2021-04-04,0,2086489
2021-04-04,2021-04-11,10000,2329136
2021-04-11,2021-04-18,0,3543118
2021-04-18,2021-04-25,10000,3623166
2021-04-25,2021-05-02,0,2888875
2021-05-02,2021-05-09,0,2136558
2021-05-09,2021-05-16,0,1992031
2021-05-16,2021-05-23,10000,1866043
2021-05-23,2021-05-30,0,1533023
