start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,4156,3243475
2019-06-02,2019-06-09,6660,5699984
2019-06-09,2019-06-16,8645,7096113
2019-06-16,2019-06-23,10989,9210317
2019-06-23,2019-06-30,8532,8528026
2019-06-30,2019-07-07,12642,10924854
2019-07-07,2019-07-14,7945,6698973
2019-07-14,2019-07-21,11235,8606997
2019-07-21,2019-07-28,12293,8444301
2019-07-28,2019-08-04,13064,10562520
2019-08-04,2019-08-11,11780,10465099
2019-08-11,2019-08-18,13632,10658953
2019-08-18,2019-08-25,6869,5932697
2019-08-25,2019-09-01,15834,10008381
2019-09-01,2019-09-08,9777,9147671
2019-09-08,2019-09-15,10704,9734797
2019-09-15,2019-09-22,3516,7415105
2019-09-22,2019-09-29,20000,9949895
2019-09-29,2019-10-06,10000,11252470
2019-10-06,2019-10-13,10000,9117219
2019-10-13,2019-10-20,20000,11626579
2019-10-20,2019-10-27,10000,11946959
2019-10-27,2019-11-03,10000,6865354
2019-11-03,2019-11-10,10000,7748468
2019-11-10,2019-11-17,10000,11933102
2019-11-17,2019-11-24,20000,17129951
2019-11-24,2019-12-01,0,8238177
2019-12-01,2019-12-08,10000,9455575
2019-12-08,2019-12-15,10000,10350066
2019-12-15,2019-12-22,10000,10841138
2019-12-22,2019-12-29,20000,16758381
2019-12-29,2020-01-05,30000,21671498
2020-01-05,2020-01-12,60000,25877458
2020-01-12,2020-01-19,10000,11987430
2020-01-19,2020-01-26,50000,19740577
2020-01-26,2020-02-02,40000,26514348
2020-02-02,2020-02-09,20000,18700719
2020-02-09,2020-02-16,10000,11452378
2020-02-16,2020-02-23,20000,21657986
2020-02-23,2020-03-01,30000,20393514
2020-03-01,2020-03-08,10000,17720115
2020-03-08,2020-03-15,20000,15723588
2020-03-15,2020-03-22,20000,13769184
2020-03-22,2020-03-29,20000,11358572
2020-03-29,2020-04-05,20000,19058319
2020-04-05,2020-04-12,20000,19510452
2020-04-12,2020-04-19,20000,17134170
2020-04-19,2020-04-26,30000,21163485
2020-04-26,2020-05-03,20000,18226971
2020-05-03,2020-05-10,20000,22758288
2020-05-10,2020-05-17,10000,14737576
2020-05-17,2020-05-24,10000,10956840
2020-05-24,2020-05-31,30000,23338301
2020-05-31,2020-06-07,30000,14850465
2020-06-07,2020-06-14,10000,12638187
2020-06-14,2020-06-21,10000,11189257
2020-06-21,2020-06-28,10000,9945769
2020-06-28,2020-07-05,10000,11826371
2020-07-05,2020-07-12,10000,10533297
2020-07-12,2020-07-19,10000,11734179
2020-07-19,2020-07-26,20000,14916862
2020-07-26,2020-08-02,20000,16606614
2020-08-02,2020-08-09,20000,22158149
2020-08-09,2020-08-16,20000,14793898
2020-08-16,2020-08-23,20000,12441476
