start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,6285,9556484
2019-06-02,2019-06-09,20891,27905514
2019-06-09,2019-06-16,15703,23312050
2019-06-16,2019-06-23,23452,28362615
2019-06-23,2019-06-30,29611,34078895
2019-06-30,2019-07-07,41177,43327451
2019-07-07,2019-07-14,23852,36113471
2019-07-14,2019-07-21,41913,49446113
2019-07-21,2019-07-28,37339,43881631
2019-07-28,2019-08-04,29402,38641457
2019-08-04,2019-08-11,20018,33215246
2019-08-11,2019-08-18,21083,36074163
2019-08-18,2019-08-25,18883,32408513
2019-08-25,2019-09-01,27183,31287565
2019-09-01,2019-09-08,17765,24766339
2019-09-08,2019-09-15,17186,30728197
2019-09-15,2019-09-22,19425,36533067
2019-09-22,2019-09-29,30000,45358148
2019-09-29,2019-10-06,20000,40119037
2019-10-06,2019-10-13,30000,38681971
2019-10-13,2019-10-20,20000,37667250
2019-10-20,2019-10-27,40000,34468326
2019-10-27,2019-11-03,20000,37464220
2019-11-03,2019-11-10,20000,34812725
2019-11-10,2019-11-17,40000,40261776
2019-11-17,2019-11-24,20000,41669814
2019-11-24,2019-12-01,10000,32549900
2019-12-01,2019-12-08,20000,45357077
2019-12-08,2019-12-15,30000,45578296
2019-12-15,2019-12-22,40000,51489127
2019-12-22,2019-12-29,20000,34813568
2019-12-29,2020-01-05,50000,53117208
2020-01-05,2020-01-12,120000,75325069
2020-01-12,2020-01-19,30000,50576199
2020-01-19,2020-01-26,30000,53820342
2020-01-26,2020-02-02,50000,58974375
2020-02-02,2020-02-09,60000,76499454
2020-02-09,2020-02-16,20000,52993730
2020-02-16,2020-02-23,20000,50491821
2020-02-23,2020-03-01,30000,44726456
2020-03-01,2020-03-08,30000,43919456
2020-03-08,2020-03-15,60000,54901998
2020-03-15,2020-03-22,60000,41359921
2020-03-22,2020-03-29,60000,45313086
2020-03-29,2020-04-05,60000,41822696
2020-04-05,2020-04-12,60000,45290144
2020-04-12,2020-04-19,60000,51714693
2020-04-19,2020-04-26,50000,50843543
2020-04-26,2020-05-03,60000,50173556
2020-05-03,2020-05-10,50000,51494776
2020-05-10,2020-05-17,60000,53205923
2020-05-17,2020-05-24,40000,45256764
2020-05-24,2020-05-31,50000,45386632
2020-05-31,2020-06-07,70000,62830363
2020-06-07,2020-06-14,80000,66298804
2020-06-14,2020-06-21,70000,68593939
2020-06-21,2020-06-28,60000,54024138
2020-06-28,2020-07-05,60000,56237327
2020-07-05,2020-07-12,60000,54643702
2020-07-12,2020-07-19,40000,47553828
2020-07-19,2020-07-26,50000,53853572
2020-07-26,2020-08-02,40000,54706928
2020-08-02,2020-08-09,50000,60328782
2020-08-09,2020-08-16,50000,65408858
2020-08-16,2020-08-23,50000,65034357
2020-08-23,2020-08-30,60000,67356327
2020-08-30,2020-09-06,50000,72310768
2020-09-06,2020-09-13,40000,53195224
2020-09-13,2020-09-20,40000,52862184
2020-09-20,2020-09-27,30000,56711375
2020-09-27,2020-10-04,70000,70901244
2020-10-04,2020-10-11,50000,61020666
2020-10-11,2020-10-18,50000,67598750
2020-10-18,2020-10-25,80000,81115894
2020-10-25,2020-11-01,70000,79715332
2020-11-01,2020-11-08,40000,132966987
2020-11-08,2020-11-15,-20000,57853683
2020-11-15,2020-11-22,0,49110545
2020-11-22,2020-11-29,0,38099874
2020-11-29,2020-12-06,10000,34092606
2020-12-06,2020-12-13,20000,38261189
2020-12-13,2020-12-20,10000,28428808
2020-12-20,2020-12-27,10000,28751543
2020-12-27,2021-01-03,10000,20251363
2021-01-03,2021-01-10,30000,49151694
2021-01-10,2021-01-17,30000,40415992
2021-01-17,2021-01-24,20000,48779312
2021-01-24,2021-01-31,40000,51159677
2021-01-31,2021-02-07,20000,44423012
2021-02-07,2021-02-14,30000,52097265
2021-02-14,2021-02-21,20000,49103648
2021-02-21,2021-02-28,20000,35222750
2021-02-28,2021-03-07,10000,30648093
2021-03-07,2021-03-14,10000,28081800
2021-03-14,2021-03-21,20000,32083907
2021-03-21,2021-03-28,40000,44069490
2021-03-28,2021-04-04,20000,33273358
2021-04-04,2021-04-11,20000,40417231
2021-04-11,2021-04-18,30000,53944812
2021-04-18,2021-04-25,40000,63981097
2021-04-25,2021-05-02,40000,52142514
2021-05-02,2021-05-09,30000,43266739
2021-05-09,2021-05-16,50000,49546601
2021-05-16,2021-05-23,30000,43863105
2021-05-23,2021-05-30,30000,42274536
2021-05-30,2021-06-06,40000,44773568
2021-06-06,2021-06-13,40000,46888983
2021-06-13,2021-06-20,30000,50949212
2021-06-20,2021-06-27,30000,53329691
2021-06-27,2021-07-04,30000,52434214
2021-07-04,2021-07-11,30000,52352311
2021-07-11,2021-07-18,30000,57902208
2021-07-18,2021-07-25,30000,49119107
2021-07-25,2021-08-01,20000,46287272
2021-08-01,2021-08-08,40000,51854152
2021-08-08,2021-08-15,30000,60287513
2021-08-15,2021-08-22,80000,94391840
2021-08-22,2021-08-29,70000,83005641
2021-08-29,2021-09-05,50000,69462453
2021-09-05,2021-09-12,40000,62260143
2021-09-12,2021-09-19,50000,68224105
2021-09-19,2021-09-26,40000,63799030
2021-09-26,2021-10-03,30000,58770998
2021-10-03,2021-10-10,30000,53925959
2021-10-10,2021-10-17,40000,70380096
2021-10-17,2021-10-24,30000,69882339
2021-10-24,2021-10-31,30000,66659047
2021-10-31,2021-11-07,50000,85025991
2021-11-07,2021-11-14,40000,70602630
2021-11-14,2021-11-21,50000,82383870
2021-11-21,2021-11-28,30000,66247516
2021-11-28,2021-12-05,30000,51887871
2021-12-05,2021-12-12,30000,69069656
2021-12-12,2021-12-19,20000,58542314
2021-12-19,2021-12-26,10000,48558994
2021-12-26,2022-01-02,10000,43831784
2022-01-02,2022-01-09,20000,44837112
2022-01-09,2022-01-16,20000,51957405
2022-01-16,2022-01-23,20000,59442533
2022-01-23,2022-01-30,30000,65902629
2022-01-30,2022-02-06,40000,68493064
2022-02-06,2022-02-13,70000,88496372
2022-02-13,2022-02-20,70000,111317121
2022-02-20,2022-02-27,110000,97494877
2022-02-27,2022-03-06,60000,73957090
2022-03-06,2022-03-13,60000,95751743
2022-03-13,2022-03-20,40000,86998234
2022-03-20,2022-03-27,30000,73305742
2022-03-27,2022-04-03,30000,87318818
2022-04-03,2022-04-10,30000,74605865
2022-04-10,2022-04-17,30000,85725224
2022-04-17,2022-04-24,30000,67211375
2022-04-24,2022-05-01,20000,66210787
2022-05-01,2022-05-08,20000,69865599
2022-05-08,2022-05-15,20000,58704544
2022-05-15,2022-05-22,20000,68514727
