start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,3525,2262839
2019-06-02,2019-06-09,9922,6121917
2019-06-09,2019-06-16,8696,4566165
2019-06-16,2019-06-23,7228,4024852
2019-06-23,2019-06-30,6485,4382903
2019-06-30,2019-07-07,9228,4927528
2019-07-07,2019-07-14,19892,7990072
2019-07-14,2019-07-21,8983,1982902
2019-07-21,2019-07-28,8224,5308612
2019-07-28,2019-08-04,14233,7104668
2019-08-04,2019-08-11,9969,5389641
2019-08-11,2019-08-18,7226,8043892
2019-08-18,2019-08-25,17453,3908812
2019-08-25,2019-09-01,8236,3697969
2019-09-01,2019-09-08,6054,5908789
2019-09-08,2019-09-15,9099,3536326
2019-09-15,2019-09-22,5145,3403933
2019-09-22,2019-09-29,0,4856046
2019-09-29,2019-10-06,10000,4927032
2019-10-06,2019-10-13,10000,3204533
2019-10-13,2019-10-20,10000,4430760
2019-10-20,2019-10-27,0,5687977
2019-10-27,2019-11-03,10000,4462582
2019-11-03,2019-11-10,10000,1008887
2019-11-10,2019-11-17,10000,3436885
2019-11-17,2019-11-24,10000,3382597
2019-11-24,2019-12-01,0,5344841
2019-12-01,2019-12-08,10000,5246993
2019-12-08,2019-12-15,10000,2906093
2019-12-15,2019-12-22,10000,3803626
2019-12-22,2019-12-29,10000,5535536
2019-12-29,2020-01-05,0,4902395
2020-01-05,2020-01-12,10000,5356947
2020-01-12,2020-01-19,10000,5259266
2020-01-19,2020-01-26,10000,4375338
2020-01-26,2020-02-02,10000,5040792
2020-02-02,2020-02-09,10000,4484032
2020-02-09,2020-02-16,0,3656978
2020-02-16,2020-02-23,0,3857627
2020-02-23,2020-03-01,10000,3676883
2020-03-01,2020-03-08,10000,7100890
2020-03-08,2020-03-15,0,7627053
2020-03-15,2020-03-22,10000,8366542
2020-03-22,2020-03-29,20000,8284912
2020-03-29,2020-04-05,10000,8948020
2020-04-05,2020-04-12,10000,6176651
2020-04-12,2020-04-19,20000,4093214
2020-04-19,2020-04-26,10000,4591484
2020-04-26,2020-05-03,10000,6182993
2020-05-03,2020-05-10,10000,8309110
2020-05-10,2020-05-17,10000,9716004
2020-05-17,2020-05-24,10000,10574003
2020-05-24,2020-05-31,20000,9451515
2020-05-31,2020-06-07,20000,7330518
