start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,2752,1100546
2019-06-02,2019-06-09,6506,3293948
2019-06-09,2019-06-16,8839,4671320
2019-06-16,2019-06-23,9604,4408165
2019-06-23,2019-06-30,40390,14791782
2019-06-30,2019-07-07,18829,9898865
2019-07-07,2019-07-14,9465,5439250
2019-07-14,2019-07-21,9997,5067881
2019-07-21,2019-07-28,9255,4371412
2019-07-28,2019-08-04,22774,11619460
2019-08-04,2019-08-11,8338,4753160
2019-08-11,2019-08-18,7562,4114130
2019-08-18,2019-08-25,8063,3262931
2019-08-25,2019-09-01,9953,4011372
2019-09-01,2019-09-08,11542,5324878
2019-09-08,2019-09-15,9394,4151138
2019-09-15,2019-09-22,4089,4432801
2019-09-22,2019-09-29,10000,5318965
2019-09-29,2019-10-06,10000,4508779
2019-10-06,2019-10-13,20000,7072680
2019-10-13,2019-10-20,10000,5196155
2019-10-20,2019-10-27,10000,5215574
2019-10-27,2019-11-03,10000,5334458
2019-11-03,2019-11-10,10000,5345012
2019-11-10,2019-11-17,10000,8031943
2019-11-17,2019-11-24,20000,7854030
2019-11-24,2019-12-01,10000,6049704
2019-12-01,2019-12-08,10000,3769712
2019-12-08,2019-12-15,10000,5716269
2019-12-15,2019-12-22,20000,7076378
2019-12-22,2019-12-29,10000,6851442
2019-12-29,2020-01-05,20000,11692474
2020-01-05,2020-01-12,40000,12292170
2020-01-12,2020-01-19,10000,7230155
2020-01-19,2020-01-26,10000,7444053
2020-01-26,2020-02-02,30000,16803025
2020-02-02,2020-02-09,30000,15512757
2020-02-09,2020-02-16,20000,8339731
2020-02-16,2020-02-23,20000,14325093
2020-02-23,2020-03-01,20000,10701714
2020-03-01,2020-03-08,50000,20862866
2020-03-08,2020-03-15,80000,31140192
2020-03-15,2020-03-22,180000,61463614
2020-03-22,2020-03-29,140000,54887052
2020-03-29,2020-04-05,160000,64351168
2020-04-05,2020-04-12,100000,47775370
