start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,1616,2284798
2019-06-02,2019-06-09,4332,7105612
2019-06-09,2019-06-16,5300,6671805
2019-06-16,2019-06-23,5809,6873687
2019-06-23,2019-06-30,7130,8445308
2019-06-30,2019-07-07,7582,7562039
2019-07-07,2019-07-14,7290,7822233
2019-07-14,2019-07-21,5917,6482863
2019-07-21,2019-07-28,5919,6663395
2019-07-28,2019-08-04,8125,8980908
2019-08-04,2019-08-11,8133,7874352
2019-08-11,2019-08-18,6632,6563842
2019-08-18,2019-08-25,5672,7181417
2019-08-25,2019-09-01,6384,7598495
2019-09-01,2019-09-08,5799,6973000
2019-09-08,2019-09-15,4700,6899066
2019-09-22,2019-09-29,10000,6724526
2019-09-29,2019-10-06,10000,9470470
2019-10-06,2019-10-13,0,9467390
2019-10-13,2019-10-20,0,8370545
2019-10-20,2019-10-27,0,7816926
2019-10-27,2019-11-03,10000,8160232
2019-11-03,2019-11-10,10000,7592852
2019-11-10,2019-11-17,10000,7640699
2019-11-17,2019-11-24,10000,7435027
2019-11-24,2019-12-01,0,7806295
2019-12-01,2019-12-08,0,7191574
2019-12-08,2019-12-15,0,6765575
2019-12-15,2019-12-22,0,5921000
2019-12-22,2019-12-29,10000,7720103
2019-12-29,2020-01-05,10000,6401546
2020-01-05,2020-01-12,10000,6813049
2020-01-12,2020-01-19,0,6592997
2020-01-19,2020-01-26,10000,6661713
2020-01-26,2020-02-02,0,7570343
2020-02-02,2020-02-09,0,6815968
2020-02-09,2020-02-16,10000,7241299
2020-02-16,2020-02-23,10000,7421811
2020-02-23,2020-03-01,10000,7150083
2020-03-01,2020-03-08,0,5506169
2020-03-08,2020-03-15,10000,6670852
2020-03-15,2020-03-22,10000,6492629
2020-03-22,2020-03-29,0,7609386
2020-03-29,2020-04-05,0,7844834
2020-04-05,2020-04-12,10000,5727117
2020-04-12,2020-04-19,10000,6846429
2020-04-19,2020-04-26,0,6702937
