start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,1771,747651
2019-06-02,2019-06-09,1543,2915861
2019-06-09,2019-06-16,4066,4655532
2019-06-16,2019-06-23,4448,4364824
2019-06-23,2019-06-30,6414,4878274
2019-06-30,2019-07-07,7475,6807263
2019-07-07,2019-07-14,6754,5929741
2019-07-14,2019-07-21,6017,5260560
2019-07-21,2019-07-28,8367,6049823
2019-07-28,2019-08-04,5896,5086713
2019-08-04,2019-08-11,7689,5767478
2019-08-11,2019-08-18,5157,4668809
2019-08-18,2019-08-25,9520,6301942
2019-08-25,2019-09-01,8854,7751108
2019-09-01,2019-09-08,5277,6134400
2019-09-08,2019-09-15,3161,3798959
2019-09-15,2019-09-22,0,4441206
2019-09-22,2019-09-29,0,5283761
2019-09-29,2019-10-06,0,5197497
2019-10-06,2019-10-13,0,3960635
2019-10-13,2019-10-20,0,3166421
2019-10-20,2019-10-27,10000,3235147
2019-10-27,2019-11-03,0,5722878
2019-11-03,2019-11-10,10000,4214139
2019-11-10,2019-11-17,0,4164704
2019-11-17,2019-11-24,10000,2980070
2019-11-24,2019-12-01,0,3048366
2019-12-01,2019-12-08,0,4416419
2019-12-08,2019-12-15,20000,6938223
2019-12-15,2019-12-22,10000,6556953
2019-12-22,2019-12-29,0,4920329
2019-12-29,2020-01-05,0,5256133
2020-01-05,2020-01-12,10000,5114411
2020-01-12,2020-01-19,0,4936977
2020-01-19,2020-01-26,10000,4546342
2020-01-26,2020-02-02,0,5766173
2020-02-02,2020-02-09,0,3579254
2020-02-09,2020-02-16,0,2560475
2020-02-16,2020-02-23,20000,5153704
2020-02-23,2020-03-01,0,2403268
2020-03-01,2020-03-08,0,503173
2020-03-08,2020-03-15,10000,3590242
2020-03-15,2020-03-22,0,2792116
2020-03-22,2020-03-29,0,3084553
2020-03-29,2020-04-05,10000,3457720
2020-04-05,2020-04-12,10000,1464748
2020-04-12,2020-04-19,0,2561290
2020-04-19,2020-04-26,0,2082244
2020-04-26,2020-05-03,10000,2607447
2020-05-03,2020-05-10,0,3051570
2020-05-10,2020-05-17,10000,3643258
2020-05-17,2020-05-24,0,2935671
2020-05-24,2020-05-31,10000,2050071
2020-05-31,2020-06-07,0,1991694
2020-06-07,2020-06-14,0,-2664975593
2020-06-14,2020-06-21,0,801204782
2020-06-21,2020-06-28,0,4931891
2020-06-28,2020-07-05,0,1299923
2020-07-05,2020-07-12,0,79813797
2020-07-12,2020-07-19,10000,24289220
2020-07-19,2020-07-26,0,1496292
2020-07-26,2020-08-02,0,1557960
2020-08-02,2020-08-09,0,80797595
2020-08-09,2020-08-16,10000,1809579
2020-08-16,2020-08-23,0,1368551
2020-08-23,2020-08-30,0,1202618
2020-08-30,2020-09-06,0,1117932
2020-09-06,2020-09-13,0,1083139
2020-09-13,2020-09-20,0,2744014
2020-09-20,2020-09-27,10000,1100004
2020-09-27,2020-10-04,0,1541508
2020-10-04,2020-10-11,0,1411502
2020-10-11,2020-10-18,0,1884229
2020-10-18,2020-10-25,0,1714960
2020-10-25,2020-11-01,10000,1211491
2020-11-01,2020-11-08,0,1562728
2020-11-08,2020-11-15,0,167110406
2020-11-15,2020-11-22,0,1626339
2020-11-22,2020-11-29,0,1362903
2020-11-29,2020-12-06,0,1419015
2020-12-06,2020-12-13,0,1783357
2020-12-13,2020-12-20,10000,2381721
2020-12-20,2020-12-27,0,2487053
2020-12-27,2021-01-03,10000,1941352
2021-01-03,2021-01-10,0,1499294
2021-01-10,2021-01-17,0,1319523
2021-01-17,2021-01-24,0,1196617
2021-01-24,2021-01-31,0,1508798
2021-01-31,2021-02-07,10000,-314024
2021-02-07,2021-02-14,10000,6100707
2021-02-14,2021-02-21,0,294267965
2021-02-21,2021-02-28,0,1286261
2021-02-28,2021-03-07,0,1735984
2021-03-07,2021-03-14,0,1324541
2021-03-14,2021-03-21,0,719380
2021-03-21,2021-03-28,0,1403922
2021-03-28,2021-04-04,0,1698068
2021-04-04,2021-04-11,0,1962248
2021-04-11,2021-04-18,0,1483435
2021-04-18,2021-04-25,0,1372898
2021-04-25,2021-05-02,10000,1286287
2021-05-02,2021-05-09,10000,2238324
2021-05-09,2021-05-16,0,1019366
2021-05-16,2021-05-23,0,1074388
2021-05-23,2021-05-30,0,1267297
2021-05-30,2021-06-06,10000,995144
2021-06-06,2021-06-13,0,982678
2021-06-13,2021-06-20,0,1048873
2021-06-20,2021-06-27,0,976933
2021-06-27,2021-07-04,0,884537
2021-07-04,2021-07-11,0,782369
2021-07-11,2021-07-18,0,824444
2021-07-18,2021-07-25,0,855149
2021-07-25,2021-08-01,0,920007
2021-08-01,2021-08-08,0,1272654
2021-08-08,2021-08-15,0,1108281
2021-08-15,2021-08-22,0,902907
2021-08-22,2021-08-29,10000,935776
2021-08-29,2021-09-05,0,943445
2021-09-05,2021-09-12,0,1180152
2021-09-12,2021-09-19,0,962158
2021-09-19,2021-09-26,0,1007668
2021-09-26,2021-10-03,0,901132
2021-10-03,2021-10-10,0,805448
2021-10-10,2021-10-17,0,1591536
2021-10-17,2021-10-24,0,1043912
2021-10-24,2021-10-31,0,1253878
2021-10-31,2021-11-07,10000,2077395
2021-11-07,2021-11-14,0,3578282
2021-11-14,2021-11-21,10000,2196438
2021-11-21,2021-11-28,0,3116775
2021-11-28,2021-12-05,10000,1162771
2021-12-05,2021-12-12,0,1472419
2021-12-12,2021-12-19,0,2489937
2021-12-19,2021-12-26,0,1435373
2021-12-26,2022-01-02,0,1171976
2022-01-02,2022-01-09,0,2064608
2022-01-09,2022-01-16,10000,1646857
2022-01-16,2022-01-23,0,1337218
2022-01-23,2022-01-30,0,1807167
2022-01-30,2022-02-06,0,1351005
2022-02-06,2022-02-13,10000,3167735
2022-02-13,2022-02-20,0,3430346
2022-02-20,2022-02-27,10000,1909323
2022-02-27,2022-03-06,0,1357337
2022-03-06,2022-03-13,0,2057942
2022-03-13,2022-03-20,0,2218812
2022-03-20,2022-03-27,10000,2976428
2022-03-27,2022-04-03,10000,5587428
2022-04-03,2022-04-10,0,4089024
2022-04-10,2022-04-17,10000,2944865
2022-04-17,2022-04-24,0,2355807
2022-04-24,2022-05-01,10000,2439465
2022-05-01,2022-05-08,10000,10315604
2022-05-08,2022-05-15,10000,4183353
2022-05-15,2022-05-22,0,1926480
