start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,4650,2925108
2019-06-02,2019-06-09,3857,3087709
2019-06-09,2019-06-16,4536,3845977
2019-06-16,2019-06-23,7513,6563567
2019-06-23,2019-06-30,4562,3870525
2019-06-30,2019-07-07,5819,4639507
2019-07-07,2019-07-14,3556,3118226
2019-07-14,2019-07-21,4956,5003382
2019-07-21,2019-07-28,6337,6207181
2019-07-28,2019-08-04,6505,4672737
2019-08-04,2019-08-11,5718,5611930
2019-08-11,2019-08-18,13659,12504361
2019-08-18,2019-08-25,8100,7834559
2019-08-25,2019-09-01,5920,3941775
2019-09-01,2019-09-08,3938,3694815
2019-09-08,2019-09-15,3617,3525101
2019-09-15,2019-09-22,0,3121860
2019-09-22,2019-09-29,10000,2895407
2019-09-29,2019-10-06,0,2406269
2019-10-06,2019-10-13,10000,2298987
2019-10-13,2019-10-20,0,3197804
2019-10-20,2019-10-27,10000,4275251
2019-10-27,2019-11-03,0,6087628
2019-11-03,2019-11-10,0,5354068
2019-11-10,2019-11-17,10000,5326934
2019-11-17,2019-11-24,0,4283313
2019-11-24,2019-12-01,10000,5814278
2019-12-01,2019-12-08,10000,8413050
2019-12-08,2019-12-15,10000,4996629
2019-12-15,2019-12-22,10000,4327387
2019-12-22,2019-12-29,0,6575879
2019-12-29,2020-01-05,20000,7770763
2020-01-05,2020-01-12,30000,13564935
2020-01-12,2020-01-19,30000,11977914
2020-01-19,2020-01-26,10000,5789747
2020-01-26,2020-02-02,10000,9575394
2020-02-02,2020-02-09,20000,12051119
2020-02-09,2020-02-16,10000,12767222
2020-02-16,2020-02-23,10000,6171671
2020-02-23,2020-03-01,10000,4015255
2020-03-01,2020-03-08,0,2465940
2020-03-08,2020-03-15,10000,5209348
2020-03-15,2020-03-22,20000,5693142
2020-03-22,2020-03-29,10000,-45909224
2020-03-29,2020-04-05,20000,-60544735
2020-04-05,2020-04-12,10000,3317776
2020-04-12,2020-04-19,10000,4859935
2020-04-19,2020-04-26,10000,4221517
2020-04-26,2020-05-03,0,3344996
2020-05-03,2020-05-10,10000,2409638
2020-05-10,2020-05-17,0,3007717
2020-05-17,2020-05-24,10000,2711343
2020-05-24,2020-05-31,10000,5653633
2020-05-31,2020-06-07,30000,-37483349
2020-06-07,2020-06-14,0,4566315
2020-06-14,2020-06-21,0,3763995
2020-06-21,2020-06-28,0,3425627
2020-06-28,2020-07-05,10000,5391018
2020-07-05,2020-07-12,10000,7507013
2020-07-12,2020-07-19,10000,4801054
2020-07-19,2020-07-26,0,4820314
2020-07-26,2020-08-02,10000,-11876383
2020-08-02,2020-08-09,10000,-20978314
2020-08-09,2020-08-16,10000,198615
2020-08-16,2020-08-23,0,-104088332
2020-08-23,2020-08-30,10000,2709411
2020-08-30,2020-09-06,10000,-603642
2020-09-06,2020-09-13,0,5438775
2020-09-13,2020-09-20,10000,7415741
2020-09-20,2020-09-27,10000,5193244
2020-09-27,2020-10-04,10000,6098692
2020-10-04,2020-10-11,20000,9357797
2020-10-11,2020-10-18,10000,6139882
2020-10-18,2020-10-25,0,3959154
2020-10-25,2020-11-01,10000,3308917
2020-11-01,2020-11-08,160000,68672670
2020-11-08,2020-11-15,10000,6604283
2020-11-15,2020-11-22,0,4595363
2020-11-22,2020-11-29,10000,3373529
2020-11-29,2020-12-06,0,-54470518
2020-12-06,2020-12-13,0,-42072366
2020-12-13,2020-12-20,0,-279549439
2020-12-20,2020-12-27,0,-405122417
2020-12-27,2021-01-03,0,2602427
2021-01-03,2021-01-10,10000,4004955
2021-01-10,2021-01-17,10000,4107330
2021-01-17,2021-01-24,10000,4299496
2021-01-24,2021-01-31,0,2116941
2021-01-31,2021-02-07,0,2487412
2021-02-07,2021-02-14,10000,3611395
2021-02-14,2021-02-21,0,2775535
2021-02-21,2021-02-28,10000,2884710
2021-02-28,2021-03-07,0,2377495
2021-03-07,2021-03-14,0,2933325
