start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,5579,1633955
2019-06-02,2019-06-09,6339,3191110
2019-06-09,2019-06-16,11111,2699017
2019-06-16,2019-06-23,5165,2099742
2019-06-23,2019-06-30,4156,1884362
2019-06-30,2019-07-07,3271,1755057
2019-07-07,2019-07-14,6030,2182290
2019-07-14,2019-07-21,3436,2199039
2019-07-21,2019-07-28,4929,2091549
2019-07-28,2019-08-04,6565,3028924
2019-08-04,2019-08-11,38727,7801598
2019-08-11,2019-08-18,9253,3011932
2019-08-18,2019-08-25,5649,2202016
2019-08-25,2019-09-01,4805,2219324
2019-09-01,2019-09-08,5449,2313020
2019-09-08,2019-09-15,10158,4026618
2019-09-15,2019-09-22,9197,4261236
2019-09-22,2019-09-29,10000,2237927
2019-09-29,2019-10-06,0,3220430
2019-10-06,2019-10-13,10000,3301973
2019-10-13,2019-10-20,10000,2908748
2019-10-20,2019-10-27,10000,2364983
2019-10-27,2019-11-03,0,2553263
2019-11-03,2019-11-10,10000,2241754
2019-11-10,2019-11-17,0,2866147
2019-11-17,2019-11-24,10000,3398648
2019-11-24,2019-12-01,10000,3119767
2019-12-01,2019-12-08,0,2270719
2019-12-08,2019-12-15,10000,4202015
2019-12-15,2019-12-22,0,1903407
2019-12-22,2019-12-29,10000,2971275
2019-12-29,2020-01-05,10000,3768444
2020-01-05,2020-01-12,10000,4504804
2020-01-12,2020-01-19,10000,3135328
2020-01-19,2020-01-26,10000,2914923
2020-01-26,2020-02-02,10000,2708284
2020-02-02,2020-02-09,0,3156202
2020-02-09,2020-02-16,10000,2539742
2020-02-16,2020-02-23,0,2240314
2020-02-23,2020-03-01,10000,2457923
2020-03-01,2020-03-08,10000,1801604
2020-03-08,2020-03-15,0,1846397
2020-03-15,2020-03-22,50000,9843633
2020-03-22,2020-03-29,10000,4557225
2020-03-29,2020-04-05,10000,4308530
2020-04-05,2020-04-12,50000,10833843
2020-04-12,2020-04-19,20000,6424931
2020-04-19,2020-04-26,20000,5201780
2020-04-26,2020-05-03,20000,4731506
2020-05-03,2020-05-10,20000,5096200
2020-05-10,2020-05-17,10000,3563314
2020-05-17,2020-05-24,20000,4457481
2020-05-24,2020-05-31,10000,3292018
2020-05-31,2020-06-07,10000,3054816
2020-06-07,2020-06-14,20000,5691519
2020-06-14,2020-06-21,20000,4774022
2020-06-21,2020-06-28,20000,4190352
2020-06-28,2020-07-05,20000,3335165
2020-07-05,2020-07-12,10000,3065630
2020-07-12,2020-07-19,10000,3155609
2020-07-19,2020-07-26,10000,3514050
2020-07-26,2020-08-02,10000,2798358
2020-08-02,2020-08-09,10000,2869063
2020-08-09,2020-08-16,10000,3766222
2020-08-16,2020-08-23,20000,3596366
2020-08-23,2020-08-30,10000,3309796
2020-08-30,2020-09-06,20000,3225169
2020-09-06,2020-09-13,20000,6548893
2020-09-13,2020-09-20,20000,4798268
2020-09-20,2020-09-27,10000,2692584
2020-09-27,2020-10-04,10000,3168424
2020-10-04,2020-10-11,10000,2704025
2020-10-11,2020-10-18,10000,3480371
2020-10-18,2020-10-25,40000,5861158
2020-10-25,2020-11-01,10000,3457015
2020-11-01,2020-11-08,10000,3108746
2020-11-08,2020-11-15,20000,4355722
2020-11-15,2020-11-22,10000,2468704
2020-11-22,2020-11-29,10000,2424906
2020-11-29,2020-12-06,10000,2637220
2020-12-06,2020-12-13,10000,2667084
2020-12-13,2020-12-20,10000,2783975
2020-12-20,2020-12-27,10000,2494849
2020-12-27,2021-01-03,0,2344527
2021-01-03,2021-01-10,0,2523759
2021-01-10,2021-01-17,10000,3351806
2021-01-17,2021-01-24,10000,2576035
2021-01-24,2021-01-31,10000,3228857
2021-01-31,2021-02-07,10000,3128841
2021-02-07,2021-02-14,10000,3714570
2021-02-14,2021-02-21,20000,3690892
2021-02-21,2021-02-28,10000,2362749
2021-02-28,2021-03-07,0,1891904
2021-03-07,2021-03-14,10000,1861166
2021-03-14,2021-03-21,0,2329881
2021-03-21,2021-03-28,10000,1964271
2021-03-28,2021-04-04,0,2079055
2021-04-04,2021-04-11,10000,2532898
2021-04-11,2021-04-18,10000,2592338
2021-04-18,2021-04-25,10000,2744556
2021-04-25,2021-05-02,10000,1998728
2021-05-02,2021-05-09,0,1904831
2021-05-09,2021-05-16,0,1582201
2021-05-16,2021-05-23,0,2029485
2021-05-23,2021-05-30,10000,2889707
2021-05-30,2021-06-06,10000,3836718
2021-06-06,2021-06-13,10000,2402588
2021-06-13,2021-06-20,0,3246190
2021-06-20,2021-06-27,10000,2071161
2021-06-27,2021-07-04,0,1808457
2021-07-04,2021-07-11,10000,2712604
2021-07-11,2021-07-18,10000,2275669
2021-07-18,2021-07-25,0,1870953
2021-07-25,2021-08-01,10000,1488384
2021-08-01,2021-08-08,0,2468251
2021-08-08,2021-08-15,10000,3170928
2021-08-15,2021-08-22,10000,3137837
2021-08-22,2021-08-29,10000,2923713
2021-08-29,2021-09-05,10000,3194142
2021-09-05,2021-09-12,0,3205053
2021-09-12,2021-09-19,10000,2203399
2021-09-19,2021-09-26,0,1922349
2021-09-26,2021-10-03,10000,2263158
2021-10-03,2021-10-10,0,1669747
2021-10-10,2021-10-17,0,1925644
2021-10-17,2021-10-24,10000,1837478
2021-10-24,2021-10-31,0,1731763
2021-10-31,2021-11-07,10000,1623220
2021-11-07,2021-11-14,0,1628357
2021-11-14,2021-11-21,0,1863817
2021-11-21,2021-11-28,10000,1720750
2021-11-28,2021-12-05,0,1986487
2021-12-05,2021-12-12,10000,1934468
2021-12-12,2021-12-19,0,1173393
2021-12-19,2021-12-26,0,1498281
2021-12-26,2022-01-02,0,1840304
2022-01-02,2022-01-09,0,2299070
2022-01-09,2022-01-16,10000,2115334
2022-01-16,2022-01-23,0,2645599
2022-01-23,2022-01-30,0,2788038
2022-01-30,2022-02-06,10000,3379618
2022-02-06,2022-02-13,10000,3481116
2022-02-13,2022-02-20,10000,3322038
2022-02-20,2022-02-27,0,1749538
2022-02-27,2022-03-06,10000,1716784
2022-03-06,2022-03-13,0,2097247
2022-03-13,2022-03-20,0,1906256
2022-03-20,2022-03-27,10000,1953609
2022-03-27,2022-04-03,0,1622116
2022-04-03,2022-04-10,10000,2246933
2022-04-10,2022-04-17,0,2522460
2022-04-17,2022-04-24,0,1909701
2022-04-24,2022-05-01,10000,1860968
2022-05-01,2022-05-08,0,1598302
2022-05-08,2022-05-15,0,1328173
2022-05-15,2022-05-22,0,1307504
