start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,4954,3395117
2019-06-02,2019-06-09,20467,8201787
2019-06-09,2019-06-16,17769,8265863
2019-06-16,2019-06-23,23346,9386916
2019-06-23,2019-06-30,33797,11314238
2019-06-30,2019-07-07,49405,13981529
2019-07-07,2019-07-14,37622,12902505
2019-07-14,2019-07-21,30874,12972862
2019-07-21,2019-07-28,26585,11725617
2019-07-28,2019-08-04,27330,11122183
2019-08-04,2019-08-11,26680,10611212
2019-08-11,2019-08-18,30368,11961150
2019-08-18,2019-08-25,27148,11081965
2019-08-25,2019-09-01,19248,7064546
2019-09-01,2019-09-08,7055,6316129
2019-09-08,2019-09-15,9136,5589721
2019-09-22,2019-09-29,10000,5398156
2019-09-29,2019-10-06,0,6165079
2019-10-06,2019-10-13,10000,5287368
2019-10-13,2019-10-20,0,4936641
2019-10-20,2019-10-27,10000,5234041
2019-10-27,2019-11-03,10000,5204581
2019-11-03,2019-11-10,10000,5303438
2019-11-10,2019-11-17,10000,5685954
2019-11-17,2019-11-24,20000,7194735
2019-11-24,2019-12-01,10000,8264611
2019-12-08,2019-12-15,10000,6594498
2019-12-15,2019-12-22,0,5658039
2019-12-22,2019-12-29,10000,6505985
2019-12-29,2020-01-05,0,5842224
2020-01-05,2020-01-12,10000,7005012
2020-01-12,2020-01-19,10000,6628530
2020-01-19,2020-01-26,10000,6705551
2020-01-26,2020-02-02,10000,6946093
2020-02-02,2020-02-09,10000,6715778
2020-02-09,2020-02-16,10000,7042699
2020-02-16,2020-02-23,10000,7922254
2020-02-23,2020-03-01,10000,7647262
2020-03-01,2020-03-08,0,6658154
2020-03-08,2020-03-15,0,7941500
2020-03-15,2020-03-22,20000,6694053
2020-03-22,2020-03-29,10000,8165764
2020-03-29,2020-04-05,20000,8937698
2020-04-05,2020-04-12,0,9074025
2020-04-12,2020-04-19,10000,7510284
2020-04-19,2020-04-26,10000,8292017
2020-04-26,2020-05-03,10000,7593478
