start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,3031,1165923
2019-06-02,2019-06-09,5073,1965301
2019-06-09,2019-06-16,5539,2182211
2019-06-16,2019-06-23,3919,1920677
2019-06-23,2019-06-30,3937,1771417
2019-06-30,2019-07-07,5516,1954471
2019-07-07,2019-07-14,4670,1968742
2019-07-14,2019-07-21,5574,2347369
2019-07-21,2019-07-28,4036,1871908
2019-07-28,2019-08-04,3978,1787890
2019-08-04,2019-08-11,4497,1829929
2019-08-11,2019-08-18,3895,1712819
2019-08-18,2019-08-25,5237,2055560
2019-08-25,2019-09-01,4847,1945504
2019-09-01,2019-09-08,5783,2261934
2019-09-08,2019-09-15,6174,2493297
2019-09-15,2019-09-22,10000,2254999
2019-09-22,2019-09-29,10000,4243688
2019-09-29,2019-10-06,10000,2521258
2019-10-06,2019-10-13,0,2171348
2019-10-13,2019-10-20,10000,1586448
2019-10-20,2019-10-27,10000,1913794
2019-10-27,2019-11-03,0,1518136
2019-11-03,2019-11-10,0,1106655
2019-11-10,2019-11-17,0,1401331
2019-11-17,2019-11-24,0,1373881
2019-11-24,2019-12-01,10000,1481503
2019-12-01,2019-12-08,0,1264186
2019-12-08,2019-12-15,10000,1486326
2019-12-15,2019-12-22,0,1478957
2019-12-22,2019-12-29,0,1256492
2019-12-29,2020-01-05,10000,1236726
2020-01-05,2020-01-12,0,1360159
2020-01-12,2020-01-19,0,2191031
2020-01-19,2020-01-26,0,1757404
2020-01-26,2020-02-02,0,1299440
2020-02-02,2020-02-09,10000,2080250
2020-02-09,2020-02-16,10000,1436211
2020-02-16,2020-02-23,0,1660304
2020-02-23,2020-03-01,0,1582474
2020-03-01,2020-03-08,0,1537126
2020-03-08,2020-03-15,0,1677528
2020-03-15,2020-03-22,10000,1477937
2020-03-22,2020-03-29,0,873446
2020-03-29,2020-04-05,0,940806
2020-04-05,2020-04-12,0,1039011
2020-04-12,2020-04-19,10000,1230020
2020-04-19,2020-04-26,0,1002507
2020-04-26,2020-05-03,0,1021029
2020-05-03,2020-05-10,0,1260691
2020-05-10,2020-05-17,10000,1425824
2020-05-17,2020-05-24,10000,2311837
2020-05-24,2020-05-31,10000,2671905
2020-05-31,2020-06-07,0,2402408
2020-06-07,2020-06-14,10000,3070896
2020-06-14,2020-06-21,10000,3401189
2020-06-21,2020-06-28,10000,2603558
2020-06-28,2020-07-05,0,1969502
2020-07-05,2020-07-12,10000,2302354
2020-07-12,2020-07-19,10000,2026552
2020-07-19,2020-07-26,0,2487381
2020-07-26,2020-08-02,0,1906431
2020-08-02,2020-08-09,10000,2850841
2020-08-09,2020-08-16,10000,2395014
2020-08-16,2020-08-23,10000,1687434
2020-08-23,2020-08-30,0,1679680
2020-08-30,2020-09-06,10000,2019451
2020-09-06,2020-09-13,10000,2556786
2020-09-13,2020-09-20,0,1810371
2020-09-20,2020-09-27,0,1940357
2020-09-27,2020-10-04,10000,1646858
2020-10-04,2020-10-11,0,2973236
2020-10-11,2020-10-18,10000,3354327
2020-10-18,2020-10-25,0,2018327
2020-10-25,2020-11-01,10000,1857781
2020-11-01,2020-11-08,0,1473029
2020-11-08,2020-11-15,0,1553928
2020-11-15,2020-11-22,10000,1684738
2020-11-22,2020-11-29,0,1322109
2020-11-29,2020-12-06,10000,1277679
2020-12-06,2020-12-13,0,1329778
2020-12-13,2020-12-20,0,1380908
2020-12-20,2020-12-27,10000,1215791
2020-12-27,2021-01-03,0,826014
2021-01-03,2021-01-10,0,1240556
2021-01-10,2021-01-17,0,1653334
2021-01-17,2021-01-24,0,1331308
2021-01-24,2021-01-31,0,988835
2021-01-31,2021-02-07,0,1171176
2021-02-07,2021-02-14,10000,947559
2021-02-14,2021-02-21,0,994778
2021-02-21,2021-02-28,0,989602
2021-02-28,2021-03-07,0,946114
2021-03-07,2021-03-14,0,995117
2021-03-14,2021-03-21,10000,993806
2021-03-21,2021-03-28,0,1409014
2021-03-28,2021-04-04,0,1472942
2021-04-04,2021-04-11,10000,1575734
2021-04-11,2021-04-18,0,1351746
2021-04-18,2021-04-25,10000,1037521
2021-04-25,2021-05-02,0,1444275
2021-05-02,2021-05-09,10000,1496550
2021-05-09,2021-05-16,0,1169995
2021-05-16,2021-05-23,10000,1448867
2021-05-23,2021-05-30,0,1169089
2021-05-30,2021-06-06,10000,1172859
2021-06-06,2021-06-13,0,1496784
2021-06-13,2021-06-20,0,1257263
2021-06-20,2021-06-27,10000,1495554
2021-06-27,2021-07-04,0,1065874
2021-07-04,2021-07-11,0,1273187
2021-07-11,2021-07-18,0,999495
2021-07-18,2021-07-25,10000,1541203
2021-07-25,2021-08-01,0,1886463
2021-08-01,2021-08-08,10000,1256118
2021-08-08,2021-08-15,0,1058191
2021-08-15,2021-08-22,0,1464075
2021-08-22,2021-08-29,0,1273327
2021-08-29,2021-09-05,10000,978746
2021-09-05,2021-09-12,0,1028852
2021-09-12,2021-09-19,0,990422
2021-09-19,2021-09-26,0,1085297
2021-09-26,2021-10-03,10000,2508701
2021-10-03,2021-10-10,0,2086627
2021-10-10,2021-10-17,10000,943680
2021-10-17,2021-10-24,0,886337
2021-10-24,2021-10-31,0,935132
2021-10-31,2021-11-07,0,922246
2021-11-07,2021-11-14,0,905708
2021-11-14,2021-11-21,0,675468
2021-11-21,2021-11-28,10000,732571
2021-11-28,2021-12-05,0,612269
2021-12-05,2021-12-12,0,769785
2021-12-12,2021-12-19,0,677238
2021-12-19,2021-12-26,0,588723
2021-12-26,2022-01-02,0,653948
2022-01-02,2022-01-09,0,890845
2022-01-09,2022-01-16,0,1099329
2022-01-16,2022-01-23,10000,1520798
2022-01-23,2022-01-30,0,880674
2022-01-30,2022-02-06,0,830749
2022-02-06,2022-02-13,0,683567
2022-02-13,2022-02-20,0,661098
2022-02-20,2022-02-27,0,658971
2022-02-27,2022-03-06,0,852746
2022-03-06,2022-03-13,0,934701
2022-03-13,2022-03-20,0,568748
2022-03-20,2022-03-27,0,503834
2022-03-27,2022-04-03,0,608782
2022-04-03,2022-04-10,0,762192
2022-04-10,2022-04-17,0,534399
2022-04-17,2022-04-24,0,516755
2022-04-24,2022-05-01,0,648292
2022-05-01,2022-05-08,0,858109
2022-05-08,2022-05-15,10000,805145
2022-05-15,2022-05-22,0,905743
