start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,8208,1869427
2019-06-02,2019-06-09,11625,3055018
2019-06-09,2019-06-16,8678,2505914
2019-06-16,2019-06-23,5182,2075692
2019-06-23,2019-06-30,6096,1629298
2019-06-30,2019-07-07,6487,2143114
2019-07-07,2019-07-14,9283,1918283
2019-07-14,2019-07-21,6485,1996289
2019-07-21,2019-07-28,5522,1647054
2019-07-28,2019-08-04,5698,1823073
2019-08-04,2019-08-11,6446,2202744
2019-08-11,2019-08-18,5570,2091627
2019-08-18,2019-08-25,5054,2383322
2019-08-25,2019-09-01,7754,2161876
2019-09-01,2019-09-08,5047,1726872
2019-09-08,2019-09-15,43252,6248618
2019-09-15,2019-09-22,78954,11380478
2019-09-22,2019-09-29,10000,3205627
2019-09-29,2019-10-06,10000,2079739
2019-10-06,2019-10-13,0,1888570
2019-10-13,2019-10-20,20000,2781815
2019-10-20,2019-10-27,10000,2428570
2019-10-27,2019-11-03,30000,5715601
2019-11-03,2019-11-10,0,2251789
2019-11-10,2019-11-17,10000,2385222
2019-11-17,2019-11-24,10000,1767821
2019-11-24,2019-12-01,0,1816211
2019-12-08,2019-12-15,20000,1138032
2019-12-15,2019-12-22,20000,3114259
2019-12-22,2019-12-29,10000,2852356
2019-12-29,2020-01-05,10000,2741375
2020-01-05,2020-01-12,0,2053586
2020-01-12,2020-01-19,10000,1620201
2020-01-19,2020-01-26,10000,2100996
2020-01-26,2020-02-02,0,2077408
2020-02-02,2020-02-09,10000,1387295
2020-02-09,2020-02-16,10000,1788173
2020-02-16,2020-02-23,0,1758918
2020-02-23,2020-03-01,10000,1009431
2020-03-01,2020-03-08,0,1329102
2020-03-08,2020-03-15,0,1421411
2020-03-15,2020-03-22,10000,3211144
2020-03-22,2020-03-29,20000,3173864
2020-03-29,2020-04-05,0,2304504
2020-04-05,2020-04-12,10000,1716108
2020-04-12,2020-04-19,10000,2718378
2020-04-19,2020-04-26,50000,6221639
2020-04-26,2020-05-03,20000,3616104
2020-05-03,2020-05-10,10000,3156116
2020-05-10,2020-05-17,10000,2534792
2020-05-17,2020-05-24,10000,2353058
2020-05-24,2020-05-31,10000,1973351
2020-05-31,2020-06-07,0,1568912
2020-06-07,2020-06-14,0,1614498
2020-06-14,2020-06-21,0,1712707
2020-06-21,2020-06-28,10000,1996449
2020-06-28,2020-07-05,0,2330349
2020-07-05,2020-07-12,10000,1829791
2020-07-12,2020-07-19,10000,1632132
2020-07-19,2020-07-26,10000,1918842
2020-07-26,2020-08-02,10000,1940502
2020-08-02,2020-08-09,0,1758832
2020-08-09,2020-08-16,10000,1874380
2020-08-16,2020-08-23,10000,2361784
2020-08-23,2020-08-30,10000,1748511
2020-08-30,2020-09-06,10000,1544334
2020-09-06,2020-09-13,0,3698893
2020-09-13,2020-09-20,20000,2180181
2020-09-20,2020-09-27,10000,1865146
2020-09-27,2020-10-04,10000,2739079
