start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,0,103591
2019-06-02,2019-06-09,16371,270260
2019-06-09,2019-06-16,2286,444115
2019-06-16,2019-06-23,1148,285172
2019-06-23,2019-06-30,290,189345
2019-06-30,2019-07-07,1851,312361
2019-07-07,2019-07-14,2566,347009
2019-07-14,2019-07-21,989,209153
2019-07-21,2019-07-28,0,857599
2019-07-28,2019-08-04,0,771167
2019-08-04,2019-08-11,0,535860
2019-08-11,2019-08-18,0,411494
2019-08-18,2019-08-25,0,341934
2019-08-25,2019-09-01,0,610709
2019-09-01,2019-09-08,0,378174
2019-09-08,2019-09-15,1864,441288
2019-09-22,2019-09-29,10000,322766
2019-09-29,2019-10-06,0,540011
2019-10-06,2019-10-13,0,378845
2019-10-13,2019-10-20,0,341246
2019-10-20,2019-10-27,0,503365
2019-10-27,2019-11-03,0,319748
2019-11-03,2019-11-10,0,249596
2019-11-10,2019-11-17,0,481328
2019-11-17,2019-11-24,0,598423
2019-11-24,2019-12-01,0,2326277
2019-12-01,2019-12-08,0,274568
2019-12-08,2019-12-15,0,229450
2019-12-15,2019-12-22,0,373674
2019-12-22,2019-12-29,0,276699
2019-12-29,2020-01-05,0,186166
2020-01-05,2020-01-12,0,229161
2020-01-12,2020-01-19,0,174575
2020-01-19,2020-01-26,0,171429
2020-01-26,2020-02-02,0,184575
2020-02-02,2020-02-09,0,171718
2020-02-09,2020-02-16,0,253498
2020-02-16,2020-02-23,0,388602
2020-02-23,2020-03-01,0,316435
2020-03-01,2020-03-08,0,312152
2020-03-08,2020-03-15,0,473482
2020-03-15,2020-03-22,0,771413
2020-03-22,2020-03-29,0,711395
2020-03-29,2020-04-05,0,630256
2020-04-05,2020-04-12,0,440587
2020-04-12,2020-04-19,0,333130
2020-04-19,2020-04-26,0,279869
2020-04-26,2020-05-03,0,315156
2020-05-03,2020-05-10,0,419557
2020-05-10,2020-05-17,0,427370
2020-05-17,2020-05-24,0,646837
2020-05-24,2020-05-31,0,560173
2020-05-31,2020-06-07,0,459400
2020-06-07,2020-06-14,0,284421
2020-06-14,2020-06-21,0,274631
2020-06-21,2020-06-28,0,482021
2020-06-28,2020-07-05,0,412916
2020-07-05,2020-07-12,0,459696
2020-07-12,2020-07-19,0,222767
2020-07-19,2020-07-26,0,310689
2020-07-26,2020-08-02,0,230631
2020-08-02,2020-08-09,0,288897
2020-08-09,2020-08-16,90000,355147
2020-08-16,2020-08-23,0,150998
2020-08-23,2020-08-30,0,120123
2020-08-30,2020-09-06,0,235418
2020-09-06,2020-09-13,0,173180
2020-09-13,2020-09-20,0,359217
2020-09-20,2020-09-27,0,347507
2020-09-27,2020-10-04,0,372833
2020-10-04,2020-10-11,0,307644
2020-10-11,2020-10-18,0,258572
2020-10-18,2020-10-25,0,196526
2020-10-25,2020-11-01,0,308790
2020-11-01,2020-11-08,10000,263339
2020-11-08,2020-11-15,0,236788
2020-11-15,2020-11-22,0,380426
2020-11-22,2020-11-29,0,215721
2020-11-29,2020-12-06,0,182825
2020-12-06,2020-12-13,0,145239
2020-12-13,2020-12-20,10000,189454
2020-12-20,2020-12-27,0,311900
2020-12-27,2021-01-03,0,327009
2021-01-03,2021-01-10,0,253426
2021-01-10,2021-01-17,0,269655
2021-01-17,2021-01-24,0,265138
2021-01-24,2021-01-31,0,235767
2021-01-31,2021-02-07,0,170568
2021-02-07,2021-02-14,10000,886746
2021-02-14,2021-02-21,10000,515618
2021-02-21,2021-02-28,0,243124
2021-02-28,2021-03-07,0,216408
2021-03-07,2021-03-14,0,141045
2021-03-14,2021-03-21,0,208175
