start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,17548,5038456
2019-06-02,2019-06-09,52105,13933907
2019-06-09,2019-06-16,21688,4618646
2019-06-16,2019-06-23,21226,6390032
2019-06-23,2019-06-30,15140,5457363
2019-06-30,2019-07-07,13559,4024010
2019-07-07,2019-07-14,13893,3721924
2019-07-14,2019-07-21,31834,10185573
2019-07-21,2019-07-28,31520,6943062
2019-07-28,2019-08-04,16632,2904484
2019-08-04,2019-08-11,70699,13141888
2019-08-11,2019-08-18,25372,4897462
2019-08-18,2019-08-25,62672,12863592
2019-08-25,2019-09-01,28585,6976664
2019-09-01,2019-09-08,24002,6637469
2019-09-08,2019-09-15,81040,18550989
2019-09-15,2019-09-22,63466,15142569
2019-09-22,2019-09-29,20000,5540040
2019-09-29,2019-10-06,50000,11067734
2019-10-06,2019-10-13,20000,7276336
2019-10-13,2019-10-20,30000,8887029
2019-10-20,2019-10-27,20000,5210124
2019-10-27,2019-11-03,80000,14723266
2019-11-03,2019-11-10,30000,8712420
2019-11-10,2019-11-17,40000,10920048
2019-11-17,2019-11-24,60000,18166704
2019-11-24,2019-12-01,50000,11177131
2019-12-01,2019-12-08,30000,9811625
2019-12-08,2019-12-15,60000,13357323
2019-12-15,2019-12-22,20000,12290015
2019-12-22,2019-12-29,100000,10242648
2019-12-29,2020-01-05,0,15377025
2020-01-05,2020-01-12,100000,7426360
2020-01-12,2020-01-19,0,7654060
2020-01-19,2020-01-26,0,5984204
2020-01-26,2020-02-02,100000,6271405
2020-02-02,2020-02-09,0,3086243
2020-02-09,2020-02-16,100000,21903298
2020-02-16,2020-02-23,0,8489826
2020-02-23,2020-03-01,100000,10525073
2020-03-01,2020-03-08,0,7746369
2020-03-08,2020-03-15,100000,10282676
2020-03-15,2020-03-22,0,8045281
2020-03-22,2020-03-29,100000,12676283
2020-03-29,2020-04-05,0,3776575
2020-04-05,2020-04-12,0,4359079
2020-04-12,2020-04-19,100000,12296360
