start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,1853,184215
2019-06-02,2019-06-09,3127,330072
2019-06-09,2019-06-16,2810,328578
2019-06-16,2019-06-23,4453,444283
2019-06-23,2019-06-30,4448,510857
2019-06-30,2019-07-07,3277,426300
2019-07-07,2019-07-14,4259,489681
2019-07-14,2019-07-21,3805,465782
2019-07-21,2019-07-28,3024,394625
2019-07-28,2019-08-04,3807,477802
2019-08-04,2019-08-11,3039,461130
2019-08-11,2019-08-18,2311,319605
2019-08-18,2019-08-25,2113,323240
2019-08-25,2019-09-01,2333,328140
2019-09-01,2019-09-08,3495,422946
2019-09-08,2019-09-15,2816,375440
2019-09-15,2019-09-22,3865,522610
2019-09-22,2019-09-29,5000,572927
2019-09-29,2019-10-06,4000,496966
2019-10-06,2019-10-13,4000,510892
2019-10-13,2019-10-20,4000,448564
2019-10-20,2019-10-27,4000,493928
2019-10-27,2019-11-03,4000,377072
2019-11-03,2019-11-10,4000,351148
2019-11-10,2019-11-17,3000,372957
2019-11-17,2019-11-24,3000,392206
2019-11-24,2019-12-01,3000,362659
2019-12-01,2019-12-08,2000,345362
2019-12-08,2019-12-15,4000,519780
2019-12-15,2019-12-22,4000,610664
2019-12-22,2019-12-29,4000,533906
2019-12-29,2020-01-05,3000,441445
2020-01-05,2020-01-12,3000,500859
2020-01-12,2020-01-19,2000,439595
2020-01-19,2020-01-26,2000,376943
2020-01-26,2020-02-02,3000,342416
2020-02-02,2020-02-09,2000,371626
2020-02-09,2020-02-16,2000,391373
2020-02-16,2020-02-23,2000,325624
2020-02-23,2020-03-01,2000,353030
2020-03-01,2020-03-08,2000,333870
2020-03-08,2020-03-15,2000,312279
2020-03-15,2020-03-22,3000,375105
2020-03-22,2020-03-29,2000,336540
2020-03-29,2020-04-05,2000,426332
2020-04-05,2020-04-12,3000,293110
2020-04-12,2020-04-19,3000,268096
2020-04-19,2020-04-26,2000,270764
2020-04-26,2020-05-03,2000,267575
2020-05-03,2020-05-10,2000,276205
2020-05-10,2020-05-17,2000,271329
2020-05-17,2020-05-24,2000,297285
2020-05-24,2020-05-31,3000,421334
2020-05-31,2020-06-07,3000,512249
2020-06-07,2020-06-14,2000,458972
2020-06-14,2020-06-21,2000,402737
2020-06-21,2020-06-28,2000,396370
2020-06-28,2020-07-05,2000,371663
2020-07-05,2020-07-12,2000,408996
2020-07-12,2020-07-19,2000,363618
2020-07-19,2020-07-26,3000,462503
2020-07-26,2020-08-02,3000,721205
2020-08-02,2020-08-09,5000,624622
2020-08-09,2020-08-16,5000,731512
2020-08-16,2020-08-23,5000,853946
2020-08-23,2020-08-30,7000,1082716
2020-08-30,2020-09-06,6000,851164
2020-09-06,2020-09-13,6000,885269
2020-09-13,2020-09-20,5000,786115
2020-09-20,2020-09-27,5000,751767
2020-09-27,2020-10-04,5000,763956
2020-10-04,2020-10-11,3000,617299
2020-10-11,2020-10-18,4000,971390
2020-10-18,2020-10-25,4000,747257
2020-10-25,2020-11-01,3000,626611
2020-11-01,2020-11-08,3000,606080
2020-11-08,2020-11-15,3000,517796
2020-11-15,2020-11-22,2000,456746
2020-11-22,2020-11-29,2000,-2520916
2020-11-29,2020-12-06,1000,437704
2020-12-06,2020-12-13,2000,422880
2020-12-13,2020-12-20,2000,454017
2020-12-20,2020-12-27,2000,552459
2020-12-27,2021-01-03,3000,452198
2021-01-03,2021-01-10,2000,411431
2021-01-10,2021-01-17,1000,404175
2021-01-17,2021-01-24,1000,488677
2021-01-24,2021-01-31,1000,349833
2021-01-31,2021-02-07,2000,408219
2021-02-07,2021-02-14,2000,427740
2021-02-14,2021-02-21,2000,431967
2021-02-21,2021-02-28,1000,306219
2021-02-28,2021-03-07,1000,403751
2021-03-07,2021-03-14,2000,392373
2021-03-14,2021-03-21,2000,394179
2021-03-21,2021-03-28,1000,358996
2021-03-28,2021-04-04,2000,360251
2021-04-04,2021-04-11,1000,338280
2021-04-11,2021-04-18,1000,363058
2021-04-18,2021-04-25,2000,429093
2021-04-25,2021-05-02,3000,465715
2021-05-02,2021-05-09,4000,618116
2021-05-09,2021-05-16,4000,719682
2021-05-16,2021-05-23,4000,443473
2021-05-23,2021-05-30,3000,652414
2021-05-30,2021-06-06,2000,553865
2021-06-06,2021-06-13,3000,620350
2021-06-13,2021-06-20,4000,680245
2021-06-20,2021-06-27,2000,462440
2021-06-27,2021-07-04,2000,493504
2021-07-04,2021-07-11,2000,456204
2021-07-11,2021-07-18,2000,922843
2021-07-18,2021-07-25,2000,525722
2021-07-25,2021-08-01,2000,482704
2021-08-01,2021-08-08,2000,555409
2021-08-08,2021-08-15,1000,506874
2021-08-15,2021-08-22,2000,442948
2021-08-22,2021-08-29,2000,454589
2021-08-29,2021-09-05,2000,601890
2021-09-05,2021-09-12,3000,628463
2021-09-12,2021-09-19,4000,819864
2021-09-19,2021-09-26,3000,588421
2021-09-26,2021-10-03,3000,741981
2021-10-03,2021-10-10,3000,654994
2021-10-10,2021-10-17,2000,461651
2021-10-17,2021-10-24,2000,583632
2021-10-24,2021-10-31,2000,540118
2021-10-31,2021-11-07,2000,484377
2021-11-07,2021-11-14,2000,517229
2021-11-14,2021-11-21,1000,483182
2021-11-21,2021-11-28,1000,491658
2021-11-28,2021-12-05,2000,413816
2021-12-05,2021-12-12,2000,515172
2021-12-12,2021-12-19,2000,390404
2021-12-19,2021-12-26,2000,449302
2021-12-26,2022-01-02,2000,419587
2022-01-02,2022-01-09,2000,609656
2022-01-09,2022-01-16,2000,440013
2022-01-16,2022-01-23,3000,631700
2022-01-23,2022-01-30,3000,681138
2022-01-30,2022-02-06,3000,620880
2022-02-06,2022-02-13,2000,634897
2022-02-13,2022-02-20,2000,583779
2022-02-20,2022-02-27,2000,702457
2022-02-27,2022-03-06,2000,441558
2022-03-06,2022-03-13,2000,659633
2022-03-13,2022-03-20,2000,546572
2022-03-20,2022-03-27,3000,772702
2022-03-27,2022-04-03,1000,464395
2022-04-03,2022-04-10,2000,390904
2022-04-10,2022-04-17,2000,444384
2022-04-17,2022-04-24,1000,482312
2022-04-24,2022-05-01,2000,520017
2022-05-01,2022-05-08,3000,509650
2022-05-08,2022-05-15,1000,282273
2022-05-15,2022-05-22,2000,554411
