start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,-240,286983
2019-06-02,2019-06-09,3316,1326072
2019-06-09,2019-06-16,2587,891146
2019-06-16,2019-06-23,275,277308
2019-06-23,2019-06-30,849,268712
2019-06-30,2019-07-07,870,327478
2019-07-07,2019-07-14,1292,604033
2019-07-14,2019-07-21,430,594703
2019-07-21,2019-07-28,1233,562869
2019-07-28,2019-08-04,333,311163
2019-08-04,2019-08-11,611,292246
2019-08-11,2019-08-18,423,369919
2019-08-18,2019-08-25,442,269812
2019-08-25,2019-09-01,251,368120
2019-09-01,2019-09-08,605,305584
2019-09-08,2019-09-15,13607,4089971
2019-09-15,2019-09-22,-1621,1589857
2019-09-22,2019-09-29,10000,1591045
2019-09-29,2019-10-06,0,593381
2019-10-06,2019-10-13,0,1260853
2019-10-13,2019-10-20,10000,735559
2019-10-20,2019-10-27,0,861792
2019-10-27,2019-11-03,0,629585
2019-11-03,2019-11-10,0,353427
2019-11-10,2019-11-17,0,1395037
2019-11-17,2019-11-24,0,895860
2019-11-24,2019-12-01,0,1185070
2019-12-01,2019-12-08,0,333653
2019-12-08,2019-12-15,10000,1913445
2019-12-15,2019-12-22,0,948808
2019-12-22,2019-12-29,0,503357
2019-12-29,2020-01-05,0,261517
2020-01-05,2020-01-12,0,251884
2020-01-12,2020-01-19,0,230845
2020-01-19,2020-01-26,0,213256
2020-01-26,2020-02-02,0,185487
2020-02-02,2020-02-09,0,186318
2020-02-09,2020-02-16,0,315113
2020-02-16,2020-02-23,0,143100
2020-02-23,2020-03-01,0,148171
2020-03-01,2020-03-08,0,215603
2020-03-08,2020-03-15,0,238888
2020-03-15,2020-03-22,0,165261
2020-03-22,2020-03-29,0,472319
2020-03-29,2020-04-05,0,204556
2020-04-05,2020-04-12,0,441650
2020-04-12,2020-04-19,0,1657225
2020-04-19,2020-04-26,0,874435
2020-04-26,2020-05-03,0,294082
2020-05-03,2020-05-10,0,476029
2020-05-10,2020-05-17,0,202670
2020-05-17,2020-05-24,0,183816
2020-05-24,2020-05-31,0,175346
2020-05-31,2020-06-07,-10000,439416
2020-06-07,2020-06-14,0,169011
2020-06-14,2020-06-21,0,133121
2020-06-21,2020-06-28,0,405059
2020-06-28,2020-07-05,0,239080
2020-07-05,2020-07-12,0,192884
2020-07-12,2020-07-19,0,148754
2020-07-19,2020-07-26,0,159953
2020-07-26,2020-08-02,0,179952
2020-08-02,2020-08-09,-10000,228681
2020-08-09,2020-08-16,0,178004
2020-08-16,2020-08-23,0,199477
2020-08-23,2020-08-30,0,146318
2020-08-30,2020-09-06,0,152023
2020-09-06,2020-09-13,0,509361
2020-09-13,2020-09-20,0,196127
2020-09-20,2020-09-27,0,138265
2020-09-27,2020-10-04,0,111717
2020-10-04,2020-10-11,0,160016
2020-10-11,2020-10-18,0,724702
2020-10-18,2020-10-25,0,497132
2020-10-25,2020-11-01,0,133197
2020-11-01,2020-11-08,-10000,322918
2020-11-08,2020-11-15,0,649045
2020-11-15,2020-11-22,0,205490
2020-11-22,2020-11-29,0,125010
2020-11-29,2020-12-06,0,109926
2020-12-06,2020-12-13,0,577733
2020-12-13,2020-12-20,0,191510
2020-12-20,2020-12-27,0,132427
2020-12-27,2021-01-03,0,220175
2021-01-03,2021-01-10,0,173293
2021-01-10,2021-01-17,0,136338
2021-01-17,2021-01-24,0,93183
2021-01-24,2021-01-31,0,82545
2021-01-31,2021-02-07,0,79491
2021-02-07,2021-02-14,0,76479
2021-02-14,2021-02-21,0,79207
2021-02-21,2021-02-28,0,69248
2021-02-28,2021-03-07,0,66431
2021-03-07,2021-03-14,0,66239
2021-03-14,2021-03-21,0,66164
2021-03-21,2021-03-28,-10000,308274
2021-03-28,2021-04-04,0,93415
2021-04-04,2021-04-11,0,66955
2021-04-11,2021-04-18,0,66374
2021-04-18,2021-04-25,0,69739
2021-04-25,2021-05-02,0,217737
2021-05-02,2021-05-09,0,111016
2021-05-09,2021-05-16,0,184218
2021-05-16,2021-05-23,0,206475
2021-05-23,2021-05-30,0,72450
2021-05-30,2021-06-06,0,57973
2021-06-06,2021-06-13,0,54854
2021-06-13,2021-06-20,0,279996
2021-06-20,2021-06-27,0,420350
2021-06-27,2021-07-04,0,138637
2021-07-04,2021-07-11,0,66565
2021-07-11,2021-07-18,0,61357
2021-07-18,2021-07-25,0,60448
2021-07-25,2021-08-01,0,59160
2021-08-01,2021-08-08,0,61014
2021-08-08,2021-08-15,0,67820
2021-08-15,2021-08-22,0,61678
2021-08-22,2021-08-29,0,49692
2021-08-29,2021-09-05,0,53338
2021-09-05,2021-09-12,0,57113
2021-09-12,2021-09-19,0,-194606
2021-09-19,2021-09-26,0,99162
2021-09-26,2021-10-03,-10000,158891
2021-10-03,2021-10-10,0,54091
2021-10-10,2021-10-17,0,84077
2021-10-17,2021-10-24,0,62798
2021-10-24,2021-10-31,0,278326
2021-10-31,2021-11-07,0,55915
2021-11-07,2021-11-14,0,56499
2021-11-14,2021-11-21,0,53137
2021-11-21,2021-11-28,0,198586
2021-11-28,2021-12-05,0,127008
2021-12-05,2021-12-12,0,56368
2021-12-12,2021-12-19,0,51149
2021-12-19,2021-12-26,0,51964
2021-12-26,2022-01-02,-10000,89245
2022-01-02,2022-01-09,0,96422
2022-01-09,2022-01-16,0,56717
2022-01-16,2022-01-23,0,46798
2022-01-23,2022-01-30,0,46427
2022-01-30,2022-02-06,0,45756
2022-02-06,2022-02-13,0,48930
2022-02-13,2022-02-20,0,38164
2022-02-20,2022-02-27,0,53725
2022-02-27,2022-03-06,0,44085
2022-03-06,2022-03-13,0,45542
2022-03-13,2022-03-20,-10000,122684
2022-03-20,2022-03-27,0,37034
2022-03-27,2022-04-03,0,45618
2022-04-03,2022-04-10,0,34188
2022-04-10,2022-04-17,0,95516
2022-04-17,2022-04-24,0,50152
2022-04-24,2022-05-01,0,40926
2022-05-01,2022-05-08,0,47317
