start_date,end_date,weekly_subscribers,weekly_views
2019-02-08,2019-02-15,1,384
2019-02-17,2019-02-24,17,10743
2019-02-25,2019-03-04,18,7712
2019-03-03,2019-03-10,19,9918
2019-03-10,2019-03-17,13,10395
2019-03-17,2019-03-24,13,11081
2019-03-24,2019-03-31,25,11910
2019-03-31,2019-04-07,21,10713
2019-04-07,2019-04-14,28,11447
2019-04-14,2019-04-21,18,10200
2019-04-21,2019-04-28,9,11094
2019-04-29,2019-05-06,19,9010
2019-05-06,2019-05-13,8,4656
2019-05-13,2019-05-20,19,10552
2019-05-19,2019-05-26,19,8587
2019-05-26,2019-06-02,23,11063
2019-06-02,2019-06-09,15,7043
2019-06-11,2019-06-18,3,5647
2019-06-16,2019-06-23,12,7060
2019-06-23,2019-06-30,18,9098
2019-07-02,2019-07-09,11,7249
2019-07-07,2019-07-14,17,14003
2019-07-15,2019-07-22,20,8899
2019-07-22,2019-07-29,10,8966
2019-07-28,2019-08-04,20,10391
2019-08-04,2019-08-11,30,10933
2019-08-11,2019-08-18,20,10129
2019-08-18,2019-08-25,20,11719
2019-08-26,2019-09-02,20,3930
2019-09-01,2019-09-08,0,4689
2019-09-08,2019-09-15,10,7591
2019-09-16,2019-09-23,10,8794
2019-09-22,2019-09-29,10,10678
2019-09-29,2019-10-06,10,11450
2019-10-06,2019-10-13,20,10184
2019-10-13,2019-10-20,30,10191
2019-10-20,2019-10-27,20,10264
2019-10-27,2019-11-03,20,10643
2019-11-03,2019-11-10,20,10775
2019-11-10,2019-11-17,30,12834
2019-11-17,2019-11-24,30,12710
2019-11-24,2019-12-01,40,14614
2019-12-01,2019-12-08,20,12140
2019-12-08,2019-12-15,30,14475
2019-12-15,2019-12-22,30,13436
2019-12-22,2019-12-29,30,16523
2019-12-29,2020-01-05,40,15276
2020-01-05,2020-01-12,40,14924
2020-01-12,2020-01-19,40,15783
2020-01-19,2020-01-26,50,16142
2020-01-26,2020-02-02,30,15881
2020-02-02,2020-02-09,50,19394
2020-02-09,2020-02-16,40,15738
2020-02-16,2020-02-23,30,15868
2020-02-23,2020-03-01,40,15651
2020-03-02,2020-03-09,30,14245
2020-03-08,2020-03-15,30,15846
2020-03-15,2020-03-22,30,12354
2020-03-22,2020-03-29,10,9956
2020-03-29,2020-04-05,20,11008
2020-04-05,2020-04-12,20,10919
2020-04-12,2020-04-19,10,11791
2020-04-19,2020-04-26,20,11158
2020-04-26,2020-05-03,20,11186
2020-05-03,2020-05-10,30,10887
2020-05-10,2020-05-17,20,12026
2020-05-17,2020-05-24,30,14128
2020-05-24,2020-05-31,30,12991
2020-05-31,2020-06-07,20,12885
2020-06-07,2020-06-14,30,15121
2020-06-15,2020-06-22,10,10812
2020-06-21,2020-06-28,50,14667
2020-06-28,2020-07-05,10,12620
2020-07-05,2020-07-12,40,12621
2020-07-12,2020-07-19,20,12143
2020-07-19,2020-07-26,20,12068
2020-07-26,2020-08-02,30,13034
2020-08-02,2020-08-09,20,11744
2020-08-09,2020-08-16,20,11918
2020-08-16,2020-08-23,30,11705
2020-08-23,2020-08-30,20,11194
2020-08-30,2020-09-06,20,10976
2020-09-06,2020-09-13,30,11081
2020-09-13,2020-09-20,10,10603
2020-09-20,2020-09-27,10,10673
2020-09-27,2020-10-04,10,9679
2020-10-04,2020-10-11,20,9853
2020-10-11,2020-10-18,10,9615
2020-10-18,2020-10-25,10,9634
2020-10-25,2020-11-01,20,9528
2020-11-01,2020-11-08,20,8781
2020-11-08,2020-11-15,30,9264
2020-11-15,2020-11-22,20,10267
2020-11-22,2020-11-29,10,9220
2020-12-02,2020-12-09,10,4520
2020-12-06,2020-12-13,20,9251
2020-12-15,2020-12-22,10,6015
2020-12-20,2020-12-27,20,9589
2020-12-27,2021-01-03,10,9058
2021-01-03,2021-01-10,10,9627
2021-01-10,2021-01-17,20,9283
2021-01-17,2021-01-24,20,9066
2021-01-24,2021-01-31,20,9241
2021-02-01,2021-02-08,20,6405
2021-02-07,2021-02-14,20,8670
2021-02-15,2021-02-22,10,6600
2021-02-21,2021-02-28,20,8328
2021-02-28,2021-03-07,10,7057
2021-03-07,2021-03-14,20,8350
2021-03-14,2021-03-21,10,6864
2021-03-21,2021-03-28,20,8293
2021-03-28,2021-04-04,20,8494
2021-04-04,2021-04-11,20,8183
2021-04-11,2021-04-18,10,8199
2021-04-18,2021-04-25,10,7665
2021-04-25,2021-05-02,20,6711
2021-05-02,2021-05-09,10,8118
2021-05-09,2021-05-16,10,7216
2021-05-16,2021-05-23,10,7873
2021-05-23,2021-05-30,10,7706
2021-05-30,2021-06-06,20,7480
2021-06-06,2021-06-13,10,7225
2021-06-13,2021-06-20,20,6691
2021-06-20,2021-06-27,10,6707
2021-06-27,2021-07-04,20,7306
2021-07-04,2021-07-11,20,-9065
2021-07-11,2021-07-18,10,6765
2021-07-18,2021-07-25,10,6984
2021-07-25,2021-08-01,20,7033
2021-08-01,2021-08-08,10,6655
2021-08-08,2021-08-15,10,6914
2021-08-15,2021-08-22,10,7167
2021-08-22,2021-08-29,10,6717
2021-08-29,2021-09-05,20,7391
2021-09-05,2021-09-12,10,8693
2021-09-12,2021-09-19,10,8289
2021-09-19,2021-09-26,10,5164
2021-09-26,2021-10-03,10,8122
2021-10-03,2021-10-10,10,7020
2021-10-10,2021-10-17,10,6643
2021-10-17,2021-10-24,20,6867
2021-10-24,2021-10-31,10,6403
2021-10-31,2021-11-07,20,6287
2021-11-07,2021-11-14,20,6467
2021-11-14,2021-11-21,10,6321
2021-11-21,2021-11-28,10,6674
2021-11-28,2021-12-05,20,7322
2021-12-05,2021-12-12,10,6393
2021-12-12,2021-12-19,20,5956
2021-12-19,2021-12-26,20,6135
2021-12-26,2022-01-02,20,6626
2022-01-02,2022-01-09,20,6630
2022-01-09,2022-01-16,20,6349
2022-01-16,2022-01-23,10,6529
2022-01-23,2022-01-30,10,6550
2022-01-30,2022-02-06,10,7447
2022-02-06,2022-02-13,10,6495
2022-02-13,2022-02-20,0,6619
2022-02-20,2022-02-27,10,6710
2022-02-27,2022-03-06,20,7309
2022-03-06,2022-03-13,20,7369
2022-03-13,2022-03-20,20,7908
2022-03-20,2022-03-27,20,9628
2022-03-27,2022-04-03,10,8212
2022-04-03,2022-04-10,10,7913
2022-04-10,2022-04-17,10,7594
2022-04-17,2022-04-24,10,7910
2022-04-24,2022-05-01,30,8615
2022-05-01,2022-05-08,20,9098
2022-05-08,2022-05-15,20,9002
2022-05-15,2022-05-22,20,10217
