start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,17134,6448083
2019-06-02,2019-06-09,38413,13586357
2019-06-09,2019-06-16,41313,14538822
2019-06-16,2019-06-23,30505,8136197
2019-06-23,2019-06-30,23057,7425484
2019-06-30,2019-07-07,33530,10288869
2019-07-07,2019-07-14,28996,9548749
2019-07-14,2019-07-21,39440,15969450
2019-07-21,2019-07-28,75703,19062888
2019-07-28,2019-08-04,42617,12785951
2019-08-04,2019-08-11,74932,21399965
2019-08-11,2019-08-18,45144,12371235
2019-08-18,2019-08-25,43723,13869893
2019-08-25,2019-09-01,31997,10264352
2019-09-01,2019-09-08,31411,9585078
2019-09-08,2019-09-15,64229,15619803
2019-09-15,2019-09-22,44981,19757249
2019-09-22,2019-09-29,0,20920679
2019-09-29,2019-10-06,0,11275310
2019-10-06,2019-10-13,0,11421465
2019-10-13,2019-10-20,100000,14290988
2019-10-20,2019-10-27,0,13273815
2019-10-27,2019-11-03,100000,15580806
2019-11-03,2019-11-10,0,8334324
2019-11-10,2019-11-17,100000,15063823
2019-11-17,2019-11-24,0,12893623
2019-11-24,2019-12-01,100000,3470439
2019-12-01,2019-12-08,-100000,5265006
2019-12-08,2019-12-15,100000,6607963
2019-12-15,2019-12-22,0,8781980
2019-12-22,2019-12-29,0,9464332
2019-12-29,2020-01-05,0,7030650
2020-01-05,2020-01-12,100000,14872550
2020-01-12,2020-01-19,100000,12157948
2020-01-19,2020-01-26,0,7128142
2020-01-26,2020-02-02,0,-192141
2020-02-02,2020-02-09,0,6123310
2020-02-09,2020-02-16,100000,16096266
2020-02-16,2020-02-23,0,14769856
2020-02-23,2020-03-01,0,8785961
2020-03-01,2020-03-08,100000,9628350
2020-03-08,2020-03-15,0,8412830
2020-03-15,2020-03-22,0,6751614
2020-03-22,2020-03-29,0,4418145
2020-03-29,2020-04-05,0,6776384
2020-04-05,2020-04-12,0,11685817
2020-04-12,2020-04-19,100000,20136951
2020-04-19,2020-04-26,100000,12573907
2020-04-26,2020-05-03,0,11028226
2020-05-03,2020-05-10,0,19313597
2020-05-10,2020-05-17,100000,17786194
2020-05-17,2020-05-24,0,13510841
2020-05-24,2020-05-31,100000,8811964
2020-05-31,2020-06-07,0,3425095
