"","start_date","name","weekly_subscribers","weekly_views","category"
"1",2019-06-23,"codyko",41035,7745228,"comedy"
"2",2019-06-23,"h3h3productions",12782,3275586,"comedy"
"3",2019-06-23,"idubbbztv",6982,2448406,"comedy"
"4",2019-06-23,"jacksfilms",4727,4985957,"comedy"
"5",2019-06-23,"jennamarbles",17058,7833256,"comedy"
"6",2019-06-23,"pewdiepie.x",198983,81491292,"comedy"
"7",2019-06-23,"rhettandlink",336,644287,"comedy"
"8",2019-06-23,"ryanhiga",4857,3918684,"comedy"
"9",2019-06-23,"tvfilthyfrank",10627,2360871,"comedy"
"10",2019-06-23,"chillingtaleswi",576,70802,"commentory"
"11",2019-06-23,"dangelowallace",367,34982,"commentory"
"12",2019-06-23,"infinitelists",68820,20426701,"commentory"
"13",2019-06-23,"kurtisconner",13561,1609799,"commentory"
"14",2019-06-23,"lostinvegas",4240,1053207,"commentory"
"15",2019-06-23,"madisonharnish",0,4,"commentory"
"16",2019-06-23,"sssniperwolf",60931,36677012,"commentory"
"17",2019-06-23,"asapscience",13573,2868779,"educational"
"18",2019-06-23,"bigthink",3429,721384,"educational"
"19",2019-06-23,"cgpgrey",5417,1326893,"educational"
"20",2019-06-23,"commonsenseeducators",185,25715,"educational"
"21",2019-06-23,"crashcourse",19009,2582090,"educational"
"22",2019-06-23,"edutopia",344,56880,"educational"
"23",2019-06-23,"natgeo",43058,10294646,"educational"
"24",2019-06-23,"tededucation",35667,7211568,"educational"
"25",2019-06-23,"veritasium",53215,7635236,"educational"
"26",2019-06-23,"vsauce1",17379,2985818,"educational"
"27",2019-06-23,"jamescharles",50164,8167410,"fashion&beauty"
"28",2019-06-23,"jeffreestar",54935,12843750,"fashion&beauty"
"29",2019-06-23,"kathleenlights",2529,1335043,"fashion&beauty"
"30",2019-06-23,"nikkietutorials",17948,3321319,"fashion&beauty"
"31",2019-06-23,"patrickstarrr",5792,1050642,"fashion&beauty"
"32",2019-06-23,"ppmussas",29698,6506134,"fashion&beauty"
"33",2019-06-23,"rclbeauty101",8074,5407170,"fashion&beauty"
"34",2019-06-23,"tati",-20308,4886192,"fashion&beauty"
"35",2019-06-23,"waynegoss",2517,502863,"fashion&beauty"
"36",2019-06-23,"zoesugg",-912,363801,"fashion&beauty"
"37",2019-06-23,"blogilates",5805,1259514,"fitness"
"38",2019-06-23,"chloeting",31197,2177442,"fitness"
"39",2019-06-23,"fitnessblender",6343,1686199,"fitness"
"40",2019-06-23,"jdcav24",37094,6495808,"fitness"
"41",2019-06-23,"madfit",67016,2245707,"fitness"
"42",2019-06-23,"pamelarf1",10598,956840,"fitness"
"43",2019-06-23,"popsugarfitness",12764,1663637,"fitness"
"44",2019-06-23,"thefitnessmarshall",14197,2515221,"fitness"
"45",2019-06-23,"xhit",1659,552437,"fitness"
"46",2019-06-23,"yogawithadriene",20108,1868603,"fitness"
"47",2019-06-23,"americastestkitchen",2881,562938,"food"
"48",2019-06-23,"buzzfeedtasty",95689,29070070,"food"
"49",2019-06-23,"byrontalbott",95,76798,"food"
"50",2019-06-23,"foodwishes",6696,1738957,"food"
"51",2019-06-23,"gordonramsay",98239,14827222,"food"
"52",2019-06-23,"howtocakeit",4194,932930,"food"
"53",2019-06-23,"howtocookthat",10897,1119018,"food"
"54",2019-06-23,"jamieoliver",6309,1468795,"food"
"55",2019-06-23,"junskitchen",34288,2073608,"food"
"56",2019-06-23,"laurainthekitchen",2416,795478,"food"
"57",2019-06-23,"maangchi",17443,1589226,"food"
"58",2019-06-23,"tabithabrown",341,7144,"food"
