start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,3945,1164682
2019-06-02,2019-06-09,3954,1199959
2019-06-09,2019-06-16,4094,1368894
2019-06-16,2019-06-23,6674,1628107
2019-06-23,2019-06-30,4018,1242321
2019-06-30,2019-07-07,2821,775750
2019-07-07,2019-07-14,2306,825855
2019-07-14,2019-07-21,2571,832248
2019-07-21,2019-07-28,4357,1334705
2019-07-28,2019-08-04,6993,1847787
2019-08-04,2019-08-11,7164,1697784
2019-08-11,2019-08-18,4401,1107029
2019-08-18,2019-08-25,10091,2079090
2019-08-25,2019-09-01,11767,2560716
2019-09-01,2019-09-08,6699,1536651
2019-09-08,2019-09-15,7189,1451827
2019-09-15,2019-09-22,8000,1486535
2019-09-22,2019-09-29,22000,3616391
2019-09-29,2019-10-06,55000,10302268
2019-10-06,2019-10-13,36000,8645913
2019-10-13,2019-10-20,42000,7957842
2019-10-20,2019-10-27,30000,6556887
2019-10-27,2019-11-03,10000,4809083
2019-11-03,2019-11-10,10000,3553265
2019-11-10,2019-11-17,20000,4431207
2019-11-17,2019-11-24,30000,6224256
2019-11-24,2019-12-01,10000,3394766
2019-12-01,2019-12-08,10000,2847285
2019-12-08,2019-12-15,0,2014206
2019-12-15,2019-12-22,10000,2665630
2019-12-22,2019-12-29,10000,4315125
2019-12-29,2020-01-05,20000,5599058
2020-01-05,2020-01-12,10000,3678804
2020-01-12,2020-01-19,20000,2596065
2020-01-19,2020-01-26,20000,3530463
2020-01-26,2020-02-02,30000,7306318
2020-02-02,2020-02-09,30000,6039177
2020-02-09,2020-02-16,20000,5271366
2020-02-16,2020-02-23,10000,4134568
2020-02-23,2020-03-01,10000,3307391
2020-03-01,2020-03-08,20000,3708067
2020-03-08,2020-03-15,20000,4662757
2020-03-15,2020-03-22,10000,4415859
2020-03-22,2020-03-29,10000,3926333
2020-03-29,2020-04-05,20000,2922481
2020-04-05,2020-04-12,10000,2707689
2020-04-12,2020-04-19,20000,3620001
2020-04-19,2020-04-26,20000,4347078
2020-04-26,2020-05-03,30000,6333761
2020-05-03,2020-05-10,30000,6294279
2020-05-10,2020-05-17,20000,4307719
2020-05-17,2020-05-24,10000,3731150
2020-05-24,2020-05-31,10000,2604477
2020-05-31,2020-06-07,10000,1835182
2020-06-07,2020-06-14,10000,1839034
2020-06-14,2020-06-21,10000,1953618
2020-06-21,2020-06-28,0,1764334
2020-06-28,2020-07-05,10000,1541041
2020-07-05,2020-07-12,10000,2279892
2020-07-12,2020-07-19,10000,3050716
2020-07-19,2020-07-26,20000,4017797
2020-07-26,2020-08-02,20000,3287070
2020-08-02,2020-08-09,10000,2724650
2020-08-09,2020-08-16,10000,2326618
2020-08-16,2020-08-23,20000,1841414
2020-08-23,2020-08-30,10000,1999282
2020-08-30,2020-09-06,10000,2548372
2020-09-06,2020-09-13,10000,2530148
2020-09-13,2020-09-20,10000,2197522
2020-09-20,2020-09-27,20000,3853400
2020-09-27,2020-10-04,20000,4423097
2020-10-04,2020-10-11,10000,3761076
2020-10-11,2020-10-18,10000,3429464
2020-10-18,2020-10-25,20000,4370702
2020-10-25,2020-11-01,20000,3875207
2020-11-01,2020-11-08,10000,2486541
2020-11-08,2020-11-15,10000,2286323
2020-11-15,2020-11-22,20000,2951563
2020-11-22,2020-11-29,30000,4270527
2020-11-29,2020-12-06,60000,10532279
2020-12-06,2020-12-13,30000,7247771
2020-12-13,2020-12-20,20000,4084057
2020-12-20,2020-12-27,20000,3151857
2020-12-27,2021-01-03,10000,3016986
2021-01-03,2021-01-10,20000,2154382
2021-01-10,2021-01-17,10000,1968359
2021-01-17,2021-01-24,20000,2640492
2021-01-24,2021-01-31,10000,2083624
2021-01-31,2021-02-07,20000,2681613
2021-02-07,2021-02-14,10000,2408888
2021-02-14,2021-02-21,20000,2867110
2021-02-21,2021-02-28,10000,2717181
2021-02-28,2021-03-07,20000,2874438
2021-03-07,2021-03-14,10000,2834953
2021-03-14,2021-03-21,10000,2522109
2021-03-21,2021-03-28,20000,2703386
2021-03-28,2021-04-04,20000,2356854
2021-04-04,2021-04-11,10000,1938308
2021-04-11,2021-04-18,10000,1986260
2021-04-18,2021-04-25,10000,1383081
2021-04-25,2021-05-02,20000,1442826
2021-05-02,2021-05-09,10000,1820986
2021-05-09,2021-05-16,10000,2495819
2021-05-16,2021-05-23,10000,2629659
2021-05-23,2021-05-30,20000,2675199
2021-05-30,2021-06-06,10000,2217262
2021-06-06,2021-06-13,10000,1681578
2021-06-13,2021-06-20,10000,1508769
2021-06-20,2021-06-27,10000,2117351
2021-06-27,2021-07-04,10000,1850660
2021-07-04,2021-07-11,10000,1615553
2021-07-11,2021-07-18,10000,1670343
2021-07-18,2021-07-25,0,1397758
2021-07-25,2021-08-01,10000,1325512
2021-08-01,2021-08-08,10000,1399764
2021-08-08,2021-08-15,10000,1760843
2021-08-15,2021-08-22,20000,2540201
2021-08-22,2021-08-29,10000,2147958
2021-08-29,2021-09-05,10000,2113678
2021-09-05,2021-09-12,0,2526174
2021-09-12,2021-09-19,0,1986640
2021-09-19,2021-09-26,10000,2474197
2021-09-26,2021-10-03,10000,2146377
2021-10-03,2021-10-10,0,1941258
2021-10-10,2021-10-17,10000,1825424
2021-10-17,2021-10-24,10000,2363312
2021-10-24,2021-10-31,20000,2904422
2021-10-31,2021-11-07,20000,2735482
2021-11-07,2021-11-14,10000,3924678
2021-11-14,2021-11-21,20000,8745303
2021-11-21,2021-11-28,10000,3523170
2021-11-28,2021-12-05,10000,2466288
2021-12-05,2021-12-12,10000,4466140
2021-12-12,2021-12-19,10000,3449994
2021-12-19,2021-12-26,10000,2722753
2021-12-26,2022-01-02,50000,23155473
2022-01-02,2022-01-09,30000,8524939
2022-01-09,2022-01-16,20000,8325547
2022-01-16,2022-01-23,10000,5812724
2022-01-23,2022-01-30,10000,3333494
2022-01-30,2022-02-06,10000,2938527
2022-02-06,2022-02-13,10000,2483097
2022-02-13,2022-02-20,10000,1931693
2022-02-20,2022-02-27,10000,2116749
2022-02-27,2022-03-06,0,2167490
2022-03-06,2022-03-13,0,2284041
2022-03-13,2022-03-20,0,1751752
2022-03-20,2022-03-27,10000,1652696
2022-03-27,2022-04-03,10000,1985895
2022-04-03,2022-04-10,10000,1269859
2022-04-10,2022-04-17,0,1584591
2022-04-17,2022-04-24,10000,1402345
2022-04-24,2022-05-01,10000,1550463
2022-05-01,2022-05-08,10000,1761554
2022-05-08,2022-05-15,10000,1943042
2022-05-15,2022-05-22,10000,1296291
