start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,703,51567
2019-06-02,2019-06-09,1194,80656
2019-06-09,2019-06-16,1207,68147
2019-06-16,2019-06-23,1771,116853
2019-06-23,2019-06-30,1256,78660
2019-06-30,2019-07-07,1755,95446
2019-07-07,2019-07-14,1049,63124
2019-07-14,2019-07-21,3265,190966
2019-07-21,2019-07-28,2664,110019
2019-07-28,2019-08-04,6315,336427
2019-08-04,2019-08-11,2659,137204
2019-08-11,2019-08-18,1620,133728
2019-08-18,2019-08-25,2530,156134
2019-08-25,2019-09-01,5145,266641
2019-09-01,2019-09-08,8620,336443
2019-09-08,2019-09-15,6187,287249
2019-09-15,2019-09-22,6000,256506
2019-09-22,2019-09-29,7000,251637
2019-09-29,2019-10-06,3000,140660
2019-10-06,2019-10-13,5000,220236
2019-10-13,2019-10-20,5000,189038
2019-10-20,2019-10-27,4000,205999
2019-10-27,2019-11-03,3000,174310
2019-11-03,2019-11-10,3000,120089
2019-11-10,2019-11-17,3000,123096
2019-11-17,2019-11-24,3000,141491
2019-11-24,2019-12-01,2000,86064
2019-12-01,2019-12-08,1000,111779
2019-12-08,2019-12-15,2000,132258
2019-12-15,2019-12-22,23000,988348
2019-12-22,2019-12-29,16000,834471
2019-12-29,2020-01-05,6000,344030
2020-01-05,2020-01-12,5000,300033
2020-01-12,2020-01-19,5000,327334
2020-01-19,2020-01-26,4000,268235
2020-01-26,2020-02-02,4000,258688
2020-02-02,2020-02-09,4000,201528
2020-02-09,2020-02-16,2000,183165
2020-02-16,2020-02-23,10000,773507
2020-02-23,2020-03-01,9000,540602
2020-03-01,2020-03-08,5000,360216
2020-03-08,2020-03-15,4000,344814
2020-03-15,2020-03-22,4000,378446
2020-03-22,2020-03-29,3000,512764
2020-03-29,2020-04-05,3000,230983
2020-04-05,2020-04-12,2000,263673
2020-04-12,2020-04-19,3000,273201
2020-04-19,2020-04-26,2000,175613
2020-04-26,2020-05-03,3000,234647
2020-05-03,2020-05-10,3000,260202
2020-05-10,2020-05-17,7000,428826
2020-05-17,2020-05-24,7000,344066
2020-05-24,2020-05-31,5000,279431
2020-05-31,2020-06-07,3000,198618
2020-06-07,2020-06-14,2000,187992
2020-06-14,2020-06-21,3000,298388
2020-06-21,2020-06-28,4000,364067
2020-06-28,2020-07-05,24000,1158807
2020-07-05,2020-07-12,22000,1286451
2020-07-12,2020-07-19,13000,863527
2020-07-19,2020-07-26,18000,910608
2020-07-26,2020-08-02,24000,1093383
2020-08-02,2020-08-09,9000,543909
2020-08-09,2020-08-16,5000,384525
2020-08-16,2020-08-23,7000,387174
2020-08-23,2020-08-30,10000,552845
2020-08-30,2020-09-06,12000,566738
2020-09-06,2020-09-13,12000,660686
2020-09-13,2020-09-20,6000,358749
2020-09-20,2020-09-27,6000,426125
2020-09-27,2020-10-04,6000,362048
2020-10-04,2020-10-11,5000,384715
2020-10-11,2020-10-18,5000,402661
2020-10-18,2020-10-25,7000,516364
2020-10-25,2020-11-01,4000,360840
2020-11-01,2020-11-08,4000,305752
2020-11-08,2020-11-15,4000,323461
2020-11-15,2020-11-22,4000,380634
2020-11-22,2020-11-29,8000,553521
2020-11-29,2020-12-06,9000,698697
2020-12-06,2020-12-13,5000,401649
2020-12-13,2020-12-20,4000,-133097
2020-12-20,2020-12-27,6000,526852
2020-12-27,2021-01-03,6000,504896
2021-01-03,2021-01-10,15000,1228378
2021-01-10,2021-01-17,11000,982120
2021-01-17,2021-01-24,13000,942910
2021-01-24,2021-01-31,10000,794982
2021-01-31,2021-02-07,8000,750981
2021-02-07,2021-02-14,7000,617354
2021-02-14,2021-02-21,7000,542143
2021-02-21,2021-02-28,5000,504705
2021-02-28,2021-03-07,6000,562638
2021-03-07,2021-03-14,27000,2993021
2021-03-14,2021-03-21,11000,1025770
2021-03-21,2021-03-28,9000,849035
2021-03-28,2021-04-04,9000,131308
2021-04-04,2021-04-11,5000,727224
2021-04-11,2021-04-18,7000,635738
2021-04-18,2021-04-25,6000,640272
2021-04-25,2021-05-02,10000,560567
2021-05-02,2021-05-09,0,436678
2021-05-09,2021-05-16,10000,414833
2021-05-16,2021-05-23,0,413799
2021-05-23,2021-05-30,10000,440527
2021-05-30,2021-06-06,0,445785
2021-06-06,2021-06-13,0,410449
2021-06-13,2021-06-20,0,364298
2021-06-20,2021-06-27,0,388313
2021-06-27,2021-07-04,20000,852886
2021-07-04,2021-07-11,40000,1880964
2021-07-11,2021-07-18,20000,1348498
2021-07-18,2021-07-25,10000,1233160
2021-07-25,2021-08-01,10000,814195
2021-08-01,2021-08-08,20000,1169798
2021-08-08,2021-08-15,20000,1145181
2021-08-15,2021-08-22,10000,-1776461
2021-08-22,2021-08-29,10000,1637663
2021-08-29,2021-09-05,10000,1009902
2021-09-05,2021-09-12,10000,976717
2021-09-12,2021-09-19,10000,826341
2021-09-19,2021-09-26,10000,410415
2021-09-26,2021-10-03,0,499304
2021-10-03,2021-10-10,0,528756
2021-10-10,2021-10-17,10000,526163
2021-10-17,2021-10-24,0,611813
2021-10-24,2021-10-31,10000,659223
2021-10-31,2021-11-07,10000,797291
2021-11-07,2021-11-14,0,741794
2021-11-14,2021-11-21,0,713179
2021-11-21,2021-11-28,10000,736109
2021-11-28,2021-12-05,10000,314748
2021-12-05,2021-12-12,0,463010
2021-12-12,2021-12-19,0,374125
2021-12-19,2021-12-26,0,311133
2021-12-26,2022-01-02,10000,226104
2022-01-02,2022-01-09,0,252892
2022-01-09,2022-01-16,0,543947
2022-01-16,2022-01-23,10000,305141
2022-01-23,2022-01-30,0,469459
2022-01-30,2022-02-06,10000,640040
2022-02-06,2022-02-13,0,596325
2022-02-13,2022-02-20,10000,-1179352
2022-02-20,2022-02-27,0,337116
2022-02-27,2022-03-06,0,495874
2022-03-06,2022-03-13,10000,559753
2022-03-13,2022-03-20,0,277836
2022-03-20,2022-03-27,0,206913
2022-03-27,2022-04-03,0,352291
2022-04-03,2022-04-10,10000,247599
2022-04-10,2022-04-17,0,400772
2022-04-17,2022-04-24,0,467673
2022-04-24,2022-05-01,10000,569584
2022-05-01,2022-05-08,0,573831
2022-05-08,2022-05-15,0,462961
2022-05-15,2022-05-22,10000,248450
