start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,2406,123173
2019-06-02,2019-06-09,6254,472643
2019-06-09,2019-06-16,8676,413340
2019-06-16,2019-06-23,12496,631308
2019-06-23,2019-06-30,5858,429107
2019-06-30,2019-07-07,3005,287960
2019-07-07,2019-07-14,1939,281044
2019-07-14,2019-07-21,3359,327304
2019-07-21,2019-07-28,2842,435976
2019-07-28,2019-08-04,2294,440475
2019-08-04,2019-08-11,5778,507175
2019-08-11,2019-08-18,25939,1080833
2019-08-18,2019-08-25,7269,507994
2019-08-25,2019-09-01,6380,558562
2019-09-01,2019-09-08,9919,662882
2019-09-08,2019-09-15,5488,572533
2019-09-15,2019-09-22,4979,695168
2019-09-22,2019-09-29,19000,1473011
2019-09-29,2019-10-06,81000,4272987
2019-10-06,2019-10-13,61000,3607354
2019-10-13,2019-10-20,5000,611515
2019-10-20,2019-10-27,2000,297613
2019-10-27,2019-11-03,7000,1093523
2019-11-03,2019-11-10,3000,570757
2019-11-10,2019-11-17,20000,970669
2019-11-17,2019-11-24,70000,4091816
2019-11-24,2019-12-01,18000,1497849
2019-12-01,2019-12-08,9000,995448
2019-12-08,2019-12-15,24000,2149295
2019-12-15,2019-12-22,80000,5654197
2019-12-22,2019-12-29,20000,1549640
2019-12-29,2020-01-05,10000,1208434
2020-01-05,2020-01-12,50000,4036668
2020-01-12,2020-01-19,30000,2427277
2020-01-19,2020-01-26,10000,1130142
2020-01-26,2020-02-02,40000,8732678
2020-02-02,2020-02-09,10000,2215102
2020-02-09,2020-02-16,10000,615670
2020-02-16,2020-02-23,10000,843413
2020-02-23,2020-03-01,0,413641
2020-03-01,2020-03-08,10000,648899
2020-03-08,2020-03-15,0,638833
2020-03-15,2020-03-22,60000,2728859
2020-03-22,2020-03-29,100000,4494675
2020-03-29,2020-04-05,50000,3255173
2020-04-05,2020-04-12,10000,1230921
2020-04-12,2020-04-19,10000,1084906
2020-04-19,2020-04-26,10000,1255239
2020-04-26,2020-05-03,20000,1713375
2020-05-03,2020-05-10,10000,1259561
2020-05-10,2020-05-17,20000,1604874
2020-05-17,2020-05-24,20000,1466736
2020-05-24,2020-05-31,10000,1028598
2020-05-31,2020-06-07,10000,1260695
2020-06-07,2020-06-14,10000,881868
2020-06-14,2020-06-21,10000,1224064
2020-06-21,2020-06-28,0,896286
2020-06-28,2020-07-05,10000,844647
2020-07-05,2020-07-12,10000,1220363
2020-07-12,2020-07-19,20000,986883
2020-07-19,2020-07-26,20000,1822059
2020-07-26,2020-08-02,10000,1368219
2020-08-02,2020-08-09,20000,1527462
2020-08-09,2020-08-16,20000,1676089
2020-08-16,2020-08-23,30000,2971047
2020-08-23,2020-08-30,40000,3815530
2020-08-30,2020-09-06,40000,3209263
2020-09-06,2020-09-13,30000,3147607
2020-09-13,2020-09-20,20000,2608369
2020-09-20,2020-09-27,10000,1787195
2020-09-27,2020-10-04,10000,1345807
2020-10-04,2020-10-11,50000,4826839
2020-10-11,2020-10-18,50000,4307063
2020-10-18,2020-10-25,30000,2577451
2020-10-25,2020-11-01,40000,3894784
2020-11-01,2020-11-08,40000,4492799
2020-11-08,2020-11-15,20000,2237144
2020-11-15,2020-11-22,10000,1582456
2020-11-22,2020-11-29,10000,1575879
2020-11-29,2020-12-06,10000,1808225
2020-12-06,2020-12-13,10000,1879503
2020-12-13,2020-12-20,10000,1828389
2020-12-20,2020-12-27,10000,541472
2020-12-27,2021-01-03,10000,196675
2021-01-03,2021-01-10,10000,1007625
2021-01-10,2021-01-17,60000,3689872
2021-01-17,2021-01-24,140000,7747464
2021-01-24,2021-01-31,120000,9811799
2021-01-31,2021-02-07,30000,3133515
2021-02-07,2021-02-14,20000,3280431
2021-02-14,2021-02-21,20000,2198311
2021-02-21,2021-02-28,20000,1935578
2021-02-28,2021-03-07,20000,2350051
2021-03-07,2021-03-14,20000,1566155
2021-03-14,2021-03-21,20000,2066909
2021-03-21,2021-03-28,290000,19768980
2021-03-28,2021-04-04,30000,3525009
2021-04-04,2021-04-11,30000,2048594
2021-04-11,2021-04-18,40000,2112334
2021-04-18,2021-04-25,50000,3176582
2021-04-25,2021-05-02,70000,4989161
2021-05-02,2021-05-09,20000,1980850
2021-05-09,2021-05-16,10000,961857
2021-05-16,2021-05-23,0,769672
2021-05-23,2021-05-30,10000,1294928
2021-05-30,2021-06-06,10000,167638
2021-06-06,2021-06-13,20000,1325487
2021-06-13,2021-06-20,20000,1644004
2021-06-20,2021-06-27,10000,1682910
2021-06-27,2021-07-04,10000,1234493
2021-07-04,2021-07-11,0,724870
2021-07-11,2021-07-18,10000,754570
2021-07-18,2021-07-25,10000,813822
2021-07-25,2021-08-01,10000,1851473
2021-08-01,2021-08-08,10000,1370894
2021-08-08,2021-08-15,10000,1405967
2021-08-15,2021-08-22,10000,1207868
2021-08-22,2021-08-29,10000,869907
2021-08-29,2021-09-05,0,1062595
2021-09-05,2021-09-12,10000,822704
2021-09-12,2021-09-19,10000,841933
2021-09-19,2021-09-26,10000,1203937
2021-09-26,2021-10-03,0,1043258
2021-10-03,2021-10-10,10000,720012
2021-10-10,2021-10-17,10000,622526
2021-10-17,2021-10-24,0,733663
2021-10-24,2021-10-31,10000,1110557
2021-10-31,2021-11-07,20000,1124675
2021-11-07,2021-11-14,20000,1552837
2021-11-14,2021-11-21,10000,1074731
2021-11-21,2021-11-28,10000,774227
2021-11-28,2021-12-05,10000,745846
2021-12-05,2021-12-12,20000,2122147
2021-12-12,2021-12-19,10000,163798
2021-12-19,2021-12-26,20000,1324275
2021-12-26,2022-01-02,10000,1192556
2022-01-02,2022-01-09,0,707818
2022-01-09,2022-01-16,10000,576523
2022-01-16,2022-01-23,10000,773062
2022-01-23,2022-01-30,20000,1849120
2022-01-30,2022-02-06,10000,1122836
2022-02-06,2022-02-13,0,1011457
2022-02-13,2022-02-20,10000,720554
2022-02-20,2022-02-27,0,462443
2022-02-27,2022-03-06,0,342244
2022-03-06,2022-03-13,0,487746
2022-03-13,2022-03-20,10000,685980
2022-03-20,2022-03-27,10000,523309
2022-03-27,2022-04-03,0,753195
2022-04-03,2022-04-10,0,462081
2022-04-10,2022-04-17,0,383288
2022-04-17,2022-04-24,0,290900
2022-04-24,2022-05-01,0,280139
2022-05-01,2022-05-08,10000,1149735
2022-05-08,2022-05-15,0,418004
2022-05-15,2022-05-22,0,789622
