start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,3706,570810
2019-06-02,2019-06-09,5023,851498
2019-06-09,2019-06-16,7208,1073375
2019-06-16,2019-06-23,5988,990529
2019-06-23,2019-06-30,6022,1097938
2019-06-30,2019-07-07,7428,1548612
2019-07-07,2019-07-14,7001,1159015
2019-07-14,2019-07-21,10429,1251273
2019-07-21,2019-07-28,6216,1108871
2019-07-28,2019-08-04,4462,1123860
2019-08-04,2019-08-11,5117,1084393
2019-08-11,2019-08-18,5363,1141653
2019-08-18,2019-08-25,11382,1698180
2019-08-25,2019-09-01,31445,3497825
2019-09-01,2019-09-08,13664,2208951
2019-09-08,2019-09-15,7909,1547641
2019-09-15,2019-09-22,5000,1180028
2019-09-22,2019-09-29,5000,1477273
2019-09-29,2019-10-06,8000,1437289
2019-10-06,2019-10-13,9000,1384380
2019-10-13,2019-10-20,9000,1509390
2019-10-20,2019-10-27,33000,3072996
2019-10-27,2019-11-03,23000,2899058
2019-11-03,2019-11-10,10000,1685096
2019-11-10,2019-11-17,13000,1675695
2019-11-17,2019-11-24,12000,2035308
2019-11-24,2019-12-01,7000,1589176
2019-12-01,2019-12-08,4000,1125720
2019-12-08,2019-12-15,12000,1837167
2019-12-15,2019-12-22,32000,3543874
2019-12-22,2019-12-29,20000,3059868
2019-12-29,2020-01-05,20000,3749371
2020-01-05,2020-01-12,30000,4108619
2020-01-12,2020-01-19,20000,3718759
2020-01-19,2020-01-26,10000,2767055
2020-01-26,2020-02-02,10000,3033930
2020-02-02,2020-02-09,10000,1674795
2020-02-09,2020-02-16,10000,1952784
2020-02-16,2020-02-23,10000,1922899
2020-02-23,2020-03-01,10000,1433731
2020-03-01,2020-03-08,20000,2711308
2020-03-08,2020-03-15,20000,2577305
2020-03-15,2020-03-22,20000,3831702
2020-03-22,2020-03-29,10000,3187777
2020-03-29,2020-04-05,10000,1917780
2020-04-05,2020-04-12,10000,2136149
2020-04-12,2020-04-19,10000,2427806
2020-04-19,2020-04-26,20000,3436853
2020-04-26,2020-05-03,10000,2720991
2020-05-03,2020-05-10,10000,2655384
2020-05-10,2020-05-17,20000,2965892
2020-05-17,2020-05-24,10000,2597037
2020-05-24,2020-05-31,10000,3006916
2020-05-31,2020-06-07,10000,2526672
2020-06-07,2020-06-14,20000,2658327
2020-06-14,2020-06-21,10000,2404360
2020-06-21,2020-06-28,10000,3260918
2020-06-28,2020-07-05,20000,3088564
2020-07-05,2020-07-12,20000,3421166
2020-07-12,2020-07-19,10000,2903263
2020-07-19,2020-07-26,10000,2635533
2020-07-26,2020-08-02,20000,3354094
2020-08-02,2020-08-09,20000,3049867
2020-08-09,2020-08-16,20000,2870498
2020-08-16,2020-08-23,10000,2585241
2020-08-23,2020-08-30,10000,2186352
2020-08-30,2020-09-06,10000,1294263
2020-09-06,2020-09-13,10000,2063242
2020-09-13,2020-09-20,10000,2013120
2020-09-20,2020-09-27,10000,2260701
2020-09-27,2020-10-04,20000,2987352
2020-10-04,2020-10-11,10000,2475462
2020-10-11,2020-10-18,10000,1793226
2020-10-18,2020-10-25,10000,2377466
2020-10-25,2020-11-01,10000,2047504
2020-11-01,2020-11-08,10000,2587024
2020-11-08,2020-11-15,20000,2720200
2020-11-15,2020-11-22,20000,2897266
2020-11-22,2020-11-29,10000,2107470
2020-11-29,2020-12-06,20000,2207581
2020-12-06,2020-12-13,10000,2769827
2020-12-13,2020-12-20,20000,2111028
2020-12-20,2020-12-27,0,1361491
2020-12-27,2021-01-03,0,1303690
2021-01-03,2021-01-10,10000,1550602
2021-01-10,2021-01-17,20000,1624798
2021-01-17,2021-01-24,10000,2107332
2021-01-24,2021-01-31,30000,4519086
2021-01-31,2021-02-07,20000,4163816
2021-02-07,2021-02-14,10000,3291203
2021-02-14,2021-02-21,10000,3120705
2021-02-21,2021-02-28,10000,2706305
2021-02-28,2021-03-07,10000,1994701
2021-03-07,2021-03-14,10000,1748548
2021-03-14,2021-03-21,10000,1933169
2021-03-21,2021-03-28,20000,2505871
2021-03-28,2021-04-04,10000,2273007
2021-04-04,2021-04-11,20000,3674558
2021-04-11,2021-04-18,10000,2215122
2021-04-18,2021-04-25,10000,1940178
2021-04-25,2021-05-02,20000,2034647
2021-05-02,2021-05-09,10000,2250227
2021-05-09,2021-05-16,10000,1980760
2021-05-16,2021-05-23,10000,2185228
2021-05-23,2021-05-30,10000,1500111
2021-05-30,2021-06-06,10000,1577980
2021-06-06,2021-06-13,10000,1925208
2021-06-13,2021-06-20,0,1709921
2021-06-20,2021-06-27,10000,2736363
2021-06-27,2021-07-04,40000,6130922
2021-07-04,2021-07-11,20000,4412075
2021-07-11,2021-07-18,20000,3207676
2021-07-18,2021-07-25,20000,2375422
2021-07-25,2021-08-01,10000,2217534
2021-08-01,2021-08-08,20000,2794074
2021-08-08,2021-08-15,10000,3518344
2021-08-15,2021-08-22,10000,2353598
2021-08-22,2021-08-29,20000,2691831
2021-08-29,2021-09-05,10000,2502838
2021-09-05,2021-09-12,10000,3447522
2021-09-12,2021-09-19,10000,2404901
2021-09-19,2021-09-26,20000,3122613
2021-09-26,2021-10-03,20000,3719378
2021-10-03,2021-10-10,10000,3453067
2021-10-10,2021-10-17,10000,2741282
2021-10-17,2021-10-24,20000,3635204
2021-10-24,2021-10-31,10000,2221433
2021-10-31,2021-11-07,10000,1991254
2021-11-07,2021-11-14,10000,2164300
2021-11-14,2021-11-21,10000,3151105
2021-11-21,2021-11-28,20000,3525028
2021-11-28,2021-12-05,10000,2042099
2021-12-05,2021-12-12,10000,3484874
2021-12-12,2021-12-19,10000,2880362
2021-12-19,2021-12-26,10000,2219923
2021-12-26,2022-01-02,10000,2111481
2022-01-02,2022-01-09,10000,3281410
2022-01-09,2022-01-16,20000,2546162
2022-01-16,2022-01-23,20000,5413963
2022-01-23,2022-01-30,20000,4102483
2022-01-30,2022-02-06,10000,2244682
2022-02-06,2022-02-13,0,2449673
2022-02-13,2022-02-20,10000,1997634
2022-02-20,2022-02-27,10000,2270467
2022-02-27,2022-03-06,10000,2883713
2022-03-06,2022-03-13,10000,3174579
2022-03-13,2022-03-20,10000,3942585
2022-03-20,2022-03-27,10000,3278440
2022-03-27,2022-04-03,10000,2847003
2022-04-03,2022-04-10,10000,2357049
2022-04-10,2022-04-17,10000,2392764
2022-04-17,2022-04-24,10000,2673411
2022-04-24,2022-05-01,10000,2711036
2022-05-01,2022-05-08,10000,1324233
2022-05-08,2022-05-15,0,1876812
2022-05-15,2022-05-22,10000,2272682
