start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,962,37538
2019-06-02,2019-06-09,3232,118208
2019-06-09,2019-06-16,4020,134018
2019-06-16,2019-06-23,3513,127144
2019-06-23,2019-06-30,24346,615058
2019-06-30,2019-07-07,7518,279918
2019-07-07,2019-07-14,4075,189358
2019-07-14,2019-07-21,3950,169475
2019-07-21,2019-07-28,5074,174348
2019-07-28,2019-08-04,4998,170415
2019-08-04,2019-08-11,4170,164676
2019-08-11,2019-08-18,4728,185091
2019-08-18,2019-08-25,4518,173418
2019-08-25,2019-09-01,3859,152564
2019-09-01,2019-09-08,2871,140119
2019-09-08,2019-09-15,4464,140809
2019-09-15,2019-09-22,4493,156821
2019-09-22,2019-09-29,3000,142223
2019-09-29,2019-10-06,3000,122754
2019-10-06,2019-10-13,8000,510758
2019-10-13,2019-10-20,4000,171511
2019-10-20,2019-10-27,3000,124453
2019-10-27,2019-11-03,9000,542588
2019-11-03,2019-11-10,11000,441466
2019-11-10,2019-11-17,9000,333734
2019-11-17,2019-11-24,6000,342613
2019-11-24,2019-12-01,4000,183768
2019-12-01,2019-12-08,3000,188315
2019-12-08,2019-12-15,5000,172785
2019-12-15,2019-12-22,4000,175918
2019-12-22,2019-12-29,4000,172524
2019-12-29,2020-01-05,4000,246126
2020-01-05,2020-01-12,4000,223280
2020-01-12,2020-01-19,4000,168569
2020-01-19,2020-01-26,4000,166309
2020-01-26,2020-02-02,5000,354614
2020-02-02,2020-02-09,4000,227395
2020-02-09,2020-02-16,3000,162089
2020-02-16,2020-02-23,4000,148150
2020-02-23,2020-03-01,3000,142402
2020-03-01,2020-03-08,3000,154839
2020-03-08,2020-03-15,4000,260133
2020-03-15,2020-03-22,4000,213631
2020-03-22,2020-03-29,3000,163027
2020-03-29,2020-04-05,0,163435
2020-04-05,2020-04-12,10000,179169
2020-04-12,2020-04-19,0,182436
2020-04-19,2020-04-26,10000,289887
2020-04-26,2020-05-03,0,120405
2020-05-03,2020-05-10,10000,190336
2020-05-10,2020-05-17,0,315551
2020-05-17,2020-05-24,10000,256857
2020-05-24,2020-05-31,10000,239867
2020-05-31,2020-06-07,0,199117
2020-06-07,2020-06-14,0,241888
