start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,3381,248708
2019-06-02,2019-06-09,6063,561071
2019-06-09,2019-06-16,5206,447448
2019-06-16,2019-06-23,6541,523280
2019-06-23,2019-06-30,6156,530811
2019-06-30,2019-07-07,6332,519541
2019-07-07,2019-07-14,7281,669667
2019-07-14,2019-07-21,5389,519849
2019-07-21,2019-07-28,5048,491099
2019-07-28,2019-08-04,7591,604897
2019-08-04,2019-08-11,7919,661626
2019-08-11,2019-08-18,5236,560202
2019-08-18,2019-08-25,6662,640505
2019-08-25,2019-09-01,7503,690849
2019-09-01,2019-09-08,11727,976902
2019-09-08,2019-09-15,8769,821150
2019-09-15,2019-09-22,1369,615175
2019-09-22,2019-09-29,10000,508805
2019-09-29,2019-10-06,0,642074
2019-10-06,2019-10-13,10000,739351
2019-10-13,2019-10-20,10000,874134
2019-10-20,2019-10-27,10000,695080
2019-10-27,2019-11-03,0,507216
2019-11-03,2019-11-10,10000,576150
2019-11-10,2019-11-17,10000,685165
2019-11-17,2019-11-24,0,596092
2019-11-24,2019-12-01,10000,542534
2019-12-01,2019-12-08,0,479733
2019-12-08,2019-12-15,0,866822
2019-12-15,2019-12-22,10000,759233
2019-12-22,2019-12-29,10000,570805
2019-12-29,2020-01-05,10000,617580
2020-01-05,2020-01-12,10000,884718
2020-01-12,2020-01-19,10000,733736
2020-01-19,2020-01-26,10000,837794
2020-01-26,2020-02-02,0,564646
2020-02-02,2020-02-09,10000,870385
2020-02-09,2020-02-16,10000,576904
2020-02-16,2020-02-23,0,515823
2020-02-23,2020-03-01,10000,591160
2020-03-01,2020-03-08,0,671312
2020-03-08,2020-03-15,0,611400
2020-03-15,2020-03-22,0,378680
2020-03-22,2020-03-29,0,681062
2020-03-29,2020-04-05,10000,860345
2020-04-05,2020-04-12,10000,551139
2020-04-12,2020-04-19,0,608495
2020-04-19,2020-04-26,10000,492611
2020-04-26,2020-05-03,10000,456965
2020-05-03,2020-05-10,0,490283
2020-05-10,2020-05-17,10000,587159
2020-05-17,2020-05-24,10000,561819
2020-05-24,2020-05-31,0,533416
2020-05-31,2020-06-07,0,509239
2020-06-07,2020-06-14,10000,457703
2020-06-14,2020-06-21,0,415861
2020-06-21,2020-06-28,0,474671
2020-06-28,2020-07-05,10000,506668
2020-07-05,2020-07-12,0,437476
2020-07-12,2020-07-19,10000,475841
2020-07-19,2020-07-26,10000,450766
2020-07-26,2020-08-02,0,681597
2020-08-02,2020-08-09,0,513436
2020-08-09,2020-08-16,10000,489125
2020-08-16,2020-08-23,0,380920
2020-08-23,2020-08-30,10000,417538
2020-08-30,2020-09-06,0,651396
2020-09-06,2020-09-13,0,476672
2020-09-13,2020-09-20,10000,359572
2020-09-20,2020-09-27,0,402870
2020-09-27,2020-10-04,10000,357590
2020-10-04,2020-10-11,0,428189
2020-10-11,2020-10-18,0,359134
2020-10-18,2020-10-25,10000,371412
2020-10-25,2020-11-01,0,315912
2020-11-01,2020-11-08,0,335753
2020-11-08,2020-11-15,0,447924
2020-11-15,2020-11-22,50000,498405
2020-11-29,2020-12-06,10000,643614
2020-12-06,2020-12-13,0,578905
2020-12-13,2020-12-20,0,547535
2020-12-20,2020-12-27,0,324722
2020-12-27,2021-01-03,10000,363358
2021-01-03,2021-01-10,0,430876
2021-01-10,2021-01-17,10000,414914
2021-01-17,2021-01-24,0,347414
2021-01-24,2021-01-31,0,398608
2021-01-31,2021-02-07,0,457304
2021-02-07,2021-02-14,10000,359743
2021-02-14,2021-02-21,0,625556
2021-02-21,2021-02-28,10000,399956
2021-02-28,2021-03-07,0,353150
2021-03-07,2021-03-14,10000,446529
2021-03-14,2021-03-21,10000,993571
2021-03-21,2021-03-28,10000,696415
2021-03-28,2021-04-04,10000,775507
2021-04-04,2021-04-11,10000,714548
2021-04-11,2021-04-18,0,771521
2021-04-18,2021-04-25,10000,392467
2021-04-25,2021-05-02,10000,575513
2021-05-02,2021-05-09,10000,404567
2021-05-09,2021-05-16,0,564853
2021-05-16,2021-05-23,0,463319
2021-05-23,2021-05-30,0,570153
2021-05-30,2021-06-06,10000,509326
2021-06-06,2021-06-13,10000,552947
2021-06-13,2021-06-20,0,435839
2021-06-20,2021-06-27,10000,396674
2021-06-27,2021-07-04,0,504084
2021-07-04,2021-07-11,10000,489755
2021-07-11,2021-07-18,0,438429
2021-07-18,2021-07-25,0,342678
2021-07-25,2021-08-01,10000,411136
2021-08-01,2021-08-08,0,366193
2021-08-08,2021-08-15,0,417230
2021-08-15,2021-08-22,10000,395531
2021-08-22,2021-08-29,0,466560
2021-08-29,2021-09-05,0,370521
2021-09-05,2021-09-12,0,349306
2021-09-12,2021-09-19,10000,341483
2021-09-19,2021-09-26,0,351897
2021-09-26,2021-10-03,0,281694
2021-10-03,2021-10-10,0,330250
2021-10-10,2021-10-17,0,232562
2021-10-17,2021-10-24,10000,272218
2021-10-24,2021-10-31,0,395996
2021-10-31,2021-11-07,0,376037
2021-11-07,2021-11-14,10000,297048
2021-11-14,2021-11-21,0,322367
2021-11-21,2021-11-28,0,311707
2021-11-28,2021-12-05,0,367075
2021-12-05,2021-12-12,0,245345
2021-12-12,2021-12-19,10000,259788
2021-12-19,2021-12-26,0,293746
2021-12-26,2022-01-02,0,258963
2022-01-02,2022-01-09,0,436106
2022-01-09,2022-01-16,0,298914
2022-01-16,2022-01-23,10000,312975
2022-01-23,2022-01-30,0,354239
2022-01-30,2022-02-06,0,308058
2022-02-06,2022-02-13,0,296137
2022-02-13,2022-02-20,0,210053
2022-02-20,2022-02-27,10000,272866
2022-02-27,2022-03-06,0,234322
2022-03-06,2022-03-13,0,243533
2022-03-13,2022-03-20,0,276309
2022-03-20,2022-03-27,0,322827
