start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,11169,2259386
2019-06-02,2019-06-09,29001,6362791
2019-06-09,2019-06-16,31619,6926541
2019-06-16,2019-06-23,31468,6949257
2019-06-23,2019-06-30,32740,7477225
2019-06-30,2019-07-07,30830,6993614
2019-07-07,2019-07-14,31608,6496197
2019-07-14,2019-07-21,31617,7133498
2019-07-21,2019-07-28,25132,6303545
2019-07-28,2019-08-04,28354,6823674
2019-08-04,2019-08-11,27626,6763640
2019-08-11,2019-08-18,25475,6607682
2019-08-18,2019-08-25,26531,6575595
2019-08-25,2019-09-01,32571,7870889
2019-09-01,2019-09-08,25653,6702824
2019-09-08,2019-09-15,23023,6655304
2019-09-15,2019-09-22,25854,6927112
2019-09-22,2019-09-29,30000,6488675
2019-09-29,2019-10-06,30000,6467296
2019-10-06,2019-10-13,30000,5434617
2019-10-13,2019-10-20,20000,5531088
2019-10-20,2019-10-27,20000,5558817
2019-10-27,2019-11-03,20000,5277032
2019-11-03,2019-11-10,20000,5183762
2019-11-10,2019-11-17,20000,5069698
2019-11-17,2019-11-24,30000,5744509
2019-11-24,2019-12-01,30000,5245034
2019-12-01,2019-12-08,20000,5178173
2019-12-08,2019-12-15,30000,5190886
2019-12-15,2019-12-22,20000,5332287
2019-12-22,2019-12-29,30000,5375909
2019-12-29,2020-01-05,40000,7731247
2020-01-05,2020-01-12,40000,8853513
2020-01-12,2020-01-19,40000,8259122
2020-01-19,2020-01-26,30000,7625383
2020-01-26,2020-02-02,30000,6810236
2020-02-02,2020-02-09,30000,7636354
2020-02-09,2020-02-16,30000,7627294
2020-02-16,2020-02-23,30000,6744124
2020-02-23,2020-03-01,20000,6794631
2020-03-01,2020-03-08,20000,6312838
2020-03-08,2020-03-15,20000,6527318
2020-03-15,2020-03-22,20000,6701780
2020-03-22,2020-03-29,30000,8080009
2020-03-29,2020-04-05,30000,9035001
2020-04-05,2020-04-12,40000,10704466
2020-04-12,2020-04-19,50000,10599202
2020-04-19,2020-04-26,40000,10306667
2020-04-26,2020-05-03,50000,10831564
2020-05-03,2020-05-10,40000,9779125
2020-05-10,2020-05-17,40000,10233199
2020-05-17,2020-05-24,40000,9411938
2020-05-24,2020-05-31,30000,8749846
2020-05-31,2020-06-07,30000,9229873
2020-06-07,2020-06-14,20000,7577851
2020-06-14,2020-06-21,20000,7318734
2020-06-21,2020-06-28,30000,8108633
2020-06-28,2020-07-05,30000,8389594
2020-07-05,2020-07-12,30000,8181168
2020-07-12,2020-07-19,30000,7943376
2020-07-19,2020-07-26,30000,7596569
2020-07-26,2020-08-02,30000,7806190
2020-08-02,2020-08-09,30000,8490150
2020-08-09,2020-08-16,40000,10166914
2020-08-16,2020-08-23,40000,11897950
2020-08-23,2020-08-30,40000,10797855
2020-08-30,2020-09-06,40000,9205722
2020-09-06,2020-09-13,30000,8340001
2020-09-13,2020-09-20,30000,8104874
2020-09-20,2020-09-27,30000,7430668
2020-09-27,2020-10-04,20000,7172829
2020-10-04,2020-10-11,20000,5765351
2020-10-11,2020-10-18,20000,7075447
2020-10-18,2020-10-25,20000,7300097
2020-10-25,2020-11-01,30000,8044340
2020-11-01,2020-11-08,30000,8205441
2020-11-08,2020-11-15,30000,7861823
2020-11-15,2020-11-22,40000,9926284
2020-11-22,2020-11-29,20000,8869498
2020-11-29,2020-12-06,20000,6706111
2020-12-06,2020-12-13,20000,6727306
2020-12-13,2020-12-20,20000,6181720
2020-12-20,2020-12-27,20000,5189404
2020-12-27,2021-01-03,20000,5649861
2021-01-03,2021-01-10,20000,5282632
2021-01-10,2021-01-17,20000,5950782
2021-01-17,2021-01-24,20000,5457009
2021-01-24,2021-01-31,20000,5540632
2021-01-31,2021-02-07,30000,6191345
2021-02-07,2021-02-14,30000,6133420
2021-02-14,2021-02-21,20000,5949426
2021-02-21,2021-02-28,20000,6606595
2021-02-28,2021-03-07,20000,5652750
2021-03-07,2021-03-14,20000,6253497
2021-03-14,2021-03-21,30000,6705265
2021-03-21,2021-03-28,20000,7285470
2021-03-28,2021-04-04,30000,7851454
2021-04-04,2021-04-11,30000,8786106
2021-04-11,2021-04-18,20000,7006746
2021-04-18,2021-04-25,20000,6400495
2021-04-25,2021-05-02,30000,5311524
2021-05-02,2021-05-09,20000,6146757
2021-05-09,2021-05-16,20000,5609647
2021-05-16,2021-05-23,20000,5846295
2021-05-23,2021-05-30,10000,4505377
