start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,732,60463
2019-06-02,2019-06-09,1721,141272
2019-06-09,2019-06-16,1395,122509
2019-06-16,2019-06-23,1123,97623
2019-06-23,2019-06-30,2784,378737
2019-06-30,2019-07-07,5855,966733
2019-07-07,2019-07-14,2736,357017
2019-07-14,2019-07-21,806,104055
2019-07-21,2019-07-28,1380,122926
2019-07-28,2019-08-04,2609,177294
2019-08-04,2019-08-11,1650,159429
2019-08-11,2019-08-18,1577,151412
2019-08-18,2019-08-25,2000,160650
2019-08-25,2019-09-01,1597,128717
2019-09-01,2019-09-08,1728,136195
2019-09-08,2019-09-15,1603,138970
2019-09-15,2019-09-22,488,82929
2019-09-22,2019-09-29,1000,85558
2019-09-29,2019-10-06,1000,86954
2019-10-06,2019-10-13,0,76754
2019-10-13,2019-10-20,0,72696
2019-10-20,2019-10-27,1000,64239
2019-10-27,2019-11-03,1000,54907
2019-11-03,2019-11-10,0,55138
2019-11-10,2019-11-17,1000,56204
2019-11-17,2019-11-24,0,51882
2019-11-24,2019-12-01,1000,46064
2019-12-01,2019-12-08,0,49909
2019-12-08,2019-12-15,0,76090
2019-12-15,2019-12-22,1000,112346
2019-12-22,2019-12-29,0,68817
2019-12-29,2020-01-05,1000,55155
2020-01-05,2020-01-12,1000,63943
2020-01-12,2020-01-19,0,59230
2020-01-19,2020-01-26,1000,54186
2020-01-26,2020-02-02,0,60770
2020-02-02,2020-02-09,1000,97283
2020-02-09,2020-02-16,3000,157254
2020-02-16,2020-02-23,1000,160860
2020-02-23,2020-03-01,1000,120630
2020-03-01,2020-03-08,1000,98487
2020-03-08,2020-03-15,0,63560
2020-03-15,2020-03-22,1000,52947
2020-03-22,2020-03-29,1000,72804
2020-03-29,2020-04-05,1000,89461
2020-04-05,2020-04-12,1000,84314
2020-04-12,2020-04-19,1000,84666
2020-04-19,2020-04-26,0,89071
2020-04-26,2020-05-03,0,43529
2020-05-03,2020-05-10,0,62481
2020-05-10,2020-05-17,1000,66422
2020-05-17,2020-05-24,1000,78889
2020-05-24,2020-05-31,1000,85007
2020-05-31,2020-06-07,1000,86294
2020-06-07,2020-06-14,1000,105142
2020-06-14,2020-06-21,1000,87064
2020-06-21,2020-06-28,1000,196288
2020-06-28,2020-07-05,1000,78026
2020-07-05,2020-07-12,1000,80574
2020-07-12,2020-07-19,1000,75334
2020-07-19,2020-07-26,1000,69106
2020-07-26,2020-08-02,1000,76849
2020-08-02,2020-08-09,0,83575
2020-08-09,2020-08-16,1000,78952
2020-08-16,2020-08-23,1000,100269
2020-08-23,2020-08-30,1000,94280
2020-08-30,2020-09-06,1000,93075
2020-09-06,2020-09-13,1000,77603
2020-09-13,2020-09-20,0,66708
2020-09-20,2020-09-27,1000,88440
2020-09-27,2020-10-04,1000,65412
2020-10-04,2020-10-11,1000,74749
2020-10-11,2020-10-18,0,62282
2020-10-18,2020-10-25,1000,59403
2020-10-25,2020-11-01,0,84586
2020-11-01,2020-11-08,0,89832
2020-11-08,2020-11-15,0,84899
2020-11-15,2020-11-22,0,79233
2020-11-22,2020-11-29,1000,86800
2020-11-29,2020-12-06,1000,121139
2020-12-06,2020-12-13,1000,52297
2020-12-13,2020-12-20,1000,89020
2020-12-20,2020-12-27,19000,1060080
2020-12-27,2021-01-03,7000,544833
2021-01-03,2021-01-10,3000,305014
2021-01-10,2021-01-17,4000,259261
2021-01-17,2021-01-24,2000,132551
