start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,30885,2773685
2019-06-02,2019-06-09,33021,4267793
2019-06-09,2019-06-16,28466,3084192
2019-06-16,2019-06-23,35792,3175060
2019-06-23,2019-06-30,56073,4096416
2019-06-30,2019-07-07,21763,3279446
2019-07-07,2019-07-14,4186,1259260
2019-07-14,2019-07-21,30039,3245906
2019-07-21,2019-07-28,18394,3755547
2019-07-28,2019-08-04,6319,1724293
2019-08-04,2019-08-11,5726,1615955
2019-08-11,2019-08-18,4006,1517612
2019-08-18,2019-08-25,4340,1619850
2019-08-25,2019-09-01,4964,1768339
2019-09-01,2019-09-08,7171,2447764
2019-09-08,2019-09-15,14737,2334804
2019-09-15,2019-09-22,26713,3117039
2019-09-22,2019-09-29,20000,2974238
2019-09-29,2019-10-06,0,1458126
2019-10-06,2019-10-13,10000,1221432
2019-10-13,2019-10-20,0,1109604
2019-10-20,2019-10-27,10000,1692144
2019-10-27,2019-11-03,0,1718343
2019-11-03,2019-11-10,10000,991090
2019-11-10,2019-11-17,10000,1557445
2019-11-17,2019-11-24,10000,1287679
2019-11-24,2019-12-01,0,1213508
2019-12-01,2019-12-08,0,1423015
2019-12-08,2019-12-15,0,1287250
2019-12-15,2019-12-22,0,1148202
2019-12-22,2019-12-29,0,1256684
2019-12-29,2020-01-05,10000,1283953
2020-01-05,2020-01-12,10000,1400030
2020-01-12,2020-01-19,20000,1945816
2020-01-19,2020-01-26,30000,3065378
2020-01-26,2020-02-02,10000,2591364
2020-02-02,2020-02-09,20000,2290492
2020-02-09,2020-02-16,10000,1905381
2020-02-16,2020-02-23,10000,2149288
2020-02-23,2020-03-01,0,2056919
2020-03-01,2020-03-08,10000,1816051
2020-03-08,2020-03-15,0,1689141
2020-03-15,2020-03-22,0,1243145
2020-03-22,2020-03-29,10000,1743864
2020-03-29,2020-04-05,0,1086459
2020-04-05,2020-04-12,0,1604748
2020-04-12,2020-04-19,10000,1372675
2020-04-19,2020-04-26,0,1618837
2020-04-26,2020-05-03,0,1764034
2020-05-03,2020-05-10,10000,1793095
2020-05-10,2020-05-17,10000,2972677
2020-05-17,2020-05-24,10000,1873207
2020-05-24,2020-05-31,0,1489287
2020-05-31,2020-06-07,10000,1610618
2020-06-07,2020-06-14,0,1235968
2020-06-14,2020-06-21,0,1023037
2020-06-21,2020-06-28,10000,1034400
2020-06-28,2020-07-05,0,1329459
2020-07-05,2020-07-12,0,1742458
2020-07-12,2020-07-19,10000,1737326
2020-07-19,2020-07-26,0,1445861
2020-07-26,2020-08-02,10000,1118190
2020-08-02,2020-08-09,0,1030867
2020-08-09,2020-08-16,10000,1715170
2020-08-16,2020-08-23,0,1390056
2020-08-23,2020-08-30,0,1129957
2020-08-30,2020-09-06,10000,1233920
2020-09-06,2020-09-13,0,1010241
2020-09-13,2020-09-20,0,780155
2020-09-20,2020-09-27,0,1290636
2020-09-27,2020-10-04,10000,887588
2020-10-04,2020-10-11,0,1185028
2020-10-11,2020-10-18,0,1202356
2020-10-18,2020-10-25,0,969290
2020-10-25,2020-11-01,0,903575
2020-11-01,2020-11-08,0,986412
2020-11-08,2020-11-15,0,827298
2020-11-15,2020-11-22,0,750794
2020-11-22,2020-11-29,0,792929
2020-11-29,2020-12-06,10000,957809
2020-12-06,2020-12-13,0,644941
2020-12-13,2020-12-20,0,629233
2020-12-20,2020-12-27,0,880980
2020-12-27,2021-01-03,0,964562
2021-01-03,2021-01-10,0,976674
2021-01-10,2021-01-17,10000,1494077
2021-01-17,2021-01-24,0,1023151
2021-01-24,2021-01-31,10000,1356819
2021-01-31,2021-02-07,0,1094093
2021-02-07,2021-02-14,0,1043054
2021-02-14,2021-02-21,0,1185165
2021-02-21,2021-02-28,0,1053322
2021-02-28,2021-03-07,10000,939434
2021-03-07,2021-03-14,0,1534621
2021-03-14,2021-03-21,0,1043388
2021-03-21,2021-03-28,10000,1296294
2021-03-28,2021-04-04,0,1391136
2021-04-04,2021-04-11,10000,1179744
2021-04-11,2021-04-18,0,1098859
2021-04-18,2021-04-25,0,865319
2021-04-25,2021-05-02,0,1251213
2021-05-02,2021-05-09,0,924210
2021-05-09,2021-05-16,0,761528
2021-05-16,2021-05-23,0,736185
2021-05-23,2021-05-30,0,617664
2021-05-30,2021-06-06,10000,1162230
2021-06-06,2021-06-13,0,1280644
2021-06-13,2021-06-20,0,967397
2021-06-20,2021-06-27,0,802333
2021-06-27,2021-07-04,10000,854091
2021-07-04,2021-07-11,0,767471
2021-07-11,2021-07-18,0,787427
2021-07-18,2021-07-25,0,967383
2021-07-25,2021-08-01,10000,725416
2021-08-01,2021-08-08,0,762030
2021-08-08,2021-08-15,0,659467
2021-08-15,2021-08-22,0,717178
