start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,3737,143823
2019-06-02,2019-06-09,10470,371810
2019-06-09,2019-06-16,7341,478017
2019-06-16,2019-06-23,4325,232369
2019-06-23,2019-06-30,1682,1082633
2019-06-30,2019-07-07,2915,185938
2019-07-07,2019-07-14,2181,139821
2019-07-14,2019-07-21,919,220826
2019-07-21,2019-07-28,862,132459
2019-07-28,2019-08-04,1242,145361
2019-08-04,2019-08-11,1952,177297
2019-08-11,2019-08-18,2987,188206
2019-08-18,2019-08-25,2737,277378
2019-08-25,2019-09-01,3377,309251
2019-09-01,2019-09-08,4766,195043
2019-09-08,2019-09-15,1997,274267
2019-09-15,2019-09-22,5000,250394
2019-09-22,2019-09-29,2000,179680
2019-09-29,2019-10-06,1000,86778
2019-10-06,2019-10-13,1000,101275
2019-10-13,2019-10-20,1000,371155
2019-10-20,2019-10-27,2000,234353
2019-10-27,2019-11-03,0,149434
2019-11-03,2019-11-10,1000,146276
2019-11-10,2019-11-17,1000,302113
2019-11-17,2019-11-24,2000,294462
2019-11-24,2019-12-01,1000,324374
2019-12-01,2019-12-08,1000,284343
2019-12-08,2019-12-15,2000,499612
2019-12-15,2019-12-22,2000,182525
2019-12-22,2019-12-29,3000,51711
2019-12-29,2020-01-05,2000,159812
2020-01-05,2020-01-12,1000,179070
2020-01-12,2020-01-19,1000,200217
2020-01-19,2020-01-26,0,150568
2020-01-26,2020-02-02,5000,109514
2020-02-02,2020-02-09,3000,157942
2020-02-09,2020-02-16,1000,153717
2020-02-16,2020-02-23,1000,145716
2020-02-23,2020-03-01,1000,161359
2020-03-01,2020-03-08,4000,131904
2020-03-08,2020-03-15,1000,171345
2020-03-15,2020-03-22,1000,210672
2020-03-22,2020-03-29,1000,210609
2020-03-29,2020-04-05,1000,201641
2020-04-05,2020-04-12,3000,246429
2020-04-12,2020-04-19,2000,320626
2020-04-19,2020-04-26,1000,379723
2020-04-26,2020-05-03,3000,354758
2020-05-03,2020-05-10,4000,280625
2020-05-10,2020-05-17,4000,201909
2020-05-17,2020-05-24,3000,222416
2020-05-24,2020-05-31,3000,252203
2020-05-31,2020-06-07,3000,169057
2020-06-07,2020-06-14,2000,150477
2020-06-14,2020-06-21,1000,228428
2020-06-21,2020-06-28,1000,311327
2020-06-28,2020-07-05,0,114224
2020-07-05,2020-07-12,0,135559
2020-07-12,2020-07-19,0,134769
2020-07-19,2020-07-26,1000,115407
2020-07-26,2020-08-02,1000,100372
2020-08-02,2020-08-09,2000,116487
2020-08-09,2020-08-16,2000,113258
2020-08-16,2020-08-23,1000,172405
2020-08-23,2020-08-30,1000,156659
2020-08-30,2020-09-06,1000,77369
2020-09-06,2020-09-13,1000,152382
2020-09-13,2020-09-20,2000,87989
2020-09-20,2020-09-27,1000,125097
2020-09-27,2020-10-04,1000,91068
2020-10-04,2020-10-11,1000,68160
2020-10-11,2020-10-18,1000,60343
2020-10-18,2020-10-25,1000,237582
2020-10-25,2020-11-01,1000,159327
2020-11-01,2020-11-08,1000,102529
2020-11-08,2020-11-15,0,64024
2020-11-15,2020-11-22,1000,86046
2020-11-22,2020-11-29,0,96869
2020-11-29,2020-12-06,0,76481
2020-12-06,2020-12-13,0,68395
2020-12-13,2020-12-20,0,147697
2020-12-20,2020-12-27,0,149402
2020-12-27,2021-01-03,0,158634
2021-01-03,2021-01-10,0,116356
2021-01-10,2021-01-17,0,157798
2021-01-17,2021-01-24,0,129073
2021-01-24,2021-01-31,0,86118
2021-01-31,2021-02-07,1000,67265
2021-02-07,2021-02-14,1000,79468
2021-02-14,2021-02-21,1000,143462
2021-02-21,2021-02-28,0,216042
2021-02-28,2021-03-07,0,87880
2021-03-07,2021-03-14,0,75648
2021-03-14,2021-03-21,1000,59546
2021-03-21,2021-03-28,2000,81940
2021-03-28,2021-04-04,2000,66469
2021-04-04,2021-04-11,1000,111192
2021-04-11,2021-04-18,0,67107
2021-04-18,2021-04-25,0,56256
2021-04-25,2021-05-02,1000,3622850
2021-05-02,2021-05-09,0,53181
2021-05-09,2021-05-16,0,75176
2021-05-16,2021-05-23,0,77657
2021-05-23,2021-05-30,1000,66628
2021-05-30,2021-06-06,1000,60746
2021-06-06,2021-06-13,1000,124651
2021-06-13,2021-06-20,1000,108871
2021-06-20,2021-06-27,1000,79962
2021-06-27,2021-07-04,0,66313
2021-07-04,2021-07-11,0,49192
2021-07-11,2021-07-18,0,83922
2021-07-18,2021-07-25,0,57568
2021-07-25,2021-08-01,0,126088
2021-08-01,2021-08-08,10000,77683
2021-08-08,2021-08-15,0,80779
2021-08-15,2021-08-22,0,56461
2021-08-22,2021-08-29,0,52141
2021-08-29,2021-09-05,0,71751
2021-09-05,2021-09-12,0,53226
2021-09-12,2021-09-19,0,63915
2021-09-19,2021-09-26,0,60423
2021-09-26,2021-10-03,0,58229
2021-10-03,2021-10-10,0,84073
2021-10-10,2021-10-17,0,108209
2021-10-17,2021-10-24,0,65535
2021-10-24,2021-10-31,0,77296
2021-10-31,2021-11-07,0,41481
2021-11-07,2021-11-14,10000,68799
2021-11-14,2021-11-21,0,65369
2021-11-21,2021-11-28,0,54295
2021-11-28,2021-12-05,0,46199
2021-12-05,2021-12-12,0,41087
2021-12-12,2021-12-19,0,56690
2021-12-19,2021-12-26,0,45837
2021-12-26,2022-01-02,0,43156
2022-01-02,2022-01-09,0,38954
2022-01-09,2022-01-16,0,47909
2022-01-16,2022-01-23,0,49762
2022-01-23,2022-01-30,0,39908
2022-01-30,2022-02-06,0,40875
2022-02-06,2022-02-13,10000,71869
2022-02-13,2022-02-20,0,72426
2022-02-20,2022-02-27,0,40927
2022-02-27,2022-03-06,0,43355
2022-03-06,2022-03-13,0,32216
2022-03-13,2022-03-20,0,35858
2022-03-20,2022-03-27,0,36038
2022-03-27,2022-04-03,0,31041
