start_date,end_date,weekly_subscribers,weekly_views
2019-05-29,2019-06-05,2528,252214
2019-06-02,2019-06-09,1986,236396
2019-06-09,2019-06-16,1719,270796
2019-06-16,2019-06-23,2217,309344
2019-06-23,2019-06-30,4758,681452
2019-06-30,2019-07-07,8745,771531
2019-07-07,2019-07-14,3995,611210
2019-07-14,2019-07-21,2526,366747
2019-07-21,2019-07-28,3180,331755
2019-07-28,2019-08-04,3896,621616
2019-08-04,2019-08-11,2862,488668
2019-08-11,2019-08-18,6766,765769
2019-08-18,2019-08-25,9612,1169358
2019-08-25,2019-09-01,5727,823148
2019-09-01,2019-09-08,2633,493522
2019-09-08,2019-09-15,3515,573767
2019-09-15,2019-09-22,4000,513621
2019-09-22,2019-09-29,2000,471449
2019-09-29,2019-10-06,3000,431152
2019-10-06,2019-10-13,4000,478738
2019-10-13,2019-10-20,3000,500469
2019-10-20,2019-10-27,4000,499579
2019-10-27,2019-11-03,3000,541700
2019-11-03,2019-11-10,4000,695504
2019-11-10,2019-11-17,4000,563214
2019-11-17,2019-11-24,3000,442785
2019-11-24,2019-12-01,37000,4449499
2019-12-01,2019-12-08,3000,830677
2019-12-08,2019-12-15,4000,442820
2019-12-15,2019-12-22,7000,755087
2019-12-22,2019-12-29,4000,630547
2019-12-29,2020-01-05,4000,628460
2020-01-05,2020-01-12,2000,424786
2020-01-12,2020-01-19,2000,587459
2020-01-19,2020-01-26,3000,859197
2020-01-26,2020-02-02,4000,1146572
2020-02-02,2020-02-09,3000,750979
2020-02-09,2020-02-16,4000,1024269
2020-02-16,2020-02-23,5000,924055
2020-02-23,2020-03-01,3000,666011
2020-03-01,2020-03-08,3000,703501
2020-03-08,2020-03-15,3000,708487
2020-03-15,2020-03-22,3000,549694
2020-03-22,2020-03-29,14000,1523664
2020-03-29,2020-04-05,10000,1034820
2020-04-05,2020-04-12,0,753860
2020-04-12,2020-04-19,0,492142
2020-04-19,2020-04-26,0,788638
2020-04-26,2020-05-03,0,771871
2020-05-03,2020-05-10,10000,846615
2020-05-10,2020-05-17,10000,1073955
2020-05-17,2020-05-24,0,628598
2020-05-24,2020-05-31,10000,656276
2020-05-31,2020-06-07,0,514311
2020-06-07,2020-06-14,0,604292
2020-06-14,2020-06-21,10000,450229
2020-06-21,2020-06-28,0,398010
2020-06-28,2020-07-05,0,450817
2020-07-05,2020-07-12,10000,725135
2020-07-12,2020-07-19,0,569166
2020-07-19,2020-07-26,10000,736100
2020-07-26,2020-08-02,0,801216
